year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,2.59,2.8,0.0811,0.0,8.11,0,0,0,0,0,0,0,0,0
2020,Q3,2.58,2.83,0.0975,1.0,9.75,0,0,0,0,0,0,0,0,0
2020,Q4,2.74,2.84,0.0362,1.0,3.62,0,0,0,0,0,0,0,0,0
2021,Q1,3.1,3.14,0.0142,0.0,1.42,0,0,0,0,0,0,0,0,0
2021,Q2,2.94,3.18,0.08,1.0,8.0,0,0,0,0,0,0,0,0,0
2021,Q3,3.18,3.26,0.0266,1.0,2.66,0,0,0,0,0,0,0,0,0
2021,Q4,3.18,3.21,0.0095,0.0,0.95,0,0,0,0,0,0,0,0,0
2022,Q1,3.27,3.3,0.0099,0.0,0.99,0,0,0,0,0,0,0,0,0
2022,Q2,3.05,3.12,0.0233,1.0,2.33,0,0,0,0,0,0,0,0,0
2022,Q3,3.18,3.23,0.0154,1.0,1.54,0,0,0,0,0,0,0,0,0
2022,Q4,3.4,3.26,-0.04,0.0,-4.0,0,0,0,0,0,0,0,0,0
2023,Q1,3.28,3.27,-0.0024,1.0,-0.24,0,0,0,0,0,0,0,0,0
2023,Q2,2.87,2.86,-0.0029,0.0,-0.29,0,0,0,0,0,0,0,0,0
2023,Q3,2.95,2.97,0.008,0.0,0.8,0,0,0,0,0,0,0,0,0
2023,Q4,3.03,3.19,0.0524,1.0,5.24,0,0,0,0,0,0,0,0,0
2024,Q1,3.31,3.35,0.0121,0.0,1.21,0,0,0,0,0,0,0,0,0
2024,Q2,2.91,3.06,0.0521,1.0,5.21,0,0,0,0,0,0,0,0,0
2024,Q3,3.18,3.24,0.0175,0.0,1.75,0,0,0,0,0,0,0,0,0
2024,Q4,3.26,3.34,0.023,1.0,2.3,0,0,0,0,0,0,0,0,0
2025,Q1,3.42,3.47,0.0152,1.0,1.52,0,0,0,0,0,0,0,0,0
2025,Q2,2.16,2.04,-0.0574,0.0,-5.74,0,0,0,0,0,0,0,0,0
2025,Q3,2.5,2.78,0.1134,1.0,11.34,0,0,0,0,0,0,0,0,0
2025,Q4,2.57,2.7,0.0509,1.0,5.09,0,0,0,0,0,0,0,0,0
2026,Q1,2.76,2.86,0.0365,0.0,3.65,0,0,0,0,0,0,0,0,0
