year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,1.84,1.89,0.0269,0.0,2.69,0,0,0,0,0,0,0,0,0
2020,Q3,1.65,1.9,0.1536,1.0,15.36,0,0,0,0,0,0,0,0,0
2020,Q4,1.95,2.15,0.1028,1.0,10.28,0,0,0,0,0,0,0,0,0
2021,Q1,2.15,2.3,0.0682,0.0,6.82,0,0,0,0,0,0,0,0,0
2021,Q2,2.26,2.49,0.1036,1.0,10.36,0,0,0,0,0,0,0,0,0
2021,Q3,2.53,2.7,0.0658,1.0,6.58,0,0,0,0,0,0,0,0,0
2021,Q4,2.66,2.73,0.0266,0.0,2.66,0,0,0,0,0,0,0,0,0
2022,Q1,2.67,2.77,0.0372,0.0,3.72,0,0,0,0,0,0,0,0,0
2022,Q2,2.77,2.93,0.0591,1.0,5.91,0,0,0,0,0,0,0,0,0
2022,Q3,2.96,3.1,0.0464,0.0,4.64,0,0,0,0,0,0,0,0,0
2022,Q4,2.93,3.1,0.0571,0.0,5.71,0,0,0,0,0,0,0,0,0
2023,Q1,2.89,3.16,0.0937,1.0,9.37,0,0,0,0,0,0,0,0,0
2023,Q2,3.14,3.42,0.0907,1.0,9.07,0,0,0,0,0,0,0,0,0
2023,Q3,3.49,3.57,0.0237,1.0,2.37,0,0,0,0,0,0,0,0,0
2023,Q4,3.57,3.63,0.0162,0.0,1.62,0,0,0,0,0,0,0,0,0
2024,Q1,3.5,3.59,0.0267,1.0,2.67,0,0,0,0,0,0,0,0,0
2024,Q2,3.67,3.75,0.0215,1.0,2.15,0,0,0,0,0,0,0,0,0
2024,Q3,3.79,3.85,0.0169,1.0,1.69,0,0,0,0,0,0,0,0,0
2024,Q4,3.91,3.94,0.0088,0.0,0.88,0,0,0,0,0,0,0,0,0
2025,Q1,3.92,3.97,0.0118,1.0,1.18,0,0,0,0,0,0,0,0,0
2025,Q2,3.53,3.51,-0.0066,0.0,-0.66,0,0,0,0,0,0,0,0,0
2025,Q3,4.04,4.09,0.0136,0.0,1.36,0,0,0,0,0,0,0,0,0
2025,Q4,3.84,4.09,0.0638,1.0,6.38,0,0,0,0,0,0,0,0,0
2026,Q1,3.77,3.26,-0.1351,0.0,-13.51,0,0,0,0,0,0,0,0,0
