year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,-0.32,-0.15,0.5297,1.0,52.97,0,0,0,0,0,0,0,0,0
2020,Q3,-2.75,-2.67,0.0298,0.0,2.98,0,0,0,0,0,0,0,0,0
2020,Q4,-2.24,-1.99,0.1136,0.0,11.36,0,0,0,0,0,0,0,0,0
2021,Q1,-1.68,-1.29,0.233,1.0,23.3,0,0,0,0,0,0,0,0,0
2021,Q2,-1.85,-1.72,0.0707,1.0,7.07,0,0,0,0,0,0,0,0,0
2021,Q3,-0.23,-0.35,-0.5115,0.0,-51.15,0,0,0,0,0,0,0,0,0
2021,Q4,-0.27,-0.23,0.1595,0.0,15.95,0,0,0,0,0,0,0,0,0
2022,Q1,0.07,0.14,1.0643,1.0,106.43,0,0,0,0,0,0,0,0,0
2022,Q2,-0.3,-0.32,-0.055,0.0,-5.5,0,0,0,0,0,0,0,0,0
2022,Q3,1.18,1.3,0.1029,0.0,10.29,0,0,0,0,0,0,0,0,0
2022,Q4,0.42,0.5,0.1807,1.0,18.07,0,0,0,0,0,0,0,0,0
2023,Q1,-0.11,-0.38,-2.4206,0.0,-242.06,0,0,0,0,0,0,0,0,0
2023,Q2,-0.23,-0.27,-0.1845,0.0,-18.45,0,0,0,0,0,0,0,0,0
2023,Q3,1.1,1.09,-0.0108,1.0,-1.08,0,0,0,0,0,0,0,0,0
2023,Q4,0.39,0.38,-0.0312,0.0,-3.12,0,0,0,0,0,0,0,0,0
2024,Q1,0.13,0.37,1.7661,1.0,176.61,0,0,0,0,0,0,0,0,0
2024,Q2,-0.34,-0.36,-0.0706,0.0,-7.06,0,0,0,0,0,0,0,0,0
2024,Q3,0.51,0.58,0.1466,0.0,14.66,0,0,0,0,0,0,0,0,0
2024,Q4,0.04,0.15,2.3776,1.0,237.76,0,0,0,0,0,0,0,0,0
2025,Q1,0.46,0.56,0.2153,0.0,21.53,0,0,0,0,0,0,0,0,0
2025,Q2,-0.19,-0.13,0.3218,1.0,32.18,0,0,0,0,0,0,0,0,0
2025,Q3,0.51,0.43,-0.1617,0.0,-16.17,0,0,0,0,0,0,0,0,0
2025,Q4,-0.04,0.11,4.0096,1.0,400.96,0,0,0,0,0,0,0,0,0
2026,Q1,0.57,0.58,0.0176,0.0,1.76,0,0,0,0,0,0,0,0,0
