year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,-0.7,-0.94,-0.3381,0.0,-33.81,0,0,0,0,0,0,0,0,0
2020,Q3,-2.09,-2.67,-0.2795,0.0,-27.95,0,0,0,0,0,0,0,0,0
2020,Q4,-2.15,-2.45,-0.1404,0.0,-14.04,0,0,0,0,0,0,0,0,0
2021,Q1,-2.26,-2.04,0.0977,1.0,9.77,0,0,0,0,0,0,0,0,0
2021,Q2,-1.52,-1.44,0.0532,0.0,5.32,0,0,0,0,0,0,0,0,0
2021,Q3,-1.2,-0.9,0.2481,0.0,24.81,0,0,0,0,0,0,0,0,0
2021,Q4,-0.06,0.19,4.2821,1.0,428.21,0,0,0,0,0,0,0,0,0
2022,Q1,-0.53,-0.96,-0.8066,0.0,-80.66,0,0,0,0,0,0,0,0,0
2022,Q2,-0.77,-0.39,0.4904,1.0,49.04,0,0,0,0,0,0,0,0,0
2022,Q3,0.52,0.66,0.2809,0.0,28.09,0,0,0,0,0,0,0,0,0
2022,Q4,1.05,1.39,0.33,1.0,33.0,0,0,0,0,0,0,0,0,0
2023,Q1,-0.92,-1.02,-0.1071,0.0,-10.71,0,0,0,0,0,0,0,0,0
2023,Q2,-0.47,0.14,1.2869,1.0,128.69,0,0,0,0,0,0,0,0,0
2023,Q3,0.68,0.95,0.3844,0.0,38.44,0,0,0,0,0,0,0,0,0
2023,Q4,1.15,2.19,0.9053,1.0,90.53,0,0,0,0,0,0,0,0,0
2024,Q1,-0.94,-1.02,-0.0825,0.0,-8.25,0,0,0,0,0,0,0,0,0
2024,Q2,-0.14,0.6,5.4121,1.0,541.21,0,0,0,0,0,0,0,0,0
2024,Q3,1.08,1.53,0.4187,1.0,41.87,0,0,0,0,0,0,0,0,0
2024,Q4,1.67,1.89,0.1307,0.0,13.07,0,0,0,0,0,0,0,0,0
2025,Q1,-1.05,1.39,2.3241,1.0,232.41,0,0,0,0,0,0,0,0,0
2025,Q2,-0.16,-0.32,-1.0,0.0,-100.0,0,0,0,0,0,0,0,0,0
2025,Q3,1.02,0.41,-0.598,0.0,-59.8,0,0,0,0,0,0,0,0,0
2025,Q4,1.49,0.73,-0.5115,0.0,-51.15,0,0,0,0,0,0,0,0,0
2026,Q1,-1.05,-1.06,-0.0122,0.0,-1.22,0,0,0,0,0,0,0,0,0
