year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,1.54,1.47,-0.0484,1.0,-4.84,0,0,0,0,0,0,0,0,0
2020,Q3,0.75,0.66,-0.1239,0.0,-12.39,0,0,0,0,0,0,0,0,0
2020,Q4,1.9,2.22,0.1685,1.0,16.85,0,0,0,0,0,0,0,0,0
2021,Q1,1.78,1.7,-0.0455,0.0,-4.55,0,0,0,0,0,0,0,0,0
2021,Q2,1.82,1.92,0.0535,0.0,5.35,0,0,0,0,0,0,0,0,0
2021,Q3,2.12,2.37,0.1181,0.0,11.81,0,0,0,0,0,0,0,0,0
2021,Q4,2.47,2.76,0.1193,1.0,11.93,0,0,0,0,0,0,0,0,0
2022,Q1,2.34,2.23,-0.048,0.0,-4.8,0,0,0,0,0,0,0,0,0
2022,Q2,2.18,2.28,0.0467,1.0,4.67,0,0,0,0,0,0,0,0,0
2022,Q3,2.47,2.55,0.0339,0.0,3.39,0,0,0,0,0,0,0,0,0
2022,Q4,2.58,2.68,0.0392,0.0,3.92,0,0,0,0,0,0,0,0,0
2023,Q1,2.46,2.59,0.0525,0.0,5.25,0,0,0,0,0,0,0,0,0
2023,Q2,2.34,2.63,0.1255,0.0,12.55,0,0,0,0,0,0,0,0,0
2023,Q3,2.79,3.17,0.1366,1.0,13.66,0,0,0,0,0,0,0,0,0
2023,Q4,2.99,3.19,0.0652,1.0,6.52,0,0,0,0,0,0,0,0,0
2024,Q1,2.83,2.95,0.0439,1.0,4.39,0,0,0,0,0,0,0,0,0
2024,Q2,2.73,2.7,-0.0095,1.0,-0.95,0,0,0,0,0,0,0,0,0
2024,Q3,3.07,2.97,-0.0318,0.0,-3.18,0,0,0,0,0,0,0,0,0
2024,Q4,3.2,3.23,0.0088,1.0,0.88,0,0,0,0,0,0,0,0,0
2025,Q1,2.86,2.83,-0.0097,0.0,-0.97,0,0,0,0,0,0,0,0,0
2025,Q2,2.67,2.67,-0.0002,0.0,-0.02,0,0,0,0,0,0,0,0,0
2025,Q3,3.15,3.19,0.0139,1.0,1.39,0,0,0,0,0,0,0,0,0
2025,Q4,3.33,3.22,-0.0336,0.0,-3.36,0,0,0,0,0,0,0,0,0
2026,Q1,3.05,3.12,0.0222,0.0,2.22,0,0,0,0,0,0,0,0,0
