year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,0.68,0.73,0.0792,0.0,7.92,0,0,0,0,0,0,0,0,0
2020,Q3,0.72,0.78,0.0866,0.0,8.66,0,0,0,0,0,0,0,0,0
2020,Q4,0.72,0.78,0.0901,1.0,9.01,0,0,0,0,0,0,0,0,0
2021,Q1,0.79,0.81,0.0223,0.0,2.23,0,0,0,0,0,0,0,0,0
2021,Q2,0.87,0.93,0.063,1.0,6.3,0,0,0,0,0,0,0,0,0
2021,Q3,0.95,0.99,0.038,1.0,3.8,0,0,0,0,0,0,0,0,0
2021,Q4,1.06,1.07,0.0101,0.0,1.01,0,0,0,0,0,0,0,0,0
2022,Q1,1.17,1.2,0.0236,0.0,2.36,0,0,0,0,0,0,0,0,0
2022,Q2,1.25,1.35,0.0794,1.0,7.94,0,0,0,0,0,0,0,0,0
2022,Q3,1.34,1.37,0.024,1.0,2.4,0,0,0,0,0,0,0,0,0
2022,Q4,1.44,1.46,0.0141,0.0,1.41,0,0,0,0,0,0,0,0,0
2023,Q1,1.54,1.56,0.0141,0.0,1.41,0,0,0,0,0,0,0,0,0
2023,Q2,1.61,1.64,0.0178,1.0,1.78,0,0,0,0,0,0,0,0,0
2023,Q3,1.63,1.64,0.005,1.0,0.5,0,0,0,0,0,0,0,0,0
2023,Q4,1.61,1.62,0.0033,0.0,0.33,0,0,0,0,0,0,0,0,0
2024,Q1,1.06,1.08,0.0157,1.0,1.57,0,0,0,0,0,0,0,0,0
2024,Q2,0.62,0.57,-0.078,0.0,-7.8,0,0,0,0,0,0,0,0,0
2024,Q3,0.52,0.53,0.0155,0.0,1.55,0,0,0,0,0,0,0,0,0
2024,Q4,0.43,0.46,0.0596,1.0,5.96,0,0,0,0,0,0,0,0,0
2025,Q1,0.28,0.2,-0.2822,0.0,-28.22,0,0,0,0,0,0,0,0,0
2025,Q2,0.1,0.11,0.053,0.0,5.3,0,0,0,0,0,0,0,0,0
2025,Q3,0.24,0.27,0.1317,1.0,13.17,0,0,0,0,0,0,0,0,0
2025,Q4,0.33,0.35,0.0493,1.0,4.93,0,0,0,0,0,0,0,0,0
2026,Q1,0.43,0.44,0.0275,0.0,2.75,0,0,0,0,0,0,0,0,0
