year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,2.01,2.16,0.0731,1.0,7.31,0,0,0,0,0,0,0,0,0
2020,Q3,1.8,1.78,-0.0106,0.0,-1.06,0,0,0,0,0,0,0,0,0
2020,Q4,2.27,2.43,0.072,0.0,7.2,0,0,0,0,0,0,0,0,0
2021,Q1,2.17,2.38,0.0979,0.0,9.79,0,0,0,0,0,0,0,0,0
2021,Q2,2.29,2.77,0.2079,1.0,20.79,0,0,0,0,0,0,0,0,0
2021,Q3,2.28,2.59,0.1377,1.0,13.77,0,0,0,0,0,0,0,0,0
2021,Q4,2.21,2.45,0.1094,0.0,10.94,0,0,0,0,0,0,0,0,0
2022,Q1,2.02,2.31,0.146,1.0,14.6,0,0,0,0,0,0,0,0,0
2022,Q2,2.32,2.65,0.1443,1.0,14.43,0,0,0,0,0,0,0,0,0
2022,Q3,2.44,2.48,0.0165,0.0,1.65,0,0,0,0,0,0,0,0,0
2022,Q4,2.59,2.69,0.0383,1.0,3.83,0,0,0,0,0,0,0,0,0
2023,Q1,2.37,2.28,-0.0381,0.0,-3.81,0,0,0,0,0,0,0,0,0
2023,Q2,1.6,1.97,0.2344,1.0,23.44,0,0,0,0,0,0,0,0,0
2023,Q3,1.76,2.17,0.2334,1.0,23.34,0,0,0,0,0,0,0,0,0
2023,Q4,2.35,2.68,0.1423,1.0,14.23,0,0,0,0,0,0,0,0,0
2024,Q1,2.31,2.42,0.0461,0.0,4.61,0,0,0,0,0,0,0,0,0
2024,Q2,2.11,2.39,0.1315,0.0,13.15,0,0,0,0,0,0,0,0,0
2024,Q3,1.68,1.93,0.1492,1.0,14.92,0,0,0,0,0,0,0,0,0
2024,Q4,1.9,1.98,0.0413,0.0,4.13,0,0,0,0,0,0,0,0,0
2025,Q1,1.54,1.68,0.0932,1.0,9.32,0,0,0,0,0,0,0,0,0
2025,Q2,1.77,1.88,0.0642,0.0,6.42,0,0,0,0,0,0,0,0,0
2025,Q3,2.01,2.16,0.0737,1.0,7.37,0,0,0,0,0,0,0,0,0
2025,Q4,2.07,2.19,0.056,1.0,5.6,0,0,0,0,0,0,0,0,0
2026,Q1,1.8,1.83,0.0179,0.0,1.79,0,0,0,0,0,0,0,0,0
