year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,0.23,0.26,0.1175,0.0,11.75,0,0,0,0,0,0,0,0,0
2020,Q3,0.24,0.3,0.2159,1.0,21.59,0,0,0,0,0,0,0,0,0
2020,Q4,0.31,0.33,0.0409,0.0,4.09,0,0,0,0,0,0,0,0,0
2021,Q1,0.3,0.44,0.4603,1.0,46.03,0,0,0,0,0,0,0,0,0
2021,Q2,0.31,0.3,-0.0384,0.0,-3.84,0,0,0,0,0,0,0,0,0
2021,Q3,0.34,0.38,0.1138,1.0,11.38,0,0,0,0,0,0,0,0,0
2021,Q4,0.33,0.32,-0.0596,0.0,-5.96,0,0,0,0,0,0,0,0,0
2022,Q1,0.3,0.3,-0.0028,1.0,-0.28,0,0,0,0,0,0,0,0,0
2022,Q2,0.3,0.28,-0.092,1.0,-9.2,0,0,0,0,0,0,0,0,0
2022,Q3,0.35,0.26,-0.2609,0.0,-26.09,0,0,0,0,0,0,0,0,0
2022,Q4,0.29,0.3,0.026,1.0,2.6,0,0,0,0,0,0,0,0,0
2023,Q1,0.31,0.28,-0.0853,0.0,-8.53,0,0,0,0,0,0,0,0,0
2023,Q2,0.33,0.38,0.1511,1.0,15.11,0,0,0,0,0,0,0,0,0
2023,Q3,0.39,0.39,-0.0095,0.0,-0.95,0,0,0,0,0,0,0,0,0
2023,Q4,0.4,0.43,0.0821,1.0,8.21,0,0,0,0,0,0,0,0,0
2024,Q1,0.39,0.35,-0.0913,0.0,-9.13,0,0,0,0,0,0,0,0,0
2024,Q2,0.44,0.42,-0.0464,1.0,-4.64,0,0,0,0,0,0,0,0,0
2024,Q3,0.46,0.41,-0.1097,0.0,-10.97,0,0,0,0,0,0,0,0,0
2024,Q4,0.43,0.38,-0.1065,1.0,-10.65,0,0,0,0,0,0,0,0,0
2025,Q1,0.4,0.28,-0.2989,0.0,-29.89,0,0,0,0,0,0,0,0,0
2025,Q2,0.46,0.45,-0.0268,0.0,-2.68,0,0,0,0,0,0,0,0,0
2025,Q3,0.48,0.5,0.041,0.0,4.1,0,0,0,0,0,0,0,0,0
2025,Q4,0.49,0.53,0.0922,1.0,9.22,0,0,0,0,0,0,0,0,0
2026,Q1,0.48,0.46,-0.045,0.0,-4.5,0,0,0,0,0,0,0,0,0
