year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,0.99,1.09,0.1036,1.0,10.36,0,0,0,0,0,0,0,0,0
2020,Q3,1.06,1.09,0.0285,0.0,2.85,0,0,0,0,0,0,0,0,0
2020,Q4,1.16,1.19,0.0289,1.0,2.89,0,0,0,0,0,0,0,0,0
2021,Q1,1.02,0.99,-0.0285,0.0,-2.85,0,0,0,0,0,0,0,0,0
2021,Q2,1.05,1.07,0.0208,0.0,2.08,0,0,0,0,0,0,0,0,0
2021,Q3,1.17,1.23,0.0473,1.0,4.73,0,0,0,0,0,0,0,0,0
2021,Q4,1.26,1.22,-0.0301,0.0,-3.01,0,0,0,0,0,0,0,0,0
2022,Q1,1.08,1.09,0.0064,0.0,0.64,0,0,0,0,0,0,0,0,0
2022,Q2,1.09,1.12,0.0252,1.0,2.52,0,0,0,0,0,0,0,0,0
2022,Q3,1.25,1.26,0.0077,1.0,0.77,0,0,0,0,0,0,0,0,0
2022,Q4,1.3,1.28,-0.0182,0.0,-1.82,0,0,0,0,0,0,0,0,0
2023,Q1,1.16,1.18,0.0179,1.0,1.79,0,0,0,0,0,0,0,0,0
2023,Q2,1.17,1.18,0.0051,0.0,0.51,0,0,0,0,0,0,0,0,0
2023,Q3,1.3,1.31,0.0077,1.0,0.77,0,0,0,0,0,0,0,0,0
2023,Q4,1.3,1.28,-0.0125,0.0,-1.25,0,0,0,0,0,0,0,0,0
2024,Q1,1.18,1.18,0.0041,1.0,0.41,0,0,0,0,0,0,0,0,0
2024,Q2,1.15,1.15,-0.0006,1.0,-0.06,0,0,0,0,0,0,0,0,0
2024,Q3,1.34,1.31,-0.0256,0.0,-2.56,0,0,0,0,0,0,0,0,0
2024,Q4,1.35,1.38,0.0225,1.0,2.25,0,0,0,0,0,0,0,0,0
2025,Q1,1.28,1.29,0.0085,0.0,0.85,0,0,0,0,0,0,0,0,0
2025,Q2,1.19,1.23,0.0352,0.0,3.52,0,0,0,0,0,0,0,0,0
2025,Q3,1.38,1.44,0.0399,1.0,3.99,0,0,0,0,0,0,0,0,0
2025,Q4,1.45,1.45,0.0013,1.0,0.13,0,0,0,0,0,0,0,0,0
2026,Q1,1.32,1.3,-0.0133,0.0,-1.33,0,0,0,0,0,0,0,0,0
