year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,-0.07,-0.06,0.0996,0.0,9.96,0,0,0,0,0,0,0,0,0
2020,Q3,0.02,0.11,4.196,1.0,419.6,0,0,0,0,0,0,0,0,0
2020,Q4,0.17,0.23,0.3501,0.0,35.01,0,0,0,0,0,0,0,0,0
2021,Q1,0.21,0.57,1.7616,1.0,176.16,0,0,0,0,0,0,0,0,0
2021,Q2,0.53,0.57,0.0716,0.0,7.16,0,0,0,0,0,0,0,0,0
2021,Q3,1.01,1.17,0.1546,1.0,15.46,0,0,0,0,0,0,0,0,0
2021,Q4,1.54,1.35,-0.1251,0.0,-12.51,0,0,0,0,0,0,0,0,0
2022,Q1,1.98,1.95,-0.0129,0.0,-1.29,0,0,0,0,0,0,0,0,0
2022,Q2,2.42,2.41,-0.0025,1.0,-0.25,0,0,0,0,0,0,0,0,0
2022,Q3,4.0,3.64,-0.0893,0.0,-8.93,0,0,0,0,0,0,0,0,0
2022,Q4,3.4,3.22,-0.0524,1.0,-5.24,0,0,0,0,0,0,0,0,0
2023,Q1,2.2,1.74,-0.2097,0.0,-20.97,0,0,0,0,0,0,0,0,0
2023,Q2,1.25,1.14,-0.0903,0.0,-9.03,0,0,0,0,0,0,0,0,0
2023,Q3,1.1,1.04,-0.0579,1.0,-5.79,0,0,0,0,0,0,0,0,0
2023,Q4,0.75,0.68,-0.0992,1.0,-9.92,0,0,0,0,0,0,0,0,0
2024,Q1,0.86,0.71,-0.1711,0.0,-17.11,0,0,0,0,0,0,0,0,0
2024,Q2,0.66,0.65,-0.0211,1.0,-2.11,0,0,0,0,0,0,0,0,0
2024,Q3,0.66,0.54,-0.1842,1.0,-18.42,0,0,0,0,0,0,0,0,0
2024,Q4,0.52,0.34,-0.3449,0.0,-34.49,0,0,0,0,0,0,0,0,0
2025,Q1,0.57,0.45,-0.2107,0.0,-21.07,0,0,0,0,0,0,0,0,0
2025,Q2,0.45,0.49,0.1006,1.0,10.06,0,0,0,0,0,0,0,0,0
2025,Q3,0.72,0.51,-0.2886,0.0,-28.86,0,0,0,0,0,0,0,0,0
2025,Q4,1.02,1.29,0.2603,1.0,26.03,0,0,0,0,0,0,0,0,0
2026,Q1,0.44,0.22,-0.505,0.0,-50.5,0,0,0,0,0,0,0,0,0
