year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,-0.36,-0.35,0.0378,0.0,3.78,0,0,0,0,0,0,0,0,0
2020,Q3,-0.36,-0.31,0.146,1.0,14.6,0,0,0,0,0,0,0,0,0
2020,Q4,-0.37,-0.59,-0.6042,1.0,-60.42,0,0,0,0,0,0,0,0,0
2021,Q1,-0.36,-0.69,-0.8956,0.0,-89.56,0,0,0,0,0,0,0,0,0
2021,Q2,2.1,2.84,0.3503,1.0,35.03,0,0,0,0,0,0,0,0,0
2021,Q3,5.86,6.46,0.1031,1.0,10.31,0,0,0,0,0,0,0,0,0
2021,Q4,9.42,7.7,-0.1826,0.0,-18.26,0,0,0,0,0,0,0,0,0
2022,Q1,9.61,11.29,0.1753,0.0,17.53,0,0,0,0,0,0,0,0,0
2022,Q2,5.63,8.58,0.5244,1.0,52.44,0,0,0,0,0,0,0,0,0
2022,Q3,4.49,5.24,0.1664,1.0,16.64,0,0,0,0,0,0,0,0,0
2022,Q4,3.19,2.53,-0.2057,1.0,-20.57,0,0,0,0,0,0,0,0,0
2023,Q1,4.75,3.61,-0.2399,0.0,-23.99,0,0,0,0,0,0,0,0,0
2023,Q2,-1.73,0.19,1.11,1.0,111.0,0,0,0,0,0,0,0,0,0
2023,Q3,-4.1,-3.62,0.1166,1.0,11.66,0,0,0,0,0,0,0,0,0
2023,Q4,-2.05,-9.53,-3.6444,0.0,-364.44,0,0,0,0,0,0,0,0,0
2024,Q1,-0.99,0.55,1.5557,1.0,155.57,0,0,0,0,0,0,0,0,0
2024,Q2,-3.55,-3.07,0.1357,1.0,13.57,0,0,0,0,0,0,0,0,0
2024,Q3,-3.35,-3.33,0.0065,0.0,0.65,0,0,0,0,0,0,0,0,0
2024,Q4,-1.93,0.03,1.0155,1.0,101.55,0,0,0,0,0,0,0,0,0
2025,Q1,-2.73,-2.91,-0.0665,0.0,-6.65,0,0,0,0,0,0,0,0,0
2025,Q2,-3.11,-2.52,0.1889,0.0,18.89,0,0,0,0,0,0,0,0,0
2025,Q3,-2.97,-2.13,0.2828,0.0,28.28,0,0,0,0,0,0,0,0,0
2025,Q4,-2.16,-0.51,0.7642,1.0,76.42,0,0,0,0,0,0,0,0,0
2026,Q1,-2.6,-2.11,0.1888,0.0,18.88,0,0,0,0,0,0,0,0,0
