year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,1.27,1.4,0.103,1.0,10.3,0,0,0,0,0,0,0,0,0
2020,Q3,1.37,1.46,0.0694,0.0,6.94,0,0,0,0,0,0,0,0,0
2020,Q4,1.54,1.82,0.1782,0.0,17.82,0,0,0,0,0,0,0,0,0
2021,Q1,1.64,2.03,0.235,1.0,23.5,0,0,0,0,0,0,0,0,0
2021,Q2,1.78,1.95,0.0967,0.0,9.67,0,0,0,0,0,0,0,0,0
2021,Q3,1.93,2.17,0.1248,0.0,12.48,0,0,0,0,0,0,0,0,0
2021,Q4,2.07,2.71,0.3077,1.0,30.77,0,0,0,0,0,0,0,0,0
2022,Q1,2.32,2.48,0.0705,1.0,7.05,0,0,0,0,0,0,0,0,0
2022,Q2,2.19,2.22,0.0124,1.0,1.24,0,0,0,0,0,0,0,0,0
2022,Q3,2.3,2.23,-0.0285,0.0,-2.85,0,0,0,0,0,0,0,0,0
2022,Q4,2.29,2.35,0.0241,1.0,2.41,0,0,0,0,0,0,0,0,0
2023,Q1,2.27,2.2,-0.0317,0.0,-3.17,0,0,0,0,0,0,0,0,0
2023,Q2,2.24,2.45,0.0952,1.0,9.52,0,0,0,0,0,0,0,0,0
2023,Q3,2.55,2.69,0.0545,0.0,5.45,0,0,0,0,0,0,0,0,0
2023,Q4,2.65,2.99,0.1293,1.0,12.93,0,0,0,0,0,0,0,0,0
2024,Q1,2.77,2.93,0.0595,1.0,5.95,0,0,0,0,0,0,0,0,0
2024,Q2,2.83,2.94,0.0399,1.0,3.99,0,0,0,0,0,0,0,0,0
2024,Q3,2.94,2.95,0.0023,0.0,0.23,0,0,0,0,0,0,0,0,0
2024,Q4,3.11,3.3,0.0613,1.0,6.13,0,0,0,0,0,0,0,0,0
2025,Q1,3.12,3.23,0.0347,0.0,3.47,0,0,0,0,0,0,0,0,0
2025,Q2,3.22,3.46,0.0759,0.0,7.59,0,0,0,0,0,0,0,0,0
2025,Q3,3.38,3.65,0.0801,1.0,8.01,0,0,0,0,0,0,0,0,0
2025,Q4,3.66,3.72,0.0159,0.0,1.59,0,0,0,0,0,0,0,0,0
2026,Q1,3.85,5.16,0.3408,0.0,34.08,0,0,0,0,0,0,0,0,0
