year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,1.3,1.49,0.1503,1.0,15.03,0,0,0,0,0,0,0,0,0
2020,Q3,1.22,1.39,0.14,1.0,14.0,0,0,0,0,0,0,0,0,0
2020,Q4,1.78,1.95,0.0971,1.0,9.71,0,0,0,0,0,0,0,0,0
2021,Q1,2.74,2.86,0.0426,0.0,4.26,0,0,0,0,0,0,0,0,0
2021,Q2,1.62,1.87,0.1508,1.0,15.08,0,0,0,0,0,0,0,0,0
2021,Q3,1.92,2.07,0.0761,0.0,7.61,0,0,0,0,0,0,0,0,0
2021,Q4,2.14,2.35,0.1006,1.0,10.06,0,0,0,0,0,0,0,0,0
2022,Q1,2.74,2.85,0.0393,0.0,3.93,0,0,0,0,0,0,0,0,0
2022,Q2,1.58,1.7,0.0759,0.0,7.59,0,0,0,0,0,0,0,0,0
2022,Q3,1.87,2.07,0.1056,1.0,10.56,0,0,0,0,0,0,0,0,0
2022,Q4,2.88,3.0,0.041,0.0,4.1,0,0,0,0,0,0,0,0,0
2023,Q1,3.43,3.6,0.0482,0.0,4.82,0,0,0,0,0,0,0,0,0
2023,Q2,2.05,2.22,0.081,1.0,8.1,0,0,0,0,0,0,0,0,0
2023,Q3,2.52,2.65,0.0534,0.0,5.34,0,0,0,0,0,0,0,0,0
2023,Q4,3.03,3.19,0.0545,0.0,5.45,0,0,0,0,0,0,0,0,0
2024,Q1,3.63,3.9,0.0733,0.0,7.33,0,0,0,0,0,0,0,0,0
2024,Q2,2.53,2.81,0.1101,1.0,11.01,0,0,0,0,0,0,0,0,0
2024,Q3,3.01,3.24,0.0756,0.0,7.56,0,0,0,0,0,0,0,0,0
2024,Q4,3.38,3.74,0.1062,1.0,10.62,0,0,0,0,0,0,0,0,0
2025,Q1,3.89,4.04,0.0394,0.0,3.94,0,0,0,0,0,0,0,0,0
2025,Q2,3.01,3.18,0.0566,0.0,5.66,0,0,0,0,0,0,0,0,0
2025,Q3,3.36,3.57,0.0621,1.0,6.21,0,0,0,0,0,0,0,0,0
2025,Q4,3.85,4.06,0.0545,1.0,5.45,0,0,0,0,0,0,0,0,0
2026,Q1,4.35,4.59,0.0544,0.0,5.44,0,0,0,0,0,0,0,0,0
