year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,0.76,0.82,0.0745,0.0,7.45,0,0,0,0,0,0,0,0,0
2020,Q3,0.97,1.08,0.109,0.0,10.9,0,0,0,0,0,0,0,0,0
2021,Q1,0.95,0.98,0.0368,0.0,3.68,0,0,0,0,0,0,0,0,0
2021,Q1,0.69,0.78,0.1296,1.0,12.96,0,0,0,0,0,0,0,0,0
2021,Q2,1.72,1.88,0.0915,1.0,9.15,0,0,0,0,0,0,0,0,0
2021,Q3,2.34,2.42,0.0335,1.0,3.35,0,0,0,0,0,0,0,0,0
2021,Q4,2.11,2.16,0.0258,0.0,2.58,0,0,0,0,0,0,0,0,0
2022,Q1,1.98,2.14,0.0807,1.0,8.07,0,0,0,0,0,0,0,0,0
2022,Q2,2.44,2.59,0.0596,1.0,5.96,0,0,0,0,0,0,0,0,0
2022,Q3,1.37,1.45,0.0582,1.0,5.82,0,0,0,0,0,0,0,0,0
2022,Q4,-0.02,-0.04,-1.1402,1.0,-114.02,0,0,0,0,0,0,0,0,0
2023,Q1,-0.88,-1.91,-1.1583,0.0,-115.83,0,0,0,0,0,0,0,0,0
2023,Q2,-1.57,-1.43,0.0874,0.0,8.74,0,0,0,0,0,0,0,0,0
2023,Q3,-1.18,-1.07,0.0927,1.0,9.27,0,0,0,0,0,0,0,0,0
2023,Q4,-1.01,-0.95,0.0585,0.0,5.85,0,0,0,0,0,0,0,0,0
2024,Q1,-0.24,0.42,2.7375,1.0,273.75,0,0,0,0,0,0,0,0,0
2024,Q2,0.53,0.62,0.1727,1.0,17.27,0,0,0,0,0,0,0,0,0
2024,Q3,1.11,1.18,0.0588,1.0,5.88,0,0,0,0,0,0,0,0,0
2024,Q4,1.77,1.79,0.0136,0.0,1.36,0,0,0,0,0,0,0,0,0
2025,Q1,1.42,1.56,0.0949,0.0,9.49,0,0,0,0,0,0,0,0,0
2025,Q2,1.59,1.91,0.1975,1.0,19.75,0,0,0,0,0,0,0,0,0
2025,Q3,2.86,3.03,0.0594,0.0,5.94,0,0,0,0,0,0,0,0,0
2025,Q4,3.96,4.78,0.2058,0.0,20.58,0,0,0,0,0,0,0,0,0
2026,Q1,9.16,12.2,0.3321,0.0,33.21,0,0,0,0,0,0,0,0,0
