year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,0.56,0.6,0.0616,1.0,6.16,0,0,0,0,0,0,0,0,0
2020,Q3,0.63,0.65,0.0422,1.0,4.22,0,0,0,0,0,0,0,0,0
2020,Q4,0.65,0.67,0.0294,0.0,2.94,0,0,0,0,0,0,0,0,0
2021,Q1,0.38,0.4,0.0417,0.0,4.17,0,0,0,0,0,0,0,0,0
2021,Q2,0.61,0.67,0.0937,1.0,9.37,0,0,0,0,0,0,0,0,0
2021,Q3,0.69,0.71,0.0275,0.0,2.75,0,0,0,0,0,0,0,0,0
2021,Q4,0.72,0.75,0.0469,1.0,4.69,0,0,0,0,0,0,0,0,0
2022,Q1,0.4,0.41,0.0298,0.0,2.98,0,0,0,0,0,0,0,0,0
2022,Q2,0.72,0.74,0.0338,0.0,3.38,0,0,0,0,0,0,0,0,0
2022,Q3,0.76,0.81,0.0704,1.0,7.04,0,0,0,0,0,0,0,0,0
2022,Q4,0.8,0.85,0.0593,1.0,5.93,0,0,0,0,0,0,0,0,0
2023,Q1,0.49,0.51,0.0418,0.0,4.18,0,0,0,0,0,0,0,0,0
2023,Q2,0.76,0.84,0.1002,1.0,10.02,0,0,0,0,0,0,0,0,0
2023,Q3,0.81,0.88,0.0818,1.0,8.18,0,0,0,0,0,0,0,0,0
2023,Q4,0.88,0.94,0.0663,1.0,6.63,0,0,0,0,0,0,0,0,0
2024,Q1,0.49,0.52,0.066,0.0,6.6,0,0,0,0,0,0,0,0,0
2024,Q2,0.8,0.91,0.1342,1.0,13.42,0,0,0,0,0,0,0,0,0
2024,Q3,0.95,0.96,0.0114,0.0,1.14,0,0,0,0,0,0,0,0,0
2024,Q4,0.97,1.03,0.0592,1.0,5.92,0,0,0,0,0,0,0,0,0
2025,Q1,0.53,0.53,0.0079,0.0,0.79,0,0,0,0,0,0,0,0,0
2025,Q2,0.98,0.99,0.0119,1.0,1.19,0,0,0,0,0,0,0,0,0
2025,Q3,1.03,0.98,-0.0442,0.0,-4.42,0,0,0,0,0,0,0,0,0
2025,Q4,1.02,1.13,0.1062,1.0,10.62,0,0,0,0,0,0,0,0,0
2026,Q1,0.53,0.54,0.0242,0.0,2.42,0,0,0,0,0,0,0,0,0
