year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,2.24,2.58,0.152,1.0,15.2,0,0,0,0,0,0,0,0,0
2020,Q3,1.36,1.53,0.1231,1.0,12.31,0,0,0,0,0,0,0,0,0
2020,Q4,2.37,2.51,0.0587,0.0,5.87,0,0,0,0,0,0,0,0,0
2021,Q1,2.48,2.64,0.0655,1.0,6.55,0,0,0,0,0,0,0,0,0
2021,Q2,2.54,2.66,0.0464,0.0,4.64,0,0,0,0,0,0,0,0,0
2021,Q3,2.97,3.28,0.1034,1.0,10.34,0,0,0,0,0,0,0,0,0
2021,Q4,2.92,3.06,0.0495,1.0,4.95,0,0,0,0,0,0,0,0,0
2022,Q1,3.04,3.12,0.0258,1.0,2.58,0,0,0,0,0,0,0,0,0
2022,Q2,2.92,2.93,0.0038,1.0,0.38,0,0,0,0,0,0,0,0,0
2022,Q3,3.47,3.45,-0.0052,0.0,-0.52,0,0,0,0,0,0,0,0,0
2022,Q4,3.6,3.75,0.0418,1.0,4.18,0,0,0,0,0,0,0,0,0
2023,Q1,3.44,3.42,-0.0067,0.0,-0.67,0,0,0,0,0,0,0,0,0
2023,Q2,3.15,3.32,0.0555,1.0,5.55,0,0,0,0,0,0,0,0,0
2023,Q3,3.11,2.95,-0.052,0.0,-5.2,0,0,0,0,0,0,0,0,0
2023,Q4,2.7,2.65,-0.0174,0.0,-1.74,0,0,0,0,0,0,0,0,0
2024,Q1,2.87,2.83,-0.0136,0.0,-1.36,0,0,0,0,0,0,0,0,0
2024,Q2,2.53,3.29,0.2979,1.0,29.79,0,0,0,0,0,0,0,0,0
2024,Q3,2.86,3.06,0.0697,1.0,6.97,0,0,0,0,0,0,0,0,0
2024,Q4,3.11,3.25,0.0453,1.0,4.53,0,0,0,0,0,0,0,0,0
2025,Q1,2.94,3.04,0.0331,1.0,3.31,0,0,0,0,0,0,0,0,0
2025,Q2,2.68,2.69,0.0053,1.0,0.53,0,0,0,0,0,0,0,0,0
2025,Q3,3.31,3.29,-0.0048,0.0,-0.48,0,0,0,0,0,0,0,0,0
2025,Q4,3.2,3.3,0.0304,0.0,3.04,0,0,0,0,0,0,0,0,0
2026,Q1,2.76,3.22,0.1651,0.0,16.51,0,0,0,0,0,0,0,0,0
