year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,1.15,1.19,0.0393,1.0,3.93,0,0,0,0,0,0,0,0,0
2020,Q3,0.9,0.92,0.0214,0.0,2.14,0,0,0,0,0,0,0,0,0
2020,Q4,1.04,1.21,0.1636,0.0,16.36,0,0,0,0,0,0,0,0,0
2021,Q1,1.62,1.9,0.1756,0.0,17.56,0,0,0,0,0,0,0,0,0
2021,Q2,1.12,1.33,0.1846,1.0,18.46,0,0,0,0,0,0,0,0,0
2021,Q3,1.37,1.34,-0.0232,0.0,-2.32,0,0,0,0,0,0,0,0,0
2021,Q4,1.37,1.65,0.2035,0.0,20.35,0,0,0,0,0,0,0,0,0
2022,Q1,1.71,2.11,0.2337,1.0,23.37,0,0,0,0,0,0,0,0,0
2022,Q2,1.33,1.39,0.0417,0.0,4.17,0,0,0,0,0,0,0,0,0
2022,Q3,1.56,1.68,0.0776,1.0,7.76,0,0,0,0,0,0,0,0,0
2022,Q4,1.71,1.77,0.037,0.0,3.7,0,0,0,0,0,0,0,0,0
2023,Q1,1.99,2.09,0.0502,0.0,5.02,0,0,0,0,0,0,0,0,0
2023,Q2,1.39,1.56,0.1198,1.0,11.98,0,0,0,0,0,0,0,0,0
2023,Q3,1.81,1.81,-0.0006,0.0,-0.06,0,0,0,0,0,0,0,0,0
2023,Q4,1.85,1.86,0.0051,0.0,0.51,0,0,0,0,0,0,0,0,0
2024,Q1,2.16,2.2,0.0184,0.0,1.84,0,0,0,0,0,0,0,0,0
2024,Q2,1.53,1.67,0.0932,1.0,9.32,0,0,0,0,0,0,0,0,0
2024,Q3,1.93,1.95,0.0115,1.0,1.15,0,0,0,0,0,0,0,0,0
2024,Q4,2.03,2.03,0.0008,0.0,0.08,0,0,0,0,0,0,0,0,0
2025,Q1,2.39,2.41,0.008,0.0,0.8,0,0,0,0,0,0,0,0,0
2025,Q2,1.66,1.7,0.0228,1.0,2.28,0,0,0,0,0,0,0,0,0
2025,Q3,2.03,2.05,0.0083,0.0,0.83,0,0,0,0,0,0,0,0,0
2025,Q4,2.17,2.24,0.0306,1.0,3.06,0,0,0,0,0,0,0,0,0
2026,Q1,2.94,2.59,-0.118,0.0,-11.8,0,0,0,0,0,0,0,0,0
