year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,1.15,1.2,0.0416,0.0,4.16,0,0,0,0,0,0,0,0,0
2020,Q3,0.86,0.93,0.0777,1.0,7.77,0,0,0,0,0,0,0,0,0
2020,Q4,1.0,1.06,0.0613,1.0,6.13,0,0,0,0,0,0,0,0,0
2021,Q1,1.11,1.16,0.0454,0.0,4.54,0,0,0,0,0,0,0,0,0
2021,Q2,1.33,1.54,0.1562,1.0,15.62,0,0,0,0,0,0,0,0,0
2021,Q3,0.97,1.03,0.064,0.0,6.4,0,0,0,0,0,0,0,0,0
2021,Q4,1.11,1.21,0.0853,1.0,8.53,0,0,0,0,0,0,0,0,0
2022,Q1,1.18,1.13,-0.0402,0.0,-4.02,0,0,0,0,0,0,0,0,0
2022,Q2,1.38,1.54,0.1195,1.0,11.95,0,0,0,0,0,0,0,0,0
2022,Q3,1.08,1.03,-0.0422,0.0,-4.22,0,0,0,0,0,0,0,0,0
2022,Q4,1.17,1.21,0.0315,1.0,3.15,0,0,0,0,0,0,0,0,0
2023,Q1,1.2,1.22,0.0144,0.0,1.44,0,0,0,0,0,0,0,0,0
2023,Q2,1.58,1.67,0.0556,1.0,5.56,0,0,0,0,0,0,0,0,0
2023,Q3,1.15,1.19,0.0346,1.0,3.46,0,0,0,0,0,0,0,0,0
2023,Q4,1.33,1.34,0.0095,0.0,0.95,0,0,0,0,0,0,0,0,0
2024,Q1,1.38,1.41,0.0247,1.0,2.47,0,0,0,0,0,0,0,0,0
2024,Q2,1.65,1.63,-0.0114,0.0,-1.14,0,0,0,0,0,0,0,0,0
2024,Q3,1.33,1.39,0.0429,1.0,4.29,0,0,0,0,0,0,0,0,0
2024,Q4,1.48,1.47,-0.0077,1.0,-0.77,0,0,0,0,0,0,0,0,0
2025,Q1,1.49,1.47,-0.0135,0.0,-1.35,0,0,0,0,0,0,0,0,0
2025,Q2,1.64,1.7,0.0337,1.0,3.37,0,0,0,0,0,0,0,0,0
2025,Q3,1.48,1.47,-0.0062,0.0,-0.62,0,0,0,0,0,0,0,0,0
2025,Q4,1.64,2.26,0.3804,1.0,38.04,0,0,0,0,0,0,0,0,0
2026,Q1,1.69,1.79,0.0569,0.0,5.69,0,0,0,0,0,0,0,0,0
