year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,0.46,0.38,-0.1739,0.0,-17.39,0,0,0,0,0,0,0,0,0
2020,Q3,0.44,0.56,0.2641,1.0,26.41,0,0,0,0,0,0,0,0,0
2020,Q4,0.56,0.69,0.2294,1.0,22.94,0,0,0,0,0,0,0,0,0
2021,Q1,0.59,0.66,0.1139,0.0,11.39,0,0,0,0,0,0,0,0,0
2021,Q2,0.63,0.72,0.1429,1.0,14.29,0,0,0,0,0,0,0,0,0
2021,Q3,0.72,0.79,0.0972,1.0,9.72,0,0,0,0,0,0,0,0,0
2021,Q4,0.73,0.77,0.0496,1.0,4.96,0,0,0,0,0,0,0,0,0
2022,Q1,0.7,0.72,0.0345,0.0,3.45,0,0,0,0,0,0,0,0,0
2022,Q2,0.74,0.77,0.0405,0.0,4.05,0,0,0,0,0,0,0,0,0
2022,Q3,0.79,0.86,0.0947,1.0,9.47,0,0,0,0,0,0,0,0,0
2022,Q4,0.78,0.8,0.0204,1.0,2.04,0,0,0,0,0,0,0,0,0
2023,Q1,0.75,0.75,0.0026,0.0,0.26,0,0,0,0,0,0,0,0,0
2023,Q2,0.75,0.8,0.0609,0.0,6.09,0,0,0,0,0,0,0,0,0
2023,Q3,0.86,0.92,0.0645,0.0,6.45,0,0,0,0,0,0,0,0,0
2023,Q4,0.88,0.95,0.0821,1.0,8.21,0,0,0,0,0,0,0,0,0
2024,Q1,0.86,0.87,0.0109,0.0,1.09,0,0,0,0,0,0,0,0,0
2024,Q2,0.86,0.88,0.018,0.0,1.8,0,0,0,0,0,0,0,0,0
2024,Q3,1.03,1.06,0.0298,1.0,2.98,0,0,0,0,0,0,0,0,0
2024,Q4,0.97,0.96,-0.0098,1.0,-0.98,0,0,0,0,0,0,0,0,0
2025,Q1,0.96,0.93,-0.0279,0.0,-2.79,0,0,0,0,0,0,0,0,0
2025,Q2,0.91,0.92,0.011,0.0,1.1,0,0,0,0,0,0,0,0,0
2025,Q3,1.03,1.05,0.0215,0.0,2.15,0,0,0,0,0,0,0,0,0
2025,Q4,1.0,1.05,0.0473,1.0,4.73,0,0,0,0,0,0,0,0,0
2026,Q1,1.03,1.03,-0.0035,0.0,-0.35,0,0,0,0,0,0,0,0,0
