year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,1.02,1.03,0.0093,0.0,0.93,0,0,0,0,0,0,0,0,0
2020,Q3,0.6,0.79,0.3086,1.0,30.86,0,0,0,0,0,0,0,0,0
2020,Q4,0.97,0.96,-0.0125,0.0,-1.25,0,0,0,0,0,0,0,0,0
2021,Q1,0.64,0.65,0.0128,0.0,1.28,0,0,0,0,0,0,0,0,0
2021,Q2,1.12,1.28,0.1415,1.0,14.15,0,0,0,0,0,0,0,0,0
2021,Q3,0.7,0.7,-0.0049,0.0,-0.49,0,0,0,0,0,0,0,0,0
2021,Q4,0.93,0.98,0.0552,1.0,5.52,0,0,0,0,0,0,0,0,0
2022,Q1,0.67,0.69,0.0349,0.0,3.49,0,0,0,0,0,0,0,0,0
2022,Q2,1.12,1.33,0.1862,1.0,18.62,0,0,0,0,0,0,0,0,0
2022,Q3,0.64,0.64,-0.0041,0.0,-0.41,0,0,0,0,0,0,0,0,0
2022,Q4,0.83,0.86,0.0424,1.0,4.24,0,0,0,0,0,0,0,0,0
2023,Q1,0.62,0.64,0.0259,0.0,2.59,0,0,0,0,0,0,0,0,0
2023,Q2,1.25,1.39,0.1159,0.0,11.59,0,0,0,0,0,0,0,0,0
2023,Q3,0.62,0.7,0.123,0.0,12.3,0,0,0,0,0,0,0,0,0
2023,Q4,0.75,0.85,0.13,1.0,13.0,0,0,0,0,0,0,0,0,0
2024,Q1,0.52,0.54,0.0374,1.0,3.74,0,0,0,0,0,0,0,0,0
2024,Q2,1.32,1.31,-0.0068,0.0,-0.68,0,0,0,0,0,0,0,0,0
2024,Q3,0.62,0.63,0.0104,0.0,1.04,0,0,0,0,0,0,0,0,0
2024,Q4,0.88,0.9,0.0267,1.0,2.67,0,0,0,0,0,0,0,0,0
2025,Q1,0.83,0.84,0.0147,1.0,1.47,0,0,0,0,0,0,0,0,0
2025,Q2,1.43,1.43,-0.0023,0.0,-0.23,0,0,0,0,0,0,0,0,0
2025,Q3,0.7,0.77,0.1025,0.0,10.25,0,0,0,0,0,0,0,0,0
2025,Q4,1.01,1.13,0.1157,1.0,11.57,0,0,0,0,0,0,0,0,0
2026,Q1,0.71,0.72,0.0144,0.0,1.44,0,0,0,0,0,0,0,0,0
