year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,0.73,0.8,0.0998,0.0,9.98,0,0,0,0,0,0,0,0,0
2020,Q3,0.66,0.78,0.1813,1.0,18.13,0,0,0,0,0,0,0,0,0
2020,Q4,0.71,0.72,0.0097,1.0,0.97,0,0,0,0,0,0,0,0,0
2021,Q1,0.46,0.42,-0.0965,0.0,-9.65,0,0,0,0,0,0,0,0,0
2021,Q2,0.78,0.93,0.1963,1.0,19.63,0,0,0,0,0,0,0,0,0
2021,Q3,0.98,1.07,0.0942,0.0,9.42,0,0,0,0,0,0,0,0,0
2021,Q4,1.09,1.34,0.235,0.0,23.5,0,0,0,0,0,0,0,0,0
2022,Q1,0.87,1.08,0.236,1.0,23.6,0,0,0,0,0,0,0,0,0
2022,Q2,1.57,1.62,0.0347,0.0,3.47,0,0,0,0,0,0,0,0,0
2022,Q3,1.78,2.04,0.148,0.0,14.8,0,0,0,0,0,0,0,0,0
2022,Q4,1.4,1.78,0.2703,1.0,27.03,0,0,0,0,0,0,0,0,0
2023,Q1,1.04,1.14,0.094,0.0,9.4,0,0,0,0,0,0,0,0,0
2023,Q2,0.99,1.23,0.2468,1.0,24.68,0,0,0,0,0,0,0,0,0
2023,Q3,0.58,0.67,0.1528,0.0,15.28,0,0,0,0,0,0,0,0,0
2023,Q4,-0.34,-0.17,0.4996,0.0,49.96,0,0,0,0,0,0,0,0,0
2024,Q1,-0.18,0.1,1.547,1.0,154.7,0,0,0,0,0,0,0,0,0
2024,Q2,0.34,0.55,0.6101,1.0,61.01,0,0,0,0,0,0,0,0,0
2024,Q3,0.46,0.6,0.3019,0.0,30.19,0,0,0,0,0,0,0,0,0
2024,Q4,0.61,1.06,0.7328,1.0,73.28,0,0,0,0,0,0,0,0,0
2025,Q1,0.46,0.63,0.372,1.0,37.2,0,0,0,0,0,0,0,0,0
2025,Q2,0.67,0.92,0.3649,1.0,36.49,0,0,0,0,0,0,0,0,0
2025,Q3,0.57,0.78,0.3594,0.0,35.94,0,0,0,0,0,0,0,0,0
2025,Q4,0.63,0.87,0.3743,1.0,37.43,0,0,0,0,0,0,0,0,0
2026,Q1,0.57,0.66,0.1618,0.0,16.18,0,0,0,0,0,0,0,0,0
