year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,1.13,1.21,0.0692,0.0,6.92,0,0,0,0,0,0,0,0,0
2020,Q3,1.1,1.29,0.1739,1.0,17.39,0,0,0,0,0,0,0,0,0
2020,Q4,1.36,1.42,0.0445,1.0,4.45,0,0,0,0,0,0,0,0,0
2021,Q1,1.21,1.26,0.039,0.0,3.9,0,0,0,0,0,0,0,0,0
2021,Q2,1.39,1.57,0.129,1.0,12.9,0,0,0,0,0,0,0,0,0
2021,Q3,1.55,1.57,0.0147,1.0,1.47,0,0,0,0,0,0,0,0,0
2021,Q4,1.56,1.58,0.014,0.0,1.4,0,0,0,0,0,0,0,0,0
2022,Q1,1.33,1.35,0.0171,0.0,1.71,0,0,0,0,0,0,0,0,0
2022,Q2,1.49,1.56,0.0442,0.0,4.42,0,0,0,0,0,0,0,0,0
2022,Q3,1.25,1.48,0.1847,1.0,18.47,0,0,0,0,0,0,0,0,0
2022,Q4,1.36,1.53,0.1256,1.0,12.56,0,0,0,0,0,0,0,0,0
2023,Q1,1.28,1.39,0.0887,1.0,8.87,0,0,0,0,0,0,0,0,0
2023,Q2,1.34,1.38,0.0264,0.0,2.64,0,0,0,0,0,0,0,0,0
2023,Q3,1.48,1.6,0.0836,1.0,8.36,0,0,0,0,0,0,0,0,0
2023,Q4,1.61,1.67,0.0348,1.0,3.48,0,0,0,0,0,0,0,0,0
2024,Q1,1.45,1.36,-0.0628,0.0,-6.28,0,0,0,0,0,0,0,0,0
2024,Q2,1.41,1.5,0.0647,1.0,6.47,0,0,0,0,0,0,0,0,0
2024,Q3,1.56,1.59,0.0203,0.0,2.03,0,0,0,0,0,0,0,0,0
2024,Q4,1.82,1.91,0.049,1.0,4.9,0,0,0,0,0,0,0,0,0
2025,Q1,1.5,1.55,0.0342,0.0,3.42,0,0,0,0,0,0,0,0,0
2025,Q2,1.61,1.69,0.0479,1.0,4.79,0,0,0,0,0,0,0,0,0
2025,Q3,1.86,1.91,0.028,0.0,2.8,0,0,0,0,0,0,0,0,0
2025,Q4,2.1,2.24,0.0688,0.0,6.88,0,0,0,0,0,0,0,0,0
2026,Q1,1.7,1.7,,0.0,,0,0,0,0,0,0,0,0,0
