year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,2.14,1.95,-0.0869,1.0,-8.69,0,0,0,0,0,0,0,0,0
2020,Q3,10.2,8.4,-0.1765,0.0,-17.65,0,0,0,0,0,0,0,0,0
2020,Q4,2.13,3.39,0.5896,1.0,58.96,0,0,0,0,0,0,0,0,0
2021,Q1,2.61,3.26,0.2489,0.0,24.89,0,0,0,0,0,0,0,0,0
2021,Q2,2.76,4.1,0.4845,1.0,48.45,0,0,0,0,0,0,0,0,0
2021,Q3,1.78,2.43,0.3684,1.0,36.84,0,0,0,0,0,0,0,0,0
2021,Q4,3.36,3.3,-0.0192,1.0,-1.92,0,0,0,0,0,0,0,0,0
2022,Q1,3.15,2.86,-0.0911,0.0,-9.11,0,0,0,0,0,0,0,0,0
2022,Q2,2.75,3.23,0.1733,1.0,17.33,0,0,0,0,0,0,0,0,0
2022,Q3,3.14,3.39,0.0804,1.0,8.04,0,0,0,0,0,0,0,0,0
2022,Q4,3.7,3.78,0.0216,1.0,2.16,0,0,0,0,0,0,0,0,0
2023,Q1,3.95,3.47,-0.1208,0.0,-12.08,0,0,0,0,0,0,0,0,0
2023,Q2,3.64,3.98,0.0931,1.0,9.31,0,0,0,0,0,0,0,0,0
2023,Q3,3.28,3.36,0.0249,0.0,2.49,0,0,0,0,0,0,0,0,0
2023,Q4,3.11,3.6,0.1589,1.0,15.89,0,0,0,0,0,0,0,0,0
2024,Q1,2.04,1.85,-0.0944,0.0,-9.44,0,0,0,0,0,0,0,0,0
2024,Q2,2.99,3.1,0.0375,1.0,3.75,0,0,0,0,0,0,0,0,0
2024,Q3,3.68,3.39,-0.08,0.0,-8.0,0,0,0,0,0,0,0,0,0
2024,Q4,3.32,3.49,0.0502,0.0,5.02,0,0,0,0,0,0,0,0,0
2025,Q1,3.35,3.77,0.1265,1.0,12.65,0,0,0,0,0,0,0,0,0
2025,Q2,3.38,3.51,0.0395,0.0,3.95,0,0,0,0,0,0,0,0,0
2025,Q3,3.55,3.85,0.0848,1.0,8.48,0,0,0,0,0,0,0,0,0
2025,Q4,4.04,4.35,0.0758,0.0,7.58,0,0,0,0,0,0,0,0,0
2026,Q1,4.21,4.88,0.1587,0.0,15.87,0,0,0,0,0,0,0,0,0
