year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,1.16,1.19,0.0219,0.0,2.19,0,0,0,0,0,0,0,0,0
2020,Q3,0.71,0.99,0.3977,1.0,39.77,0,0,0,0,0,0,0,0,0
2020,Q4,1.92,1.93,0.0067,1.0,0.67,0,0,0,0,0,0,0,0,0
2021,Q1,1.58,1.59,0.0066,0.0,0.66,0,0,0,0,0,0,0,0,0
2021,Q2,1.55,1.88,0.2128,1.0,21.28,0,0,0,0,0,0,0,0,0
2021,Q3,2.18,1.94,-0.1113,0.0,-11.13,0,0,0,0,0,0,0,0,0
2021,Q4,1.59,1.69,0.0652,1.0,6.52,0,0,0,0,0,0,0,0,0
2022,Q1,1.19,1.26,0.0569,0.0,5.69,0,0,0,0,0,0,0,0,0
2022,Q2,1.11,1.37,0.2338,1.0,23.38,0,0,0,0,0,0,0,0,0
2022,Q3,1.73,1.81,0.0488,1.0,4.88,0,0,0,0,0,0,0,0,0
2022,Q4,1.65,1.66,0.009,0.0,0.9,0,0,0,0,0,0,0,0,0
2023,Q1,1.13,1.22,0.0818,0.0,8.18,0,0,0,0,0,0,0,0,0
2023,Q2,1.55,1.82,0.1721,1.0,17.21,0,0,0,0,0,0,0,0,0
2023,Q3,2.14,2.25,0.0491,0.0,4.91,0,0,0,0,0,0,0,0,0
2023,Q4,1.94,2.07,0.0681,1.0,6.81,0,0,0,0,0,0,0,0,0
2024,Q1,1.5,1.53,0.0221,1.0,2.21,0,0,0,0,0,0,0,0,0
2024,Q2,1.86,1.86,-0.0025,0.0,-0.25,0,0,0,0,0,0,0,0,0
2024,Q3,2.48,2.5,0.0061,1.0,0.61,0,0,0,0,0,0,0,0,0
2024,Q4,2.15,2.13,-0.0086,1.0,-0.86,0,0,0,0,0,0,0,0,0
2025,Q1,1.63,1.61,-0.0148,0.0,-1.48,0,0,0,0,0,0,0,0,0
2025,Q2,1.62,1.72,0.0605,1.0,6.05,0,0,0,0,0,0,0,0,0
2025,Q3,2.22,2.22,-0.0001,0.0,-0.01,0,0,0,0,0,0,0,0,0
2025,Q4,2.08,2.13,0.0226,1.0,2.26,0,0,0,0,0,0,0,0,0
2026,Q1,1.58,1.51,-0.0437,0.0,-4.37,0,0,0,0,0,0,0,0,0
