year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,0.63,1.02,0.609,1.0,60.9,0,0,0,0,0,0,0,0,0
2020,Q3,-0.84,-0.74,0.1173,0.0,11.73,0,0,0,0,0,0,0,0,0
2020,Q4,-0.75,-0.01,0.9867,1.0,98.67,0,0,0,0,0,0,0,0,0
2021,Q1,-1.0,-1.16,-0.1595,0.0,-15.95,0,0,0,0,0,0,0,0,0
2021,Q2,-1.4,-1.16,0.1734,0.0,17.34,0,0,0,0,0,0,0,0,0
2021,Q3,0.6,0.74,0.2349,0.0,23.49,0,0,0,0,0,0,0,0,0
2021,Q4,1.92,3.18,0.6543,1.0,65.43,0,0,0,0,0,0,0,0,0
2022,Q1,1.93,2.94,0.522,1.0,52.2,0,0,0,0,0,0,0,0,0
2022,Q2,1.21,1.32,0.0866,0.0,8.66,0,0,0,0,0,0,0,0,0
2022,Q3,5.85,6.77,0.1566,0.0,15.66,0,0,0,0,0,0,0,0,0
2022,Q4,5.04,6.46,0.2826,1.0,28.26,0,0,0,0,0,0,0,0,0
2023,Q1,4.35,4.0,-0.081,0.0,-8.1,0,0,0,0,0,0,0,0,0
2023,Q2,3.56,4.21,0.1832,1.0,18.32,0,0,0,0,0,0,0,0,0
2023,Q3,3.56,3.87,0.0857,1.0,8.57,0,0,0,0,0,0,0,0,0
2023,Q4,4.73,4.63,-0.0206,0.0,-2.06,0,0,0,0,0,0,0,0,0
2024,Q1,2.38,3.09,0.2958,1.0,29.58,0,0,0,0,0,0,0,0,0
2024,Q2,2.25,1.9,-0.1573,0.0,-15.73,0,0,0,0,0,0,0,0,0
2024,Q3,1.98,2.31,0.1661,0.0,16.61,0,0,0,0,0,0,0,0,0
2024,Q4,1.66,2.04,0.2254,0.0,22.54,0,0,0,0,0,0,0,0,0
2025,Q1,-0.22,-0.15,0.3218,1.0,32.18,0,0,0,0,0,0,0,0,0
2025,Q2,-0.72,-0.9,-0.2557,0.0,-25.57,0,0,0,0,0,0,0,0,0
2025,Q3,1.71,2.38,0.3889,1.0,38.89,0,0,0,0,0,0,0,0,0
2025,Q4,2.16,2.52,0.1681,1.0,16.81,0,0,0,0,0,0,0,0,0
2026,Q1,2.15,2.47,0.147,0.0,14.7,0,0,0,0,0,0,0,0,0
