year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,0.8,0.88,0.0965,0.0,9.65,0,0,0,0,0,0,0,0,0
2020,Q3,0.71,0.86,0.2056,0.0,20.56,0,0,0,0,0,0,0,0,0
2020,Q4,1.18,1.45,0.2283,1.0,22.83,0,0,0,0,0,0,0,0,0
2021,Q1,2.1,2.17,0.0327,0.0,3.27,0,0,0,0,0,0,0,0,0
2021,Q2,1.67,1.9,0.1409,0.0,14.09,0,0,0,0,0,0,0,0,0
2021,Q3,1.68,1.92,0.1411,1.0,14.11,0,0,0,0,0,0,0,0,0
2021,Q4,2.26,2.55,0.1282,1.0,12.82,0,0,0,0,0,0,0,0,0
2022,Q1,3.0,3.23,0.0759,0.0,7.59,0,0,0,0,0,0,0,0,0
2022,Q2,2.92,3.21,0.1008,1.0,10.08,0,0,0,0,0,0,0,0,0
2022,Q3,2.87,2.96,0.0313,1.0,3.13,0,0,0,0,0,0,0,0,0
2022,Q4,3.13,3.13,-0.0013,0.0,-0.13,0,0,0,0,0,0,0,0,0
2023,Q1,2.35,2.37,0.0072,1.0,0.72,0,0,0,0,0,0,0,0,0
2023,Q2,2.16,2.15,-0.0024,0.0,-0.24,0,0,0,0,0,0,0,0,0
2023,Q3,1.81,1.87,0.0335,0.0,3.35,0,0,0,0,0,0,0,0,0
2023,Q4,1.91,2.02,0.0593,0.0,5.93,0,0,0,0,0,0,0,0,0
2024,Q1,2.37,2.75,0.161,1.0,16.1,0,0,0,0,0,0,0,0,0
2024,Q2,2.32,2.44,0.0531,1.0,5.31,0,0,0,0,0,0,0,0,0
2024,Q3,2.26,2.33,0.0332,0.0,3.32,0,0,0,0,0,0,0,0,0
2024,Q4,2.57,2.69,0.0474,0.0,4.74,0,0,0,0,0,0,0,0,0
2025,Q1,2.99,3.41,0.142,1.0,14.2,0,0,0,0,0,0,0,0,0
2025,Q2,2.82,2.85,0.0119,0.0,1.19,0,0,0,0,0,0,0,0,0
2025,Q3,2.71,2.77,0.0205,0.0,2.05,0,0,0,0,0,0,0,0,0
2025,Q4,2.88,3.0,0.0432,1.0,4.32,0,0,0,0,0,0,0,0,0
2026,Q1,3.4,3.5,0.0287,0.0,2.87,0,0,0,0,0,0,0,0,0
