year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,6.09,6.6,0.0845,0.0,8.45,0,0,0,0,0,0,0,0,0
2020,Q3,5.97,7.16,0.2002,1.0,20.02,0,0,0,0,0,0,0,0,0
2020,Q4,6.99,8.36,0.1964,1.0,19.64,0,0,0,0,0,0,0,0,0
2021,Q1,8.29,9.53,0.1502,1.0,15.02,0,0,0,0,0,0,0,0,0
2021,Q2,8.68,9.89,0.1399,0.0,13.99,0,0,0,0,0,0,0,0,0
2021,Q3,17.71,25.8,0.4567,0.0,45.67,0,0,0,0,0,0,0,0,0
2021,Q4,9.94,15.37,0.5465,1.0,54.65,0,0,0,0,0,0,0,0,0
2022,Q1,20.3,23.72,0.1685,0.0,16.85,0,0,0,0,0,0,0,0,0
2022,Q2,9.8,11.49,0.1728,1.0,17.28,0,0,0,0,0,0,0,0,0
2022,Q3,8.76,9.77,0.1155,0.0,11.55,0,0,0,0,0,0,0,0,0
2022,Q4,9.48,11.14,0.1756,0.0,17.56,0,0,0,0,0,0,0,0,0
2023,Q1,10.01,12.56,0.2548,1.0,25.48,0,0,0,0,0,0,0,0,0
2023,Q2,9.56,10.09,0.0555,1.0,5.55,0,0,0,0,0,0,0,0,0
2023,Q3,9.9,10.24,0.0347,0.0,3.47,0,0,0,0,0,0,0,0,0
2023,Q4,10.78,11.59,0.0756,0.0,7.56,0,0,0,0,0,0,0,0,0
2024,Q1,10.75,11.86,0.1037,1.0,10.37,0,0,0,0,0,0,0,0,0
2024,Q2,10.1,9.55,-0.0541,0.0,-5.41,0,0,0,0,0,0,0,0,0
2024,Q3,10.62,11.56,0.0883,1.0,8.83,0,0,0,0,0,0,0,0,0
2024,Q4,11.7,12.46,0.0654,0.0,6.54,0,0,0,0,0,0,0,0,0
2025,Q1,11.19,12.07,0.0782,1.0,7.82,0,0,0,0,0,0,0,0,0
2025,Q2,8.48,8.22,-0.0303,0.0,-3.03,0,0,0,0,0,0,0,0,0
2025,Q3,8.44,12.89,0.5272,1.0,52.72,0,0,0,0,0,0,0,0,0
2025,Q4,9.64,11.83,0.2266,1.0,22.66,0,0,0,0,0,0,0,0,0
2026,Q1,10.75,11.44,0.0638,0.0,6.38,0,0,0,0,0,0,0,0,0
