year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,1.08,1.29,0.1943,0.0,19.43,0,0,0,0,0,0,0,0,0
2020,Q3,1.07,1.33,0.243,1.0,24.3,0,0,0,0,0,0,0,0,0
2020,Q4,1.03,1.27,0.2369,1.0,23.69,0,0,0,0,0,0,0,0,0
2021,Q1,1.28,1.41,0.105,1.0,10.5,0,0,0,0,0,0,0,0,0
2021,Q2,1.27,1.3,0.0235,0.0,2.35,0,0,0,0,0,0,0,0,0
2021,Q3,1.29,1.35,0.0458,0.0,4.58,0,0,0,0,0,0,0,0,0
2021,Q4,1.35,1.51,0.1169,1.0,11.69,0,0,0,0,0,0,0,0,0
2022,Q1,1.52,1.47,-0.035,1.0,-3.5,0,0,0,0,0,0,0,0,0
2022,Q2,1.44,1.32,-0.0813,0.0,-8.13,0,0,0,0,0,0,0,0,0
2022,Q3,1.46,1.49,0.0241,1.0,2.41,0,0,0,0,0,0,0,0,0
2022,Q4,1.6,1.51,-0.0568,0.0,-5.68,0,0,0,0,0,0,0,0,0
2023,Q1,1.62,1.66,0.0262,0.0,2.62,0,0,0,0,0,0,0,0,0
2023,Q2,1.59,1.68,0.0548,1.0,5.48,0,0,0,0,0,0,0,0,0
2023,Q3,1.69,1.6,-0.0538,0.0,-5.38,0,0,0,0,0,0,0,0,0
2023,Q4,1.61,1.64,0.0168,0.0,1.68,0,0,0,0,0,0,0,0,0
2024,Q1,1.78,1.88,0.0545,0.0,5.45,0,0,0,0,0,0,0,0,0
2024,Q2,1.91,2.13,0.1168,1.0,11.68,0,0,0,0,0,0,0,0,0
2024,Q3,2.0,1.98,-0.0076,0.0,-0.76,0,0,0,0,0,0,0,0,0
2024,Q4,2.04,2.2,0.0769,1.0,7.69,0,0,0,0,0,0,0,0,0
2025,Q1,2.31,2.43,0.0498,1.0,4.98,0,0,0,0,0,0,0,0,0
2025,Q2,2.36,2.37,0.0041,0.0,0.41,0,0,0,0,0,0,0,0,0
2025,Q3,2.48,2.55,0.0277,1.0,2.77,0,0,0,0,0,0,0,0,0
2025,Q4,2.5,2.55,0.0205,0.0,2.05,0,0,0,0,0,0,0,0,0
2026,Q1,2.72,2.81,0.0315,0.0,3.15,0,0,0,0,0,0,0,0,0
