year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,1.81,2.43,0.3462,1.0,34.62,0,0,0,0,0,0,0,0,0
2020,Q3,1.17,1.27,0.0869,1.0,8.69,0,0,0,0,0,0,0,0,0
2020,Q4,1.75,1.87,0.0669,0.0,6.69,0,0,0,0,0,0,0,0,0
2021,Q1,1.87,2.38,0.2698,1.0,26.98,0,0,0,0,0,0,0,0,0
2021,Q2,2.16,2.41,0.1161,1.0,11.61,0,0,0,0,0,0,0,0,0
2021,Q3,2.09,2.31,0.1034,1.0,10.34,0,0,0,0,0,0,0,0,0
2021,Q4,2.18,2.33,0.0712,0.0,7.12,0,0,0,0,0,0,0,0,0
2022,Q1,1.91,2.14,0.1217,1.0,12.17,0,0,0,0,0,0,0,0,0
2022,Q2,2.29,1.66,-0.2738,0.0,-27.38,0,0,0,0,0,0,0,0,0
2022,Q3,2.34,2.66,0.136,1.0,13.6,0,0,0,0,0,0,0,0,0
2022,Q4,2.98,3.04,0.0192,0.0,1.92,0,0,0,0,0,0,0,0,0
2023,Q1,1.87,2.46,0.3164,1.0,31.64,0,0,0,0,0,0,0,0,0
2023,Q2,2.6,3.01,0.1576,1.0,15.76,0,0,0,0,0,0,0,0,0
2023,Q3,3.19,3.01,-0.0566,0.0,-5.66,0,0,0,0,0,0,0,0,0
2023,Q4,3.47,3.64,0.0487,1.0,4.87,0,0,0,0,0,0,0,0,0
2024,Q1,2.63,2.04,-0.2251,0.0,-22.51,0,0,0,0,0,0,0,0,0
2024,Q2,2.16,2.5,0.156,0.0,15.6,0,0,0,0,0,0,0,0,0
2024,Q3,2.08,2.71,0.3023,1.0,30.23,0,0,0,0,0,0,0,0,0
2024,Q4,2.47,2.47,0.0013,0.0,0.13,0,0,0,0,0,0,0,0,0
2025,Q1,1.58,1.83,0.1603,1.0,16.03,0,0,0,0,0,0,0,0,0
2025,Q2,2.12,2.45,0.1577,1.0,15.77,0,0,0,0,0,0,0,0,0
2025,Q3,2.67,2.82,0.0566,0.0,5.66,0,0,0,0,0,0,0,0,0
2025,Q4,2.94,3.34,0.1364,1.0,13.64,0,0,0,0,0,0,0,0,0
2026,Q1,2.48,2.75,0.1073,0.0,10.73,0,0,0,0,0,0,0,0,0
