year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,1.33,1.78,0.3399,0.0,33.99,0,0,0,0,0,0,0,0,0
2020,Q3,0.12,0.4,2.3151,1.0,231.51,0,0,0,0,0,0,0,0,0
2020,Q4,0.5,0.58,0.1579,1.0,15.79,0,0,0,0,0,0,0,0,0
2021,Q1,0.69,0.74,0.0682,0.0,6.82,0,0,0,0,0,0,0,0,0
2021,Q2,0.83,0.9,0.0815,0.0,8.15,0,0,0,0,0,0,0,0,0
2021,Q3,0.93,1.03,0.1091,0.0,10.91,0,0,0,0,0,0,0,0,0
2021,Q4,1.09,1.26,0.16,1.0,16.0,0,0,0,0,0,0,0,0,0
2022,Q1,1.02,1.08,0.0572,0.0,5.72,0,0,0,0,0,0,0,0,0
2022,Q2,1.02,1.15,0.1311,1.0,13.11,0,0,0,0,0,0,0,0,0
2022,Q3,1.11,1.16,0.0416,0.0,4.16,0,0,0,0,0,0,0,0,0
2022,Q4,1.14,1.21,0.0633,1.0,6.33,0,0,0,0,0,0,0,0,0
2023,Q1,1.25,1.27,0.0183,0.0,1.83,0,0,0,0,0,0,0,0,0
2023,Q2,1.13,1.22,0.0752,0.0,7.52,0,0,0,0,0,0,0,0,0
2023,Q3,1.18,1.29,0.0973,1.0,9.73,0,0,0,0,0,0,0,0,0
2023,Q4,1.22,1.25,0.0264,0.0,2.64,0,0,0,0,0,0,0,0,0
2024,Q1,1.25,1.29,0.0346,0.0,3.46,0,0,0,0,0,0,0,0,0
2024,Q2,1.23,1.34,0.086,0.0,8.6,0,0,0,0,0,0,0,0,0
2024,Q3,1.3,1.41,0.0861,1.0,8.61,0,0,0,0,0,0,0,0,0
2024,Q4,1.34,1.45,0.0831,0.0,8.31,0,0,0,0,0,0,0,0,0
2025,Q1,1.38,1.54,0.118,1.0,11.8,0,0,0,0,0,0,0,0,0
2025,Q2,1.37,1.47,0.0752,0.0,7.52,0,0,0,0,0,0,0,0,0
2025,Q3,1.43,1.56,0.0947,0.0,9.47,0,0,0,0,0,0,0,0,0
2025,Q4,1.41,1.7,0.2064,1.0,20.64,0,0,0,0,0,0,0,0,0
2026,Q1,1.47,1.55,0.0534,0.0,5.34,0,0,0,0,0,0,0,0,0
