year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,0.63,0.62,-0.0096,0.0,-0.96,0,0,0,0,0,0,0,0,0
2020,Q3,0.53,0.54,0.0111,0.0,1.11,0,0,0,0,0,0,0,0,0
2020,Q4,0.47,0.51,0.0775,1.0,7.75,0,0,0,0,0,0,0,0,0
2021,Q1,0.7,0.74,0.0541,1.0,5.41,0,0,0,0,0,0,0,0,0
2021,Q2,0.82,0.84,0.02,1.0,2.0,0,0,0,0,0,0,0,0,0
2021,Q3,0.72,0.7,-0.023,0.0,-2.3,0,0,0,0,0,0,0,0,0
2021,Q4,0.81,0.84,0.034,1.0,3.4,0,0,0,0,0,0,0,0,0
2022,Q1,0.88,0.86,-0.0256,1.0,-2.56,0,0,0,0,0,0,0,0,0
2022,Q2,0.84,0.77,-0.0835,0.0,-8.35,0,0,0,0,0,0,0,0,0
2022,Q3,0.91,0.97,0.069,1.0,6.9,0,0,0,0,0,0,0,0,0
2022,Q4,1.05,1.1,0.0434,1.0,4.34,0,0,0,0,0,0,0,0,0
2023,Q1,1.09,1.07,-0.0168,0.0,-1.68,0,0,0,0,0,0,0,0,0
2023,Q2,0.9,0.93,0.0334,0.0,3.34,0,0,0,0,0,0,0,0,0
2023,Q3,0.71,0.75,0.0569,1.0,5.69,0,0,0,0,0,0,0,0,0
2023,Q4,0.74,0.77,0.0386,0.0,3.86,0,0,0,0,0,0,0,0,0
2024,Q1,0.64,0.68,0.0637,1.0,6.37,0,0,0,0,0,0,0,0,0
2024,Q2,0.73,0.74,0.0073,0.0,0.73,0,0,0,0,0,0,0,0,0
2024,Q3,0.72,0.73,0.0114,0.0,1.14,0,0,0,0,0,0,0,0,0
2024,Q4,0.75,0.77,0.0261,0.0,2.61,0,0,0,0,0,0,0,0,0
2025,Q1,0.91,1.01,0.1046,1.0,10.46,0,0,0,0,0,0,0,0,0
2025,Q2,1.01,1.04,0.0317,0.0,3.17,0,0,0,0,0,0,0,0,0
2025,Q3,1.1,1.14,0.0381,0.0,3.81,0,0,0,0,0,0,0,0,0
2025,Q4,1.25,1.31,0.0521,1.0,5.21,0,0,0,0,0,0,0,0,0
2026,Q1,1.39,1.39,-0.0027,0.0,-0.27,0,0,0,0,0,0,0,0,0
