year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q3,2.05,2.3,0.1245,1.0,12.45,0,0,0,0,0,0,0,0,0
2020,Q4,2.51,2.76,0.0982,0.0,9.82,0,0,0,0,0,0,0,0,0
2021,Q1,2.41,3.09,0.2824,1.0,28.24,0,0,0,0,0,0,0,0,0
2021,Q2,2.35,2.33,-0.0081,1.0,-0.81,0,0,0,0,0,0,0,0,0
2021,Q2,1.55,1.82,0.1754,1.0,17.54,0,0,0,0,0,0,0,0,0
2021,Q4,2.78,2.38,-0.1428,0.0,-14.28,0,0,0,0,0,0,0,0,0
2022,Q1,2.78,3.12,0.1223,1.0,12.23,0,0,0,0,0,0,0,0,0
2022,Q2,2.52,2.66,0.0546,0.0,5.46,0,0,0,0,0,0,0,0,0
2022,Q2,2.12,2.37,0.1176,1.0,11.76,0,0,0,0,0,0,0,0,0
2022,Q4,2.81,3.17,0.1262,1.0,12.62,0,0,0,0,0,0,0,0,0
2023,Q1,2.89,2.83,-0.021,0.0,-2.1,0,0,0,0,0,0,0,0,0
2023,Q2,2.83,2.91,0.0285,0.0,2.85,0,0,0,0,0,0,0,0,0
2023,Q2,1.84,1.98,0.0739,1.0,7.39,0,0,0,0,0,0,0,0,0
2023,Q4,3.37,3.7,0.0963,1.0,9.63,0,0,0,0,0,0,0,0,0
2024,Q1,3.0,3.19,0.0646,0.0,6.46,0,0,0,0,0,0,0,0,0
2024,Q2,2.1,2.26,0.0757,1.0,7.57,0,0,0,0,0,0,0,0,0
2024,Q3,3.45,3.57,0.0336,0.0,3.36,0,0,0,0,0,0,0,0,0
2024,Q4,4.07,4.32,0.0603,1.0,6.03,0,0,0,0,0,0,0,0,0
2025,Q1,3.31,3.25,-0.0192,0.0,-1.92,0,0,0,0,0,0,0,0,0
2025,Q2,2.27,2.63,0.1594,1.0,15.94,0,0,0,0,0,0,0,0,0
2025,Q3,3.29,3.22,-0.0227,0.0,-2.27,0,0,0,0,0,0,0,0,0
2025,Q4,3.41,3.63,0.0651,0.0,6.51,0,0,0,0,0,0,0,0,0
2026,Q1,2.63,3.06,0.1621,1.0,16.21,0,0,0,0,0,0,0,0,0
2026,Q2,1.71,1.9,0.109,0.0,10.9,0,0,0,0,0,0,0,0,0
