year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,1.08,1.2,0.1064,0.0,10.64,0,0,0,0,0,0,0,0,0
2020,Q3,1.25,1.6,0.2759,1.0,27.59,0,0,0,0,0,0,0,0,0
2020,Q4,2.7,2.89,0.0713,0.0,7.13,0,0,0,0,0,0,0,0,0
2021,Q1,3.02,3.29,0.0911,0.0,9.11,0,0,0,0,0,0,0,0,0
2021,Q2,2.57,3.13,0.2182,1.0,21.82,0,0,0,0,0,0,0,0,0
2021,Q3,2.9,3.08,0.0622,0.0,6.22,0,0,0,0,0,0,0,0,0
2021,Q4,2.47,2.77,0.1203,1.0,12.03,0,0,0,0,0,0,0,0,0
2022,Q1,2.04,2.14,0.0497,0.0,4.97,0,0,0,0,0,0,0,0,0
2022,Q2,1.7,2.1,0.2356,1.0,23.56,0,0,0,0,0,0,0,0,0
2022,Q3,2.13,1.77,-0.168,0.0,-16.8,0,0,0,0,0,0,0,0,0
2022,Q4,0.7,0.76,0.0925,0.0,9.25,0,0,0,0,0,0,0,0,0
2023,Q1,-0.34,-0.1,0.7073,1.0,70.73,0,0,0,0,0,0,0,0,0
2023,Q2,-0.74,-0.41,0.4425,0.0,44.25,0,0,0,0,0,0,0,0,0
2023,Q3,-0.35,-0.11,0.683,1.0,68.3,0,0,0,0,0,0,0,0,0
2023,Q4,0.83,1.05,0.2624,1.0,26.24,0,0,0,0,0,0,0,0,0
2024,Q1,0.78,0.92,0.1739,1.0,17.39,0,0,0,0,0,0,0,0,0
2024,Q2,0.55,0.56,0.0111,0.0,1.11,0,0,0,0,0,0,0,0,0
2024,Q3,0.84,1.09,0.3025,1.0,30.25,0,0,0,0,0,0,0,0,0
2024,Q4,1.05,1.22,0.1652,0.0,16.52,0,0,0,0,0,0,0,0,0
2025,Q1,1.27,1.49,0.173,1.0,17.3,0,0,0,0,0,0,0,0,0
2025,Q2,0.66,0.75,0.1385,0.0,13.85,0,0,0,0,0,0,0,0,0
2025,Q3,0.42,1.08,1.5966,1.0,159.66,0,0,0,0,0,0,0,0,0
2025,Q4,1.19,1.43,0.2002,1.0,20.02,0,0,0,0,0,0,0,0,0
2026,Q1,1.28,1.41,0.0992,0.0,9.92,0,0,0,0,0,0,0,0,0
