year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,0.66,0.45,-0.3139,1.0,-31.39,0,0,0,0,0,0,0,0,0
2020,Q3,0.2,0.06,-0.6954,0.0,-69.54,0,0,0,0,0,0,0,0,0
2020,Q4,0.69,0.63,-0.0873,0.0,-8.73,0,0,0,0,0,0,0,0,0
2021,Q1,0.86,1.24,0.4477,1.0,44.77,0,0,0,0,0,0,0,0,0
2021,Q2,1.38,1.73,0.2508,0.0,25.08,0,0,0,0,0,0,0,0,0
2021,Q3,1.36,2.12,0.5632,1.0,56.32,0,0,0,0,0,0,0,0,0
2021,Q4,1.46,1.67,0.1474,1.0,14.74,0,0,0,0,0,0,0,0,0
2022,Q1,1.41,1.34,-0.0522,0.0,-5.22,0,0,0,0,0,0,0,0,0
2022,Q2,1.54,1.77,0.1488,0.0,14.88,0,0,0,0,0,0,0,0,0
2022,Q3,1.38,1.6,0.1603,1.0,16.03,0,0,0,0,0,0,0,0,0
2022,Q4,1.39,1.47,0.0611,0.0,6.11,0,0,0,0,0,0,0,0,0
2023,Q1,1.12,1.26,0.1289,1.0,12.89,0,0,0,0,0,0,0,0,0
2023,Q2,1.45,1.35,-0.0713,0.0,-7.13,0,0,0,0,0,0,0,0,0
2023,Q3,1.26,1.32,0.0481,1.0,4.81,0,0,0,0,0,0,0,0,0
2023,Q4,1.44,1.48,0.028,0.0,2.8,0,0,0,0,0,0,0,0,0
2024,Q1,0.95,1.18,0.2404,1.0,24.04,0,0,0,0,0,0,0,0,0
2024,Q2,1.37,1.18,-0.1357,0.0,-13.57,0,0,0,0,0,0,0,0,0
2024,Q3,1.37,1.55,0.1292,1.0,12.92,0,0,0,0,0,0,0,0,0
2024,Q4,1.82,1.94,0.0657,1.0,6.57,0,0,0,0,0,0,0,0,0
2025,Q1,1.92,1.91,-0.0046,0.0,-0.46,0,0,0,0,0,0,0,0,0
2025,Q2,1.65,1.89,0.1453,0.0,14.53,0,0,0,0,0,0,0,0,0
2025,Q3,1.77,2.5,0.4103,1.0,41.03,0,0,0,0,0,0,0,0,0
2025,Q4,2.21,2.86,0.2932,1.0,29.32,0,0,0,0,0,0,0,0,0
2026,Q1,2.02,2.18,0.0783,0.0,7.83,0,0,0,0,0,0,0,0,0
