year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,-0.15,-0.74,-3.8002,0.0,-380.02,0,0,0,0,0,0,0,0,0
2020,Q3,-0.08,-0.18,-1.2736,0.0,-127.36,0,0,0,0,0,0,0,0,0
2020,Q4,0.4,0.71,0.7795,1.0,77.95,0,0,0,0,0,0,0,0,0
2021,Q1,0.61,0.27,-0.5598,0.0,-55.98,0,0,0,0,0,0,0,0,0
2021,Q2,0.32,0.44,0.3968,1.0,39.68,0,0,0,0,0,0,0,0,0
2021,Q3,0.54,0.64,0.1748,1.0,17.48,0,0,0,0,0,0,0,0,0
2021,Q4,0.8,0.84,0.0514,1.0,5.14,0,0,0,0,0,0,0,0,0
2022,Q1,0.91,0.78,-0.1414,1.0,-14.14,0,0,0,0,0,0,0,0,0
2022,Q2,0.59,0.49,-0.1679,0.0,-16.79,0,0,0,0,0,0,0,0,0
2022,Q3,0.65,0.69,0.0554,0.0,5.54,0,0,0,0,0,0,0,0,0
2022,Q4,0.8,0.91,0.138,1.0,13.8,0,0,0,0,0,0,0,0,0
2023,Q1,0.89,0.89,0.002,0.0,0.2,0,0,0,0,0,0,0,0,0
2023,Q2,0.71,0.76,0.0651,0.0,6.51,0,0,0,0,0,0,0,0,0
2023,Q3,0.78,0.85,0.0905,1.0,9.05,0,0,0,0,0,0,0,0,0
2023,Q4,0.99,1.03,0.0406,0.0,4.06,0,0,0,0,0,0,0,0,0
2024,Q1,1.13,1.22,0.0834,1.0,8.34,0,0,0,0,0,0,0,0,0
2024,Q2,0.88,0.93,0.0614,1.0,6.14,0,0,0,0,0,0,0,0,0
2024,Q3,0.92,0.96,0.0387,0.0,3.87,0,0,0,0,0,0,0,0,0
2024,Q4,1.1,1.14,0.0402,0.0,4.02,0,0,0,0,0,0,0,0,0
2025,Q1,1.17,1.23,0.0531,1.0,5.31,0,0,0,0,0,0,0,0,0
2025,Q2,0.91,0.92,0.0079,0.0,0.79,0,0,0,0,0,0,0,0,0
2025,Q3,1.01,1.1,0.0845,1.0,8.45,0,0,0,0,0,0,0,0,0
2025,Q4,1.22,1.28,0.0495,0.0,4.95,0,0,0,0,0,0,0,0,0
2026,Q1,1.38,1.58,0.1411,0.0,14.11,0,0,0,0,0,0,0,0,0
