year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,1.03,1.1,0.0649,0.0,6.49,0,0,0,0,0,0,0,0,0
2020,Q3,0.15,0.84,4.6022,1.0,460.22,0,0,0,0,0,0,0,0,0
2020,Q4,0.4,1.18,1.9295,1.0,192.95,0,0,0,0,0,0,0,0,0
2021,Q1,0.51,0.6,0.1788,0.0,17.88,0,0,0,0,0,0,0,0,0
2021,Q2,0.58,0.93,0.6147,1.0,61.47,0,0,0,0,0,0,0,0,0
2021,Q3,0.49,0.78,0.6,0.0,60.0,0,0,0,0,0,0,0,0,0
2021,Q4,0.49,1.31,1.674,0.0,167.4,0,0,0,0,0,0,0,0,0
2022,Q1,0.09,1.1,11.7907,1.0,1179.07,0,0,0,0,0,0,0,0,0
2022,Q2,0.33,0.57,0.7061,1.0,70.61,0,0,0,0,0,0,0,0,0
2022,Q3,0.28,-0.09,-1.3247,0.0,-132.47,0,0,0,0,0,0,0,0,0
2022,Q4,0.5,2.27,3.5547,1.0,355.47,0,0,0,0,0,0,0,0,0
2023,Q1,1.06,1.59,0.4968,1.0,49.68,0,0,0,0,0,0,0,0,0
2023,Q2,1.56,1.75,0.1252,0.0,12.52,0,0,0,0,0,0,0,0,0
2023,Q3,1.73,2.05,0.1814,1.0,18.14,0,0,0,0,0,0,0,0,0
2023,Q4,1.7,1.82,0.0695,1.0,6.95,0,0,0,0,0,0,0,0,0
2024,Q1,1.9,1.67,-0.1228,0.0,-12.28,0,0,0,0,0,0,0,0,0
2024,Q2,1.92,2.09,0.0874,0.0,8.74,0,0,0,0,0,0,0,0,0
2024,Q3,2.29,2.51,0.0975,0.0,9.75,0,0,0,0,0,0,0,0,0
2024,Q4,2.45,2.71,0.1097,0.0,10.97,0,0,0,0,0,0,0,0,0
2025,Q1,2.28,2.57,0.1261,1.0,12.61,0,0,0,0,0,0,0,0,0
2025,Q2,2.48,2.64,0.0664,1.0,6.64,0,0,0,0,0,0,0,0,0
2025,Q3,2.67,2.84,0.0629,1.0,6.29,0,0,0,0,0,0,0,0,0
2025,Q4,2.4,2.41,0.0039,1.0,0.39,0,0,0,0,0,0,0,0,0
2026,Q1,2.06,1.88,-0.0892,0.0,-8.92,0,0,0,0,0,0,0,0,0
