year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q1,0.82,1.02,0.2399,1.0,23.99,0,0,0,0,0,0,0,0,0
2020,Q2,0.8,0.82,0.0292,1.0,2.92,0,0,0,0,0,0,0,0,0
2020,Q3,0.69,0.4,-0.4295,0.0,-42.95,0,0,0,0,0,0,0,0,0
2020,Q4,0.4,0.66,0.6629,1.0,66.29,0,0,0,0,0,0,0,0,0
2021,Q1,0.5,0.64,0.2716,1.0,27.16,0,0,0,0,0,0,0,0,0
2021,Q2,0.64,0.72,0.1257,1.0,12.57,0,0,0,0,0,0,0,0,0
2021,Q3,0.8,0.82,0.0194,0.0,1.94,0,0,0,0,0,0,0,0,0
2021,Q4,1.06,1.2,0.1348,1.0,13.48,0,0,0,0,0,0,0,0,0
2022,Q1,1.3,1.13,-0.1296,0.0,-12.96,0,0,0,0,0,0,0,0,0
2022,Q2,1.32,1.4,0.0631,1.0,6.31,0,0,0,0,0,0,0,0,0
2022,Q3,1.76,1.71,-0.0297,0.0,-2.97,0,0,0,0,0,0,0,0,0
2022,Q4,1.84,1.87,0.0145,1.0,1.45,0,0,0,0,0,0,0,0,0
2023,Q1,1.59,1.44,-0.0945,1.0,-9.45,0,0,0,0,0,0,0,0,0
2023,Q2,1.54,1.25,-0.1879,0.0,-18.79,0,0,0,0,0,0,0,0,0
2023,Q3,1.25,1.45,0.1631,1.0,16.31,0,0,0,0,0,0,0,0,0
2023,Q4,1.56,1.53,-0.0234,0.0,-2.34,0,0,0,0,0,0,0,0,0
2024,Q1,1.5,1.64,0.0911,0.0,9.11,0,0,0,0,0,0,0,0,0
2024,Q2,1.45,1.66,0.1452,1.0,14.52,0,0,0,0,0,0,0,0,0
2024,Q3,1.79,1.66,-0.0711,1.0,-7.11,0,0,0,0,0,0,0,0,0
2025,Q3,2.32,1.68,-0.2741,0.0,-27.41,0,0,0,0,0,0,0,0,0
2025,Q4,1.92,1.76,-0.087,1.0,-8.7,0,0,0,0,0,0,0,0,0
2026,Q1,3.6,1.79,-0.5022,0.0,-50.22,0,0,0,0,0,0,0,0,0
