year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q1,0.99,1.1,0.1112,1.0,11.12,0,0,0,0,0,0,0,0,0
2020,Q2,-0.04,-0.27,-6.6596,0.0,-665.96,0,0,0,0,0,0,0,0,0
2020,Q3,-0.6,-0.25,0.585,0.0,58.5,0,0,0,0,0,0,0,0,0
2020,Q4,0.22,0.58,1.5972,1.0,159.72,0,0,0,0,0,0,0,0,0
2021,Q1,1.0,1.15,0.1479,0.0,14.79,0,0,0,0,0,0,0,0,0
2021,Q2,0.31,0.51,0.6291,1.0,62.91,0,0,0,0,0,0,0,0,0
2021,Q3,0.69,0.74,0.0783,0.0,7.83,0,0,0,0,0,0,0,0,0
2021,Q4,0.7,0.82,0.1795,1.0,17.95,0,0,0,0,0,0,0,0,0
2022,Q1,1.19,1.33,0.1216,0.0,12.16,0,0,0,0,0,0,0,0,0
2022,Q2,0.41,0.51,0.2349,1.0,23.49,0,0,0,0,0,0,0,0,0
2022,Q3,0.77,0.78,0.0093,0.0,0.93,0,0,0,0,0,0,0,0,0
2022,Q4,0.76,0.79,0.0387,0.0,3.87,0,0,0,0,0,0,0,0,0
2023,Q1,1.27,1.36,0.0687,0.0,6.87,0,0,0,0,0,0,0,0,0
2023,Q2,0.6,0.78,0.3055,1.0,30.55,0,0,0,0,0,0,0,0,0
2023,Q3,0.97,0.95,-0.017,0.0,-1.7,0,0,0,0,0,0,0,0,0
2023,Q4,0.9,0.93,0.0304,0.0,3.04,0,0,0,0,0,0,0,0,0
2024,Q1,1.46,1.63,0.1148,0.0,11.48,0,0,0,0,0,0,0,0,0
2024,Q2,0.68,0.81,0.1993,1.0,19.93,0,0,0,0,0,0,0,0,0
2024,Q3,0.88,0.92,0.0445,0.0,4.45,0,0,0,0,0,0,0,0,0
2025,Q1,1.75,2.0,0.1442,0.0,14.42,0,0,0,0,0,0,0,0,0
2025,Q2,0.88,1.03,0.1705,1.0,17.05,0,0,0,0,0,0,0,0,0
2025,Q3,1.02,1.04,0.021,0.0,2.1,0,0,0,0,0,0,0,0,0
2025,Q4,1.27,1.38,0.0891,0.0,8.91,0,0,0,0,0,0,0,0,0
2026,Q1,2.23,2.69,0.2067,0.0,20.67,0,0,0,0,0,0,0,0,0
