year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,0.41,0.49,0.2085,0.0,20.85,0,0,0,0,0,0,0,0,0
2020,Q3,0.39,0.52,0.318,0.0,31.8,0,0,0,0,0,0,0,0,0
2020,Q4,0.42,0.6,0.4141,1.0,41.41,0,0,0,0,0,0,0,0,0
2021,Q1,0.51,0.61,0.1961,0.0,19.61,0,0,0,0,0,0,0,0,0
2021,Q2,0.55,0.66,0.2037,1.0,20.37,0,0,0,0,0,0,0,0,0
2021,Q3,0.6,0.72,0.1982,1.0,19.82,0,0,0,0,0,0,0,0,0
2021,Q4,0.59,0.66,0.1114,1.0,11.14,0,0,0,0,0,0,0,0,0
2022,Q1,0.63,0.62,-0.009,0.0,-0.9,0,0,0,0,0,0,0,0,0
2022,Q2,0.67,0.73,0.0842,1.0,8.42,0,0,0,0,0,0,0,0,0
2022,Q3,0.62,0.64,0.0267,1.0,2.67,0,0,0,0,0,0,0,0,0
2022,Q4,0.66,0.66,0.0001,1.0,0.01,0,0,0,0,0,0,0,0,0
2023,Q1,0.61,0.6,-0.0213,0.0,-2.13,0,0,0,0,0,0,0,0,0
2023,Q2,0.67,0.72,0.0802,1.0,8.02,0,0,0,0,0,0,0,0,0
2023,Q3,0.6,0.64,0.0752,0.0,7.52,0,0,0,0,0,0,0,0,0
2023,Q4,0.6,0.68,0.1319,1.0,13.19,0,0,0,0,0,0,0,0,0
2024,Q1,0.6,0.63,0.0577,0.0,5.77,0,0,0,0,0,0,0,0,0
2024,Q2,0.6,0.64,0.067,1.0,6.7,0,0,0,0,0,0,0,0,0
2024,Q3,0.58,0.62,0.0656,0.0,6.56,0,0,0,0,0,0,0,0,0
2024,Q4,0.62,0.7,0.1327,1.0,13.27,0,0,0,0,0,0,0,0,0
2025,Q1,0.88,0.89,0.0057,0.0,0.57,0,0,0,0,0,0,0,0,0
2025,Q2,0.58,0.61,0.0443,0.0,4.43,0,0,0,0,0,0,0,0,0
2025,Q3,0.63,0.71,0.136,1.0,13.6,0,0,0,0,0,0,0,0,0
2025,Q4,0.72,0.81,0.1295,1.0,12.95,0,0,0,0,0,0,0,0,0
2026,Q1,0.96,1.0,0.041,0.0,4.1,0,0,0,0,0,0,0,0,0
