year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,0.47,0.35,-0.2581,0.0,-25.81,0,0,0,0,0,0,0,0,0
2020,Q3,-0.09,0.13,2.4838,1.0,248.38,0,0,0,0,0,0,0,0,0
2020,Q4,0.36,0.53,0.4643,1.0,46.43,0,0,0,0,0,0,0,0,0
2021,Q1,0.92,1.06,0.1555,0.0,15.55,0,0,0,0,0,0,0,0,0
2021,Q2,0.47,0.7,0.4922,1.0,49.22,0,0,0,0,0,0,0,0,0
2021,Q3,0.65,0.81,0.2475,1.0,24.75,0,0,0,0,0,0,0,0,0
2021,Q4,0.78,0.85,0.0882,1.0,8.82,0,0,0,0,0,0,0,0,0
2022,Q1,0.96,0.94,-0.018,0.0,-1.8,0,0,0,0,0,0,0,0,0
2022,Q2,0.74,0.88,0.1931,1.0,19.31,0,0,0,0,0,0,0,0,0
2022,Q3,0.88,1.0,0.1302,0.0,13.02,0,0,0,0,0,0,0,0,0
2022,Q4,0.93,1.06,0.1388,1.0,13.88,0,0,0,0,0,0,0,0,0
2023,Q1,1.07,1.07,0.0017,0.0,0.17,0,0,0,0,0,0,0,0,0
2023,Q2,0.99,1.05,0.0617,0.0,6.17,0,0,0,0,0,0,0,0,0
2023,Q3,1.2,1.46,0.2148,1.0,21.48,0,0,0,0,0,0,0,0,0
2023,Q4,1.28,1.49,0.1652,1.0,16.52,0,0,0,0,0,0,0,0,0
2024,Q1,1.53,1.6,0.0449,1.0,4.49,0,0,0,0,0,0,0,0,0
2024,Q2,1.23,1.2,-0.0243,0.0,-2.43,0,0,0,0,0,0,0,0,0
2024,Q3,1.47,1.54,0.046,1.0,4.6,0,0,0,0,0,0,0,0,0
2024,Q4,1.5,1.4,-0.0642,0.0,-6.42,0,0,0,0,0,0,0,0,0
2025,Q1,1.25,1.34,0.0681,0.0,6.81,0,0,0,0,0,0,0,0,0
2025,Q2,1.14,1.28,0.1256,1.0,12.56,0,0,0,0,0,0,0,0,0
2025,Q3,1.45,1.55,0.0718,1.0,7.18,0,0,0,0,0,0,0,0,0
2025,Q4,1.46,1.55,0.0643,1.0,6.43,0,0,0,0,0,0,0,0,0
2026,Q1,1.7,1.73,0.0153,0.0,1.53,0,0,0,0,0,0,0,0,0
