year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,-3.04,-2.57,0.1546,1.0,15.46,0,0,0,0,0,0,0,0,0
2020,Q3,-9.25,-9.31,-0.0067,1.0,-0.67,0,0,0,0,0,0,0,0,0
2020,Q4,-7.55,-8.16,-0.0801,1.0,-8.01,0,0,0,0,0,0,0,0,0
2021,Q1,-6.46,-7.0,-0.0833,0.0,-8.33,0,0,0,0,0,0,0,0,0
2021,Q2,-7.12,-7.5,-0.0534,0.0,-5.34,0,0,0,0,0,0,0,0,0
2021,Q3,-3.86,-3.91,-0.0119,0.0,-1.19,0,0,0,0,0,0,0,0,0
2021,Q4,-1.68,-1.02,0.3915,1.0,39.15,0,0,0,0,0,0,0,0,0
2022,Q1,-2.1,-1.6,0.2382,1.0,23.82,0,0,0,0,0,0,0,0,0
2022,Q2,-4.22,-4.24,-0.005,1.0,-0.5,0,0,0,0,0,0,0,0,0
2022,Q3,1.9,1.43,-0.2484,0.0,-24.84,0,0,0,0,0,0,0,0,0
2022,Q4,2.28,2.81,0.231,1.0,23.1,0,0,0,0,0,0,0,0,0
2023,Q1,2.14,2.46,0.148,1.0,14.8,0,0,0,0,0,0,0,0,0
2023,Q2,-0.73,-0.63,0.1417,0.0,14.17,0,0,0,0,0,0,0,0,0
2023,Q3,4.06,5.03,0.2384,1.0,23.84,0,0,0,0,0,0,0,0,0
2023,Q4,3.41,3.65,0.0706,0.0,7.06,0,0,0,0,0,0,0,0,0
2024,Q1,1.7,2.0,0.1741,0.0,17.41,0,0,0,0,0,0,0,0,0
2024,Q2,-0.57,-0.15,0.7371,1.0,73.71,0,0,0,0,0,0,0,0,0
2024,Q3,3.93,4.14,0.0544,1.0,5.44,0,0,0,0,0,0,0,0,0
2024,Q4,3.17,3.33,0.0505,0.0,5.05,0,0,0,0,0,0,0,0,0
2025,Q1,3.03,3.26,0.0756,0.0,7.56,0,0,0,0,0,0,0,0,0
2025,Q2,0.74,0.91,0.2379,1.0,23.79,0,0,0,0,0,0,0,0,0
2025,Q3,3.81,3.87,0.0147,0.0,1.47,0,0,0,0,0,0,0,0,0
2025,Q4,2.68,2.78,0.038,0.0,3.8,0,0,0,0,0,0,0,0,0
2026,Q1,2.94,3.1,0.0541,0.0,5.41,0,0,0,0,0,0,0,0,0
