year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,-0.9,-1.7,-0.885,0.0,-88.5,0,0,0,0,0,0,0,0,0
2020,Q3,-0.88,-1.02,-0.1656,0.0,-16.56,0,0,0,0,0,0,0,0,0
2020,Q4,-0.6,-0.62,-0.031,0.0,-3.1,0,0,0,0,0,0,0,0,0
2021,Q1,-0.55,-0.54,0.0178,0.0,1.78,0,0,0,0,0,0,0,0,0
2021,Q2,-0.55,-0.06,0.8908,0.0,89.08,0,0,0,0,0,0,0,0,0
2021,Q3,-0.49,0.58,2.1889,1.0,218.89,0,0,0,0,0,0,0,0,0
2021,Q4,-0.3,-1.28,-3.2867,0.0,-328.67,0,0,0,0,0,0,0,0,0
2022,Q1,-0.33,0.44,2.3228,1.0,232.28,0,0,0,0,0,0,0,0,0
2022,Q2,-0.28,-3.03,-9.6897,0.0,-968.97,0,0,0,0,0,0,0,0,0
2022,Q3,-0.27,-1.33,-3.8815,0.0,-388.15,0,0,0,0,0,0,0,0,0
2022,Q4,-0.18,-0.61,-2.4114,0.0,-241.14,0,0,0,0,0,0,0,0,0
2023,Q1,-0.16,0.29,2.8666,1.0,286.66,0,0,0,0,0,0,0,0,0
2023,Q2,-0.09,-0.08,0.0739,0.0,7.39,0,0,0,0,0,0,0,0,0
2023,Q3,-0.01,0.18,18.2579,1.0,1825.79,0,0,0,0,0,0,0,0,0
2023,Q4,0.12,0.1,-0.1606,0.0,-16.06,0,0,0,0,0,0,0,0,0
2024,Q1,0.17,0.66,2.9344,1.0,293.44,0,0,0,0,0,0,0,0,0
2024,Q2,0.22,-0.31,-2.4079,0.0,-240.79,0,0,0,0,0,0,0,0,0
2024,Q3,0.32,0.47,0.4821,0.0,48.21,0,0,0,0,0,0,0,0,0
2024,Q4,0.4,1.2,1.9724,0.0,197.24,0,0,0,0,0,0,0,0,0
2025,Q1,0.48,3.21,5.7342,1.0,573.42,0,0,0,0,0,0,0,0,0
2025,Q2,0.5,0.83,0.6504,1.0,65.04,0,0,0,0,0,0,0,0,0
2025,Q3,0.62,0.63,0.0105,0.0,1.05,0,0,0,0,0,0,0,0,0
2025,Q4,0.69,3.11,3.5317,1.0,353.17,0,0,0,0,0,0,0,0,0
2026,Q1,0.78,0.14,-0.8194,0.0,-81.94,0,0,0,0,0,0,0,0,0
