year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,2.37,1.73,-0.2714,0.0,-27.14,0,0,0,0,0,0,0,0,0
2020,Q3,0.65,2.93,3.5303,1.0,353.03,0,0,0,0,0,0,0,0,0
2020,Q4,1.86,2.88,0.549,1.0,54.9,0,0,0,0,0,0,0,0,0
2021,Q1,2.78,3.59,0.2929,1.0,29.29,0,0,0,0,0,0,0,0,0
2021,Q2,2.24,2.44,0.0891,0.0,8.91,0,0,0,0,0,0,0,0,0
2021,Q3,2.69,3.76,0.3985,1.0,39.85,0,0,0,0,0,0,0,0,0
2021,Q4,2.76,2.67,-0.0338,0.0,-3.38,0,0,0,0,0,0,0,0,0
2022,Q1,2.87,2.95,0.0276,1.0,2.76,0,0,0,0,0,0,0,0,0
2022,Q2,2.47,2.15,-0.131,0.0,-13.1,0,0,0,0,0,0,0,0,0
2022,Q3,2.09,2.2,0.0506,1.0,5.06,0,0,0,0,0,0,0,0,0
2022,Q4,2.42,2.54,0.0495,1.0,4.95,0,0,0,0,0,0,0,0,0
2023,Q1,2.97,3.02,0.0168,0.0,1.68,0,0,0,0,0,0,0,0,0
2023,Q2,2.19,2.34,0.07,1.0,7.0,0,0,0,0,0,0,0,0,0
2023,Q3,2.42,2.53,0.0434,0.0,4.34,0,0,0,0,0,0,0,0,0
2023,Q4,2.36,2.55,0.0787,1.0,7.87,0,0,0,0,0,0,0,0,0
2024,Q1,2.91,3.13,0.0764,0.0,7.64,0,0,0,0,0,0,0,0,0
2024,Q2,3.14,3.7,0.1787,0.0,17.87,0,0,0,0,0,0,0,0,0
2024,Q3,3.32,4.31,0.2999,1.0,29.99,0,0,0,0,0,0,0,0,0
2024,Q4,3.7,3.71,0.0033,0.0,0.33,0,0,0,0,0,0,0,0,0
2025,Q1,4.18,4.92,0.1784,1.0,17.84,0,0,0,0,0,0,0,0,0
2025,Q2,4.36,4.84,0.1111,1.0,11.11,0,0,0,0,0,0,0,0,0
2025,Q3,4.96,5.35,0.0795,0.0,7.95,0,0,0,0,0,0,0,0,0
2025,Q4,4.95,5.69,0.1491,0.0,14.91,0,0,0,0,0,0,0,0,0
2026,Q1,5.89,7.06,0.1995,0.0,19.95,0,0,0,0,0,0,0,0,0
