year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,2.53,3.35,0.3262,0.0,32.62,0,0,0,0,0,0,0,0,0
2020,Q3,1.93,3.68,0.9035,1.0,90.35,0,0,0,0,0,0,0,0,0
2020,Q4,4.34,5.4,0.2455,1.0,24.55,0,0,0,0,0,0,0,0,0
2021,Q1,4.28,5.04,0.1769,1.0,17.69,0,0,0,0,0,0,0,0,0
2021,Q2,3.13,3.45,0.1029,1.0,10.29,0,0,0,0,0,0,0,0,0
2021,Q3,4.86,4.66,-0.0405,0.0,-4.05,0,0,0,0,0,0,0,0,0
2021,Q4,6.82,6.58,-0.0346,0.0,-3.46,0,0,0,0,0,0,0,0,0
2022,Q1,6.69,7.39,0.1041,0.0,10.41,0,0,0,0,0,0,0,0,0
2022,Q2,4.88,5.73,0.1743,0.0,17.43,0,0,0,0,0,0,0,0,0
2022,Q3,6.5,7.86,0.2101,1.0,21.01,0,0,0,0,0,0,0,0,0
2022,Q4,9.06,9.27,0.0227,1.0,2.27,0,0,0,0,0,0,0,0,0
2023,Q1,10.29,9.74,-0.0537,0.0,-5.37,0,0,0,0,0,0,0,0,0
2023,Q2,7.99,7.95,-0.0054,0.0,-0.54,0,0,0,0,0,0,0,0,0
2023,Q3,8.94,9.88,0.1046,1.0,10.46,0,0,0,0,0,0,0,0,0
2023,Q4,11.17,11.73,0.0502,1.0,5.02,0,0,0,0,0,0,0,0,0
2024,Q1,10.91,11.26,0.0322,0.0,3.22,0,0,0,0,0,0,0,0,0
2024,Q2,8.34,9.15,0.0974,1.0,9.74,0,0,0,0,0,0,0,0,0
2024,Q3,10.52,10.7,0.0172,1.0,1.72,0,0,0,0,0,0,0,0,0
2024,Q4,12.49,11.8,-0.055,0.0,-5.5,0,0,0,0,0,0,0,0,0
2025,Q1,11.63,11.59,-0.003,0.0,-0.3,0,0,0,0,0,0,0,0,0
2025,Q2,8.81,8.86,0.0053,1.0,0.53,0,0,0,0,0,0,0,0,0
2025,Q3,10.54,10.47,-0.0062,1.0,-0.62,0,0,0,0,0,0,0,0,0
2025,Q4,12.29,11.7,-0.0479,1.0,-4.79,0,0,0,0,0,0,0,0,0
2026,Q1,11.8,11.09,-0.0605,0.0,-6.05,0,0,0,0,0,0,0,0,0
