year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,0.81,0.72,-0.1076,0.0,-10.76,0,0,0,0,0,0,0,0,0
2020,Q3,0.4,0.41,0.0164,0.0,1.64,0,0,0,0,0,0,0,0,0
2020,Q4,0.91,0.99,0.0915,1.0,9.15,0,0,0,0,0,0,0,0,0
2021,Q1,0.94,0.95,0.0152,0.0,1.52,0,0,0,0,0,0,0,0,0
2021,Q2,0.96,1.45,0.5143,1.0,51.43,0,0,0,0,0,0,0,0,0
2021,Q3,1.13,1.28,0.1289,1.0,12.89,0,0,0,0,0,0,0,0,0
2021,Q4,1.16,1.3,0.1241,1.0,12.41,0,0,0,0,0,0,0,0,0
2022,Q1,1.1,1.07,-0.0246,0.0,-2.46,0,0,0,0,0,0,0,0,0
2022,Q2,0.94,0.99,0.0512,1.0,5.12,0,0,0,0,0,0,0,0,0
2022,Q3,1.07,0.99,-0.0753,0.0,-7.53,0,0,0,0,0,0,0,0,0
2022,Q4,1.16,1.16,0.0042,1.0,0.42,0,0,0,0,0,0,0,0,0
2023,Q1,1.14,0.57,-0.4982,0.0,-49.82,0,0,0,0,0,0,0,0,0
2023,Q2,1.12,1.04,-0.0717,1.0,-7.17,0,0,0,0,0,0,0,0,0
2023,Q3,1.1,0.84,-0.2351,0.0,-23.51,0,0,0,0,0,0,0,0,0
2023,Q4,1.01,0.91,-0.0968,1.0,-9.68,0,0,0,0,0,0,0,0,0
2024,Q1,0.91,0.49,-0.46,0.0,-46.0,0,0,0,0,0,0,0,0,0
2024,Q2,0.88,0.78,-0.1161,0.0,-11.61,0,0,0,0,0,0,0,0,0
2024,Q3,0.95,0.97,0.0233,0.0,2.33,0,0,0,0,0,0,0,0,0
2024,Q4,0.99,1.03,0.0405,1.0,4.05,0,0,0,0,0,0,0,0,0
2025,Q1,1.05,1.07,0.0171,0.0,1.71,0,0,0,0,0,0,0,0,0
2025,Q2,0.97,1.03,0.0569,1.0,5.69,0,0,0,0,0,0,0,0,0
2025,Q3,1.07,1.11,0.0406,0.0,4.06,0,0,0,0,0,0,0,0,0
2025,Q4,1.12,1.22,0.0902,1.0,9.02,0,0,0,0,0,0,0,0,0
2026,Q1,1.19,1.26,0.0603,0.0,6.03,0,0,0,0,0,0,0,0,0
