year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,0.21,0.66,2.2029,1.0,220.29,0,0,0,0,0,0,0,0,0
2020,Q3,0.14,-0.32,-3.1789,0.0,-317.89,0,0,0,0,0,0,0,0,0
2020,Q4,-0.23,0.05,1.2178,0.0,121.78,0,0,0,0,0,0,0,0,0
2021,Q1,0.06,0.25,3.21,1.0,321.0,0,0,0,0,0,0,0,0,0
2021,Q2,0.03,-0.07,-3.2831,0.0,-328.31,0,0,0,0,0,0,0,0,0
2021,Q3,-0.07,0.12,2.8149,1.0,281.49,0,0,0,0,0,0,0,0,0
2021,Q4,0.08,-0.1,-2.205,0.0,-220.5,0,0,0,0,0,0,0,0,0
2022,Q1,-0.09,-0.01,0.9,0.0,90.0,0,0,0,0,0,0,0,0,0
2022,Q2,-0.06,0.13,3.2258,0.0,322.58,0,0,0,0,0,0,0,0,0
2022,Q3,,-0.11,,0.0,,0,0,0,0,0,0,0,0,0
2022,Q4,-0.04,0.02,1.4013,1.0,140.13,0,0,0,0,0,0,0,0,0
2023,Q1,-0.03,-0.09,-2.4259,0.0,-242.59,0,0,0,0,0,0,0,0,0
2023,Q2,-0.09,0.1,2.082,0.0,208.2,0,0,0,0,0,0,0,0,0
2023,Q3,0.03,0.28,8.4597,1.0,845.97,0,0,0,0,0,0,0,0,0
2023,Q4,-0.01,-0.18,-24.2101,0.0,-2421.01,0,0,0,0,0,0,0,0,0
2024,Q1,-0.17,-0.3,-0.7529,0.0,-75.29,0,0,0,0,0,0,0,0,0
2024,Q2,-0.38,-0.03,0.9308,1.0,93.08,0,0,0,0,0,0,0,0,0
2024,Q3,0.01,0.02,0.92,0.0,92.0,0,0,0,0,0,0,0,0,0
2024,Q4,-0.02,0.05,3.6028,1.0,360.28,0,0,0,0,0,0,0,0,0
2025,Q1,0.05,0.13,1.5661,1.0,156.61,0,0,0,0,0,0,0,0,0
2025,Q2,0.07,0.1,0.3581,1.0,35.81,0,0,0,0,0,0,0,0,0
2025,Q3,0.14,0.15,0.1044,0.0,10.44,0,0,0,0,0,0,0,0,0
2025,Q4,0.05,0.12,1.4194,1.0,141.94,0,0,0,0,0,0,0,0,0
2026,Q1,0.09,0.13,0.4089,0.0,40.89,0,0,0,0,0,0,0,0,0
