year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,0.87,0.9,0.0456,0.0,4.56,0,0,0,0,0,0,0,0,0
2020,Q3,0.98,1.11,0.1319,1.0,13.19,0,0,0,0,0,0,0,0,0
2020,Q4,1.16,1.31,0.1308,1.0,13.08,0,0,0,0,0,0,0,0,0
2021,Q1,1.24,0.62,-0.503,0.0,-50.3,0,0,0,0,0,0,0,0,0
2021,Q2,0.8,0.92,0.1569,1.0,15.69,0,0,0,0,0,0,0,0,0
2021,Q3,0.88,0.98,0.1113,0.0,11.13,0,0,0,0,0,0,0,0,0
2021,Q4,0.88,0.99,0.1193,1.0,11.93,0,0,0,0,0,0,0,0,0
2022,Q1,0.83,0.8,-0.0302,0.0,-3.02,0,0,0,0,0,0,0,0,0
2022,Q2,0.83,0.93,0.123,1.0,12.3,0,0,0,0,0,0,0,0,0
2022,Q3,0.82,0.88,0.0706,1.0,7.06,0,0,0,0,0,0,0,0,0
2022,Q4,0.84,0.87,0.0426,1.0,4.26,0,0,0,0,0,0,0,0,0
2023,Q1,0.72,0.67,-0.061,0.0,-6.1,0,0,0,0,0,0,0,0,0
2023,Q2,0.7,0.77,0.1056,1.0,10.56,0,0,0,0,0,0,0,0,0
2023,Q3,0.71,0.75,0.0544,0.0,5.44,0,0,0,0,0,0,0,0,0
2023,Q4,0.74,0.79,0.0675,1.0,6.75,0,0,0,0,0,0,0,0,0
2024,Q1,0.65,0.62,-0.0429,0.0,-4.29,0,0,0,0,0,0,0,0,0
2024,Q2,0.67,0.67,-0.0041,0.0,-0.41,0,0,0,0,0,0,0,0,0
2024,Q3,0.68,0.69,0.0229,0.0,2.29,0,0,0,0,0,0,0,0,0
2024,Q4,0.68,0.75,0.1073,1.0,10.73,0,0,0,0,0,0,0,0,0
2025,Q1,0.57,0.54,-0.056,0.0,-5.6,0,0,0,0,0,0,0,0,0
2025,Q2,0.49,0.5,0.0164,0.0,1.64,0,0,0,0,0,0,0,0,0
2025,Q3,0.56,0.62,0.1155,1.0,11.55,0,0,0,0,0,0,0,0,0
2025,Q4,0.62,0.67,0.0852,1.0,8.52,0,0,0,0,0,0,0,0,0
2026,Q1,0.53,0.57,0.0739,0.0,7.39,0,0,0,0,0,0,0,0,0
