year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,1.44,1.15,-0.2002,0.0,-20.02,0,0,0,0,0,0,0,0,0
2020,Q3,1.56,2.1,0.3494,1.0,34.94,0,0,0,0,0,0,0,0,0
2020,Q4,1.92,2.16,0.1271,0.0,12.71,0,0,0,0,0,0,0,0,0
2021,Q1,2.9,3.65,0.2584,0.0,25.84,0,0,0,0,0,0,0,0,0
2021,Q2,1.57,2.29,0.4599,1.0,45.99,0,0,0,0,0,0,0,0,0
2021,Q3,2.28,2.6,0.1383,1.0,13.83,0,0,0,0,0,0,0,0,0
2021,Q4,2.36,2.66,0.1267,1.0,12.67,0,0,0,0,0,0,0,0,0
2022,Q1,3.49,3.67,0.0529,0.0,5.29,0,0,0,0,0,0,0,0,0
2022,Q2,2.34,2.8,0.1979,1.0,19.79,0,0,0,0,0,0,0,0,0
2022,Q3,2.67,2.75,0.0309,1.0,3.09,0,0,0,0,0,0,0,0,0
2022,Q4,2.58,2.64,0.0238,0.0,2.38,0,0,0,0,0,0,0,0,0
2023,Q1,3.74,3.84,0.0257,1.0,2.57,0,0,0,0,0,0,0,0,0
2023,Q2,2.62,2.49,-0.0511,0.0,-5.11,0,0,0,0,0,0,0,0,0
2023,Q3,2.59,2.8,0.0806,0.0,8.06,0,0,0,0,0,0,0,0,0
2023,Q4,2.55,2.84,0.1129,1.0,11.29,0,0,0,0,0,0,0,0,0
2024,Q1,3.55,3.62,0.0188,0.0,1.88,0,0,0,0,0,0,0,0,0
2024,Q2,2.09,2.21,0.0554,1.0,5.54,0,0,0,0,0,0,0,0,0
2024,Q3,2.56,2.63,0.026,0.0,2.6,0,0,0,0,0,0,0,0,0
2024,Q4,2.68,2.93,0.0938,1.0,9.38,0,0,0,0,0,0,0,0,0
2025,Q1,4.03,4.1,0.0168,1.0,1.68,0,0,0,0,0,0,0,0,0
2025,Q2,2.22,2.25,0.012,1.0,1.2,0,0,0,0,0,0,0,0,0
2025,Q3,2.94,2.95,0.0026,0.0,0.26,0,0,0,0,0,0,0,0,0
2025,Q4,3.22,3.4,0.0546,1.0,5.46,0,0,0,0,0,0,0,0,0
2026,Q1,4.51,4.53,0.0046,0.0,0.46,0,0,0,0,0,0,0,0,0
