year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,0.49,0.44,-0.1095,0.0,-10.95,0,0,0,0,0,0,0,0,0
2020,Q3,0.66,0.84,0.2727,0.0,27.27,0,0,0,0,0,0,0,0,0
2020,Q4,0.67,0.86,0.2803,0.0,28.03,0,0,0,0,0,0,0,0,0
2021,Q1,0.55,0.73,0.3165,1.0,31.65,0,0,0,0,0,0,0,0,0
2021,Q2,0.73,0.87,0.1928,0.0,19.28,0,0,0,0,0,0,0,0,0
2021,Q3,0.77,1.23,0.6019,1.0,60.19,0,0,0,0,0,0,0,0,0
2021,Q4,0.87,1.1,0.2706,1.0,27.06,0,0,0,0,0,0,0,0,0
2022,Q1,0.71,0.78,0.0958,1.0,9.58,0,0,0,0,0,0,0,0,0
2022,Q2,0.85,0.83,-0.0283,0.0,-2.83,0,0,0,0,0,0,0,0,0
2022,Q3,0.8,0.83,0.0324,0.0,3.24,0,0,0,0,0,0,0,0,0
2022,Q4,0.85,0.99,0.1712,1.0,17.12,0,0,0,0,0,0,0,0,0
2023,Q1,0.9,0.99,0.104,0.0,10.4,0,0,0,0,0,0,0,0,0
2023,Q2,1.12,1.31,0.1662,1.0,16.62,0,0,0,0,0,0,0,0,0
2023,Q3,1.26,1.43,0.1361,1.0,13.61,0,0,0,0,0,0,0,0,0
2023,Q4,1.41,1.53,0.0872,1.0,8.72,0,0,0,0,0,0,0,0,0
2024,Q1,1.47,1.57,0.0703,0.0,7.03,0,0,0,0,0,0,0,0,0
2024,Q2,1.58,1.74,0.1012,1.0,10.12,0,0,0,0,0,0,0,0,0
2024,Q3,1.65,1.75,0.0605,0.0,6.05,0,0,0,0,0,0,0,0,0
2024,Q4,1.76,1.89,0.0749,0.0,7.49,0,0,0,0,0,0,0,0,0
2025,Q1,1.78,1.92,0.0806,0.0,8.06,0,0,0,0,0,0,0,0,0
2025,Q2,2.01,2.23,0.1099,1.0,10.99,0,0,0,0,0,0,0,0,0
2025,Q3,2.12,2.21,0.0444,0.0,4.44,0,0,0,0,0,0,0,0,0
2025,Q4,2.17,2.32,0.0674,1.0,6.74,0,0,0,0,0,0,0,0,0
2026,Q1,2.32,2.47,0.0641,0.0,6.41,0,0,0,0,0,0,0,0,0
