year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,0.92,0.85,-0.0718,0.0,-7.18,0,0,0,0,0,0,0,0,0
2020,Q3,1.23,1.23,-0.0014,0.0,-0.14,0,0,0,0,0,0,0,0,0
2020,Q4,0.55,0.65,0.1723,0.0,17.23,0,0,0,0,0,0,0,0,0
2021,Q1,0.54,0.69,0.2897,0.0,28.97,0,0,0,0,0,0,0,0,0
2021,Q2,0.68,1.02,0.492,1.0,49.2,0,0,0,0,0,0,0,0,0
2021,Q3,1.5,2.16,0.4397,1.0,43.97,0,0,0,0,0,0,0,0,0
2021,Q4,2.44,2.49,0.0194,0.0,1.94,0,0,0,0,0,0,0,0,0
2022,Q1,2.12,2.3,0.0827,0.0,8.27,0,0,0,0,0,0,0,0,0
2022,Q2,1.5,1.65,0.1034,1.0,10.34,0,0,0,0,0,0,0,0,0
2022,Q3,1.72,1.78,0.0321,1.0,3.21,0,0,0,0,0,0,0,0,0
2022,Q4,0.39,0.2,-0.4898,1.0,-48.98,0,0,0,0,0,0,0,0,0
2023,Q1,-0.13,-0.42,-2.25,0.0,-225.0,0,0,0,0,0,0,0,0,0
2023,Q2,-1.56,-1.37,0.123,1.0,12.3,0,0,0,0,0,0,0,0,0
2023,Q3,-2.02,-1.98,0.0208,0.0,2.08,0,0,0,0,0,0,0,0,0
2023,Q4,-1.9,-1.76,0.0743,0.0,7.43,0,0,0,0,0,0,0,0,0
2024,Q1,-1.1,-0.69,0.3705,0.0,37.05,0,0,0,0,0,0,0,0,0
2024,Q2,0.15,0.63,3.116,1.0,311.6,0,0,0,0,0,0,0,0,0
2024,Q3,1.17,1.44,0.2306,1.0,23.06,0,0,0,0,0,0,0,0,0
2024,Q4,1.71,1.78,0.0395,1.0,3.95,0,0,0,0,0,0,0,0,0
2025,Q1,1.82,1.77,-0.0268,0.0,-2.68,0,0,0,0,0,0,0,0,0
2025,Q2,1.11,1.36,0.2273,1.0,22.73,0,0,0,0,0,0,0,0,0
2025,Q3,1.48,1.66,0.1213,0.0,12.13,0,0,0,0,0,0,0,0,0
2025,Q4,1.58,1.78,0.1293,1.0,12.93,0,0,0,0,0,0,0,0,0
2026,Q1,1.93,2.13,0.1047,0.0,10.47,0,0,0,0,0,0,0,0,0
