year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,0.36,0.34,-0.0673,0.0,-6.73,0,0,0,0,0,0,0,0,0
2020,Q3,0.24,0.3,0.2604,1.0,26.04,0,0,0,0,0,0,0,0,0
2020,Q4,0.19,0.08,-0.5958,0.0,-59.58,0,0,0,0,0,0,0,0,0
2021,Q1,0.07,0.27,2.8567,1.0,285.67,0,0,0,0,0,0,0,0,0
2021,Q2,0.18,0.2,0.1128,0.0,11.28,0,0,0,0,0,0,0,0,0
2021,Q3,0.14,0.21,0.4255,1.0,42.55,0,0,0,0,0,0,0,0,0
2021,Q4,0.22,0.13,-0.3989,0.0,-39.89,0,0,0,0,0,0,0,0,0
2022,Q1,0.16,0.17,0.0544,1.0,5.44,0,0,0,0,0,0,0,0,0
2022,Q2,0.17,0.13,-0.22,0.0,-22.0,0,0,0,0,0,0,0,0,0
2022,Q3,0.17,0.17,-0.0111,1.0,-1.11,0,0,0,0,0,0,0,0,0
2022,Q4,0.17,0.05,-0.679,0.0,-67.9,0,0,0,0,0,0,0,0,0
2023,Q1,0.06,0.12,1.0717,1.0,107.17,0,0,0,0,0,0,0,0,0
2023,Q2,0.12,0.14,0.2487,1.0,24.87,0,0,0,0,0,0,0,0,0
2023,Q3,0.16,0.18,0.1325,0.0,13.25,0,0,0,0,0,0,0,0,0
2023,Q4,0.17,0.25,0.4582,1.0,45.82,0,0,0,0,0,0,0,0,0
2024,Q1,0.21,0.25,0.1933,0.0,19.33,0,0,0,0,0,0,0,0,0
2024,Q2,0.21,0.34,0.6019,1.0,60.19,0,0,0,0,0,0,0,0,0
2024,Q3,0.31,0.39,0.251,1.0,25.1,0,0,0,0,0,0,0,0,0
2024,Q4,0.35,0.41,0.1703,1.0,17.03,0,0,0,0,0,0,0,0,0
2025,Q1,0.41,0.34,-0.1763,0.0,-17.63,0,0,0,0,0,0,0,0,0
2025,Q2,0.38,0.4,0.0527,1.0,5.27,0,0,0,0,0,0,0,0,0
2025,Q3,0.44,0.45,0.0339,1.0,3.39,0,0,0,0,0,0,0,0,0
2025,Q4,0.53,0.55,0.0309,1.0,3.09,0,0,0,0,0,0,0,0,0
2026,Q1,0.42,0.14,-0.6676,0.0,-66.76,0,0,0,0,0,0,0,0,0
