year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,0.13,0.18,0.421,0.0,42.1,0,0,0,0,0,0,0,0,0
2020,Q3,0.01,0.11,8.4502,1.0,845.02,0,0,0,0,0,0,0,0,0
2020,Q4,0.46,0.52,0.1365,1.0,13.65,0,0,0,0,0,0,0,0,0
2021,Q1,0.48,0.48,-0.0088,1.0,-0.88,0,0,0,0,0,0,0,0,0
2021,Q2,0.92,0.91,-0.0142,1.0,-1.42,0,0,0,0,0,0,0,0,0
2021,Q3,1.39,1.37,-0.0175,0.0,-1.75,0,0,0,0,0,0,0,0,0
2021,Q4,0.56,0.6,0.0754,1.0,7.54,0,0,0,0,0,0,0,0,0
2022,Q1,0.48,0.49,0.0122,0.0,1.22,0,0,0,0,0,0,0,0,0
2022,Q2,1.23,1.31,0.0654,0.0,6.54,0,0,0,0,0,0,0,0,0
2022,Q3,0.98,1.06,0.0793,0.0,7.93,0,0,0,0,0,0,0,0,0
2022,Q4,0.37,0.42,0.1247,0.0,12.47,0,0,0,0,0,0,0,0,0
2023,Q1,0.18,0.24,0.36,0.0,36.0,0,0,0,0,0,0,0,0,0
2023,Q2,0.12,0.21,0.7105,1.0,71.05,0,0,0,0,0,0,0,0,0
2023,Q3,0.21,0.32,0.5261,1.0,52.61,0,0,0,0,0,0,0,0,0
2023,Q4,0.34,0.33,-0.0161,0.0,-1.61,0,0,0,0,0,0,0,0,0
2024,Q1,0.14,0.16,0.1757,1.0,17.57,0,0,0,0,0,0,0,0,0
2024,Q2,0.15,0.16,0.0713,1.0,7.13,0,0,0,0,0,0,0,0,0
2024,Q3,0.21,0.21,0.0202,0.0,2.02,0,0,0,0,0,0,0,0,0
2024,Q4,,0.05,11.987,1.0,1198.7,0,0,0,0,0,0,0,0,0
2025,Q1,0.07,0.11,0.5984,1.0,59.84,0,0,0,0,0,0,0,0,0
2025,Q2,0.1,0.11,0.136,0.0,13.6,0,0,0,0,0,0,0,0,0
2025,Q3,0.09,0.12,0.3184,0.0,31.84,0,0,0,0,0,0,0,0,0
2025,Q4,-0.08,0.06,1.7736,1.0,177.36,0,0,0,0,0,0,0,0,0
2026,Q1,-0.13,-0.09,0.3079,0.0,30.79,0,0,0,0,0,0,0,0,0
