year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,0.13,-0.02,-1.1559,0.0,-115.59,0,0,0,0,0,0,0,0,0
2020,Q3,-0.05,0.18,4.5343,1.0,453.43,0,0,0,0,0,0,0,0,0
2020,Q4,0.16,0.34,1.1274,1.0,112.74,0,0,0,0,0,0,0,0,0
2021,Q1,0.24,0.32,0.3327,0.0,33.27,0,0,0,0,0,0,0,0,0
2021,Q2,0.16,0.41,1.4985,1.0,149.85,0,0,0,0,0,0,0,0,0
2021,Q3,0.31,0.66,1.1304,1.0,113.04,0,0,0,0,0,0,0,0,0
2021,Q4,0.38,0.37,-0.0304,0.0,-3.04,0,0,0,0,0,0,0,0,0
2022,Q1,0.23,0.27,0.1623,1.0,16.23,0,0,0,0,0,0,0,0,0
2022,Q2,0.2,0.18,-0.1062,0.0,-10.62,0,0,0,0,0,0,0,0,0
2022,Q3,0.16,0.18,0.1225,0.0,12.25,0,0,0,0,0,0,0,0,0
2022,Q4,0.23,0.42,0.8329,1.0,83.29,0,0,0,0,0,0,0,0,0
2023,Q1,0.3,0.22,-0.2701,0.0,-27.01,0,0,0,0,0,0,0,0,0
2023,Q2,0.34,0.4,0.1742,1.0,17.42,0,0,0,0,0,0,0,0,0
2023,Q3,0.37,0.39,0.0566,0.0,5.66,0,0,0,0,0,0,0,0,0
2023,Q4,0.46,0.55,0.1875,1.0,18.75,0,0,0,0,0,0,0,0,0
2024,Q1,0.57,0.45,-0.2107,0.0,-21.07,0,0,0,0,0,0,0,0,0
2024,Q2,0.73,0.85,0.1643,1.0,16.43,0,0,0,0,0,0,0,0,0
2024,Q3,0.84,0.93,0.1136,1.0,11.36,0,0,0,0,0,0,0,0,0
2024,Q4,0.89,0.88,-0.0133,1.0,-1.33,0,0,0,0,0,0,0,0,0
2025,Q1,0.87,0.71,-0.1879,1.0,-18.79,0,0,0,0,0,0,0,0,0
2025,Q2,0.92,0.56,-0.3885,0.0,-38.85,0,0,0,0,0,0,0,0,0
2025,Q3,0.66,0.62,-0.0594,1.0,-5.94,0,0,0,0,0,0,0,0,0
2025,Q4,0.66,0.54,-0.1809,0.0,-18.09,0,0,0,0,0,0,0,0,0
2026,Q1,0.65,0.65,0.0015,0.0,0.15,0,0,0,0,0,0,0,0,0
