date,corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm
2025-02-20,106641,기아,270,Y,기업설명회(IR)개최(안내공시)              ,20250220800094,기아,20250220,유
2025-02-21,106641,기아,270,Y,[기재정정]주주총회소집공고,20250221002507,기아,20250221,
2025-02-25,106641,기아,270,Y,기업설명회(IR)개최(안내공시)              ,20250225800092,기아,20250225,유
2025-02-27,106641,기아,270,Y,대규모기업집단현황공시[분기별공시(개별회사용)],20250227005247,기아,20250227,공
2025-03-04,106641,기아,270,Y,영업(잠정)실적(공정공시)              ,20250304800564,기아,20250304,유
2025-03-06,106641,기아,270,Y,감사보고서제출              ,20250306801084,기아,20250306,유
2025-03-11,106641,기아,270,Y,[기재정정]의결권대리행사권유참고서류,20250311000965,컨두잇,20250311,
2025-03-12,106641,기아,270,Y,기업설명회(IR)개최(안내공시)              ,20250312800053,기아,20250312,유
2025-03-13,106641,기아,270,Y,[기재정정]사업보고서 (2024.12),20250313001390,기아,20250313,연
2025-03-14,106641,기아,270,Y,사외이사의선임ㆍ해임또는중도퇴임에관한신고,20250314001029,기아,20250314,
2025-03-24,106641,기아,270,Y,특수관계인으로부터기타유가증권매수,20250324000730,기아,20250324,공
2025-03-26,106641,기아,270,Y,특수관계인으로부터기타유가증권매수,20250326001132,기아,20250326,공
2025-04-01,106641,기아,270,Y,영업(잠정)실적(공정공시)              ,20250401800420,기아,20250401,유
2025-04-09,106641,기아,270,Y,장래사업ㆍ경영계획(공정공시)              ,20250409800223,기아,20250409,유
2025-04-11,106641,기아,270,Y,특수관계인으로부터기타유가증권매수,20250411003042,기아,20250411,공
2025-04-14,106641,기아,270,Y,기업설명회(IR)개최(안내공시)              ,20250414800339,기아,20250414,유
2025-04-16,106641,기아,270,Y,임원ㆍ주요주주특정증권등소유상황보고서,20250416000248,정원정,20250416,
2025-04-21,106641,기아,270,Y,기업설명회(IR)개최(안내공시)              ,20250421800134,기아,20250421,유
2025-04-25,106641,기아,270,Y,특수관계인과의내부거래,20250425000472,기아,20250425,공
2025-05-02,106641,기아,270,Y,영업(잠정)실적(공정공시)              ,20250502800260,기아,20250502,유
2025-05-12,106641,기아,270,Y,기업설명회(IR)개최(안내공시)              ,20250512800092,기아,20250512,유
2025-05-15,106641,기아,270,Y,분기보고서 (2025.03),20250515001947,기아,20250515,
2025-05-22,106641,기아,270,Y,기업설명회(IR)개최(안내공시)              ,20250522800052,기아,20250522,유
