date,Close
2013-11-26,16029
2013-11-27,16142
2013-11-28,16355
2013-11-29,16430
2013-12-02,16294
2013-12-03,15997
2013-12-04,15910
2013-12-05,15845
2013-12-06,15992
2013-12-09,16104
2013-12-10,16048
2013-12-11,15939
2013-12-12,15863
2013-12-13,15832
2013-12-16,15822
2013-12-17,15729
2013-12-18,15686
2013-12-19,15556
2013-12-20,15646
2013-12-23,15920
2013-12-24,15817
2013-12-26,15641
2013-12-27,15965
2013-12-30,16058
2014-01-02,15586
2014-01-03,15854
2014-01-06,16104
2014-01-07,16132
2014-01-08,16327
2014-01-09,16412
2014-01-10,16248
2014-01-13,16180
2014-01-14,16165
2014-01-15,16104
2014-01-16,16108
2014-01-17,16085
2014-01-20,16417
2014-01-21,16388
2014-01-22,16522
2014-01-23,16388
2014-01-24,16443
2014-01-27,16025
2014-01-28,16243
2014-01-29,16504
2014-02-03,16499
2014-02-04,16053
2014-02-05,16068
2014-02-06,16402
2014-02-07,16541
2014-02-10,16541
2014-02-11,16656
2014-02-12,16694
2014-02-13,16679
2014-02-14,16649
2014-02-17,16631
2014-02-18,16689
2014-02-19,16748
2014-02-20,16611
2014-02-21,16885
2014-02-24,16801
2014-02-25,16787
2014-02-26,16931
2014-02-27,16858
2014-02-28,16880
2014-03-03,16753
2014-03-04,16839
2014-03-05,16931
2014-03-06,16997
2014-03-07,17052
2014-03-10,16825
2014-03-11,16982
2014-03-12,16694
2014-03-13,16898
2014-03-14,16839
2014-03-17,16476
2014-03-18,16621
2014-03-19,16689
2014-03-20,16679
2014-03-21,16997
2014-03-24,16880
2014-03-25,16611
2014-03-26,16858
2014-03-27,16601
2014-03-28,16763
2014-03-31,16722
2014-04-01,16940
2014-04-02,17104
2014-04-03,17129
2014-04-04,17238
2014-04-07,17152
2014-04-08,17157
2014-04-09,16945
2014-04-10,17129
2014-04-11,16992
2014-04-14,17057
2014-04-15,17052
2014-04-16,17120
2014-04-17,16978
2014-04-18,17498
2014-04-21,17600
2014-04-22,17600
2014-04-23,17647
2014-04-24,17642
2014-04-25,17456
2014-04-28,17409
2014-04-29,17290
2014-04-30,17322
2014-05-02,17220
2014-05-07,17018
2014-05-08,16866
2014-05-09,16930
2014-05-12,17167
2014-05-13,17366
2014-05-14,17412
2014-05-15,17331
2014-05-16,17404
2014-05-19,17129
2014-05-20,17238
2014-05-21,17200
2014-05-22,17220
2014-05-23,17308
2014-05-26,17375
2014-05-27,17456
2014-05-28,17581
2014-05-29,17700
2014-05-30,17563
2014-06-02,17572
2014-06-03,17549
2014-06-05,17427
2014-06-09,17404
2014-06-10,17710
2014-06-11,17590
2014-06-12,17563
2014-06-13,17422
2014-06-16,17675
2014-06-17,17794
2014-06-18,17857
2014-06-19,17748
2014-06-20,17554
2014-06-23,17294
2014-06-24,17615
2014-06-25,17470
2014-06-26,17271
2014-06-27,17042
2014-06-30,17317
2014-07-01,17490
2014-07-02,17745
2014-07-03,17927
2014-07-04,17791
2014-07-07,17871
2014-07-08,17997
2014-07-09,17857
2014-07-10,17748
2014-07-11,17498
2014-07-14,17633
2014-07-15,17791
2014-07-16,17814
2014-07-17,17992
2014-07-18,17922
2014-07-21,17898
2014-07-22,17945
2014-07-23,17852
2014-07-24,17705
2014-07-25,17638
2014-07-28,17266
2014-07-29,16939
2014-07-30,17051
2014-07-31,16530
2014-08-01,16582
2014-08-04,16843
2014-08-05,16742
2014-08-06,16330
2014-08-07,16301
2014-08-08,16092
2014-08-11,16246
2014-08-12,16070
2014-08-13,16256
2014-08-14,16395
2014-08-18,16278
2014-08-19,16301
2014-08-20,16474
2014-08-21,16559
2014-08-22,16550
2014-08-25,16683
2014-08-26,16540
2014-08-27,16484
2014-08-28,16525
2014-08-29,16615
2014-09-01,16368
2014-09-02,16201
2014-09-03,15851
2014-09-04,15986
2014-09-05,16102
2014-09-11,16241
2014-09-12,16214
2014-09-15,16005
2014-09-16,16092
2014-09-17,16178
2014-09-18,16046
2014-09-19,16125
2014-09-22,15907
2014-09-23,15722
2014-09-24,15763
2014-09-25,15832
2014-09-26,15879
2014-09-29,15856
2014-09-30,15805
2014-10-01,15465
2014-10-02,15638
2014-10-06,15618
2014-10-07,15703
2014-10-08,15777
2014-10-10,15508
2014-10-13,15023
2014-10-14,15321
2014-10-15,15321
2014-10-16,15281
2014-10-17,15001
2014-10-20,15276
2014-10-21,15297
2014-10-22,15663
2014-10-23,15693
2014-10-24,15456
2014-10-27,15372
2014-10-28,15503
2014-10-29,15693
2014-10-30,15936
2014-10-31,16274
2014-11-03,16087
2014-11-04,15936
2014-11-05,15860
2014-11-06,15814
2014-11-07,16023
2014-11-10,16270
2014-11-11,16214
2014-11-12,16325
2014-11-13,16256
2014-11-14,16210
2014-11-17,15683
2014-11-18,15842
2014-11-19,16092
2014-11-20,16079
2014-11-21,16023
2014-11-24,16116
2014-11-25,16236
2014-11-26,16315
2014-11-27,16530
2014-11-28,16605
2014-12-01,16564
2014-12-02,16530
2014-12-03,16578
2014-12-04,16725
2014-12-05,16742
2014-12-08,16853
2014-12-09,16981
2014-12-10,16697
2014-12-11,16484
2014-12-12,16415
2014-12-15,16410
2014-12-16,16231
2014-12-17,16158
2014-12-18,16246
2014-12-19,16728
2014-12-22,16838
2014-12-23,17042
2014-12-24,17032
2014-12-26,16986
2014-12-29,17409
2014-12-30,17394
2015-01-02,17581
2015-01-05,17572
2015-01-06,17340
2015-01-07,17441
2015-01-08,17767
2015-01-09,17982
2015-01-12,17977
2015-01-13,17772
2015-01-14,17736
2015-01-15,17736
2015-01-16,17422
2015-01-19,17590
2015-01-20,17615
2015-01-21,17972
2015-01-22,17862
2015-01-23,17949
2015-01-26,17957
2015-01-27,18071
2015-01-28,17883
2015-01-29,17762
2015-01-30,17781
2015-02-02,17544
2015-02-03,17539
2015-02-04,17600
2015-02-05,17446
2015-02-06,17485
2015-02-09,17470
2015-02-10,17539
2015-02-11,17852
2015-02-12,17814
2015-02-13,17953
2015-02-16,17953
2015-02-17,17898
2015-02-23,18056
2015-02-24,18190
2015-02-25,18046
2015-02-26,18046
2015-02-27,18209
2015-03-02,18438
2015-03-03,18567
2015-03-04,18557
2015-03-05,18618
2015-03-06,18847
2015-03-09,18515
2015-03-10,18270
2015-03-11,18365
2015-03-12,18312
2015-03-13,18453
2015-03-16,18503
2015-03-17,18567
2015-03-18,18586
2015-03-19,18292
2015-03-20,18331
2015-03-23,18637
2015-03-24,18659
