date,rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency,year,report_type,thstrm_add_amount,frmtrm_add_amount
2016-12-31,20161114002456,11014,2016,164788,12330,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 40 기3분기,2016.01.01 ~ 2016.09.30,"471,388,000,000",제 39 기3분기,2015.01.01 ~ 2015.09.30,"460,890,000,000",,,,30,KRW,2016,3Q,"1,495,767,000,000","1,476,488,000,000"
2017-12-31,20171114002404,11014,2017,164788,12330,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 41 기3분기,2017.01.01 ~ 2017.09.30,"257,194,000,000",제 40 기3분기,2016.01.01 ~ 2016.09.30,"471,388,000,000",,,,30,KRW,2017,3Q,"1,201,331,000,000","1,495,767,000,000"
2018-12-31,20181114001915,11014,2018,164788,12330,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 42 기3분기,2018.01.01 ~ 2018.09.30,"368,351,000,000",제 41 기3분기,2017.01.01 ~ 2017.09.30,"257,194,000,000",,,,30,KRW,2018,3Q,"1,243,580,000,000","1,201,331,000,000"
2019-12-31,20191114002399,11014,2019,164788,12330,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 43 기3분기,2019.01.01 ~ 2019.09.30,"451,615,000,000",제 42 기3분기,2018.01.01 ~ 2018.09.30,"368,351,000,000",,,,30,KRW,2019,3Q,"1,538,923,000,000","1,243,580,000,000"
2020-12-31,20201116000573,11014,2020,164788,12330,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 44 기3분기,2020.01.01 ~ 2020.09.30,"287,973,000,000",제 43 기3분기,2019.01.01 ~ 2019.09.30,"451,615,000,000",,,,30,KRW,2020,3Q,"903,464,000,000","1,538,923,000,000"
2021-12-31,20211115001677,11014,2021,164788,12330,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 45 기3분기,2021.01.01 ~ 2021.09.30,"275,523,000,000",제 44 기3분기,2020.01.01 ~ 2020.09.30,"287,973,000,000",,,,30,KRW,2021,3Q,"1,104,885,000,000","903,464,000,000"
2022-12-31,20230127000463,11014,2022,164788,12330,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 46 기3분기,2022.01.01 ~ 2022.09.30,"535,446,000,000",제 45 기3분기,2021.01.01 ~ 2021.09.30,"275,523,000,000",,,,30,KRW,2022,3Q,"1,252,221,000,000","1,104,885,000,000"
2023-12-31,20231114002284,11014,2023,164788,12330,OFS,재무제표,IS,손익계산서,총포괄손익,제 47 기3분기,2023.01.01 ~ 2023.09.30,"612,653,000,000",제 46 기3분기,2022.01.01 ~ 2022.09.30,"532,280,000,000",,,,64,KRW,2023,3Q,"1,491,717,000,000","1,222,088,000,000"
2024-12-31,20241114001585,11014,2024,164788,12330,OFS,재무제표,IS,손익계산서,총포괄손익,제 48 기3분기,2024.01.01 ~ 2024.09.30,"516,709,000,000",제 47 기3분기,2023.01.01 ~ 2023.09.30,"612,653,000,000",,,,64,KRW,2024,3Q,"1,765,778,000,000","1,491,717,000,000"
2025-12-31,20251114002729,11014,2025,164788,12330,OFS,재무제표,IS,손익계산서,총포괄손익,제 49 기3분기,2025.01.01 ~ 2025.09.30,"496,387,000,000",제 48 기3분기,2024.01.01 ~ 2024.09.30,"516,709,000,000",,,,64,KRW,2025,3Q,"1,679,382,000,000","1,765,778,000,000"
