date,Close
2013-11-26,1018
2013-11-27,1002
2013-11-28,1077
2013-11-29,1081
2013-12-02,1037
2013-12-03,1014
2013-12-04,1009
2013-12-05,1012
2013-12-06,1012
2013-12-09,990
2013-12-10,992
2013-12-11,965
2013-12-12,972
2013-12-13,959
2013-12-16,952
2013-12-17,939
2013-12-18,946
2013-12-19,902
2013-12-20,921
2013-12-23,902
2013-12-24,889
2013-12-26,879
2013-12-27,875
2013-12-30,946
2014-01-02,933
2014-01-03,946
2014-01-06,1059
2014-01-07,1052
2014-01-08,1055
2014-01-09,1055
2014-01-10,1018
2014-01-13,1064
2014-01-14,1125
2014-01-15,1125
2014-01-16,1119
2014-01-17,1130
2014-01-20,1140
2014-01-21,1140
2014-01-22,1113
2014-01-23,1201
2014-01-24,1172
2014-01-27,1144
2014-01-28,1126
2014-01-29,1204
2014-02-03,1238
2014-02-04,1240
2014-02-05,1208
2014-02-06,1218
2014-02-07,1219
2014-02-10,1231
2014-02-11,1311
2014-02-12,1340
2014-02-13,1321
2014-02-14,1383
2014-02-17,1486
2014-02-18,1478
2014-02-19,1499
2014-02-20,1486
2014-02-21,1397
2014-02-24,1434
2014-02-25,1366
2014-02-26,1300
2014-02-27,1204
2014-02-28,1269
2014-03-03,1263
2014-03-04,1311
2014-03-05,1299
2014-03-06,1261
2014-03-07,1216
2014-03-10,1192
2014-03-11,1295
2014-03-12,1276
2014-03-13,1307
2014-03-14,1459
2014-03-17,1461
2014-03-18,1461
2014-03-19,1630
2014-03-20,1691
2014-03-21,1765
2014-03-24,1900
2014-03-25,1837
2014-03-26,1709
2014-03-27,1763
2014-03-28,1775
2014-03-31,1831
2014-04-01,1948
2014-04-02,1948
2014-04-03,1952
2014-04-04,1922
2014-04-07,1867
2014-04-08,1869
2014-04-09,1869
2014-04-10,1824
2014-04-11,1897
2014-04-14,1922
2014-04-15,1870
2014-04-16,1828
2014-04-17,1959
2014-04-18,1918
2014-04-21,1935
2014-04-22,1869
2014-04-23,1734
2014-04-24,1726
2014-04-25,1688
2014-04-28,1768
2014-04-29,1805
2014-04-30,1821
2014-05-02,1706
2014-05-07,1675
2014-05-08,1797
2014-05-09,1857
2014-05-12,1897
2014-05-13,1887
2014-05-14,1995
2014-05-15,1995
2014-05-16,2000
2014-05-19,2031
2014-05-20,1988
2014-05-21,2035
2014-05-22,2064
2014-05-23,2064
2014-05-26,2031
2014-05-27,2011
2014-05-28,2011
2014-05-29,1986
2014-05-30,1972
2014-06-02,1841
2014-06-03,1887
2014-06-05,1906
2014-06-09,1908
2014-06-10,2112
2014-06-11,2076
2014-06-12,2151
2014-06-13,2147
2014-06-16,2107
2014-06-17,2104
2014-06-18,2107
2014-06-19,2188
2014-06-20,2167
2014-06-23,2104
2014-06-24,2087
2014-06-25,2028
2014-06-26,2028
2014-06-27,2024
2014-06-30,2116
2014-07-01,2170
2014-07-02,2227
2014-07-03,2195
2014-07-04,2203
2014-07-07,2151
2014-07-08,2104
2014-07-09,2121
2014-07-10,2123
2014-07-11,2123
2014-07-14,2087
2014-07-15,2135
2014-07-16,2100
2014-07-17,2040
2014-07-18,2079
2014-07-21,2035
2014-07-22,1899
2014-07-23,2055
2014-07-24,1954
2014-07-25,1846
2014-07-28,1665
2014-07-29,1750
2014-07-30,1647
2014-07-31,1587
2014-08-01,1611
2014-08-04,1653
2014-08-05,1670
2014-08-06,1617
2014-08-07,1728
2014-08-08,1757
2014-08-11,1741
2014-08-12,1746
2014-08-13,1685
2014-08-14,1734
2014-08-18,1741
2014-08-19,1747
2014-08-20,1675
2014-08-21,1591
2014-08-22,1620
2014-08-25,1580
2014-08-26,1642
2014-08-27,1610
2014-08-28,1657
2014-08-29,1598
2014-09-01,1554
2014-09-02,1550
2014-09-03,1614
2014-09-04,1614
2014-09-05,1672
2014-09-11,1869
2014-09-12,1937
2014-09-15,2047
2014-09-16,2035
2014-09-17,2007
2014-09-18,2144
2014-09-19,2334
2014-09-22,2385
2014-09-23,2486
2014-09-24,2466
2014-09-25,2585
2014-09-26,2410
2014-09-29,2433
2014-09-30,2545
2014-10-01,2422
2014-10-02,2700
2014-10-06,2649
2014-10-07,2605
2014-10-08,2601
2014-10-10,2589
2014-10-13,2481
2014-10-14,2554
2014-10-15,2836
2014-10-16,2815
2014-10-17,2972
2014-10-20,3254
2014-10-21,3453
2014-10-22,3462
2014-10-23,3462
2014-10-24,3529
2014-10-27,3516
2014-10-28,3521
2014-10-29,3521
2014-10-30,3485
2014-10-31,3362
2014-11-03,3385
2014-11-04,3214
2014-11-05,2944
2014-11-06,3015
2014-11-07,3334
2014-11-10,3421
2014-11-11,3401
2014-11-12,3616
2014-11-13,3485
2014-11-14,3179
2014-11-17,2871
2014-11-18,2903
2014-11-19,2944
2014-11-20,2915
2014-11-21,2863
2014-11-24,2944
2014-11-25,2788
2014-11-26,2788
2014-11-27,3011
2014-11-28,3023
2014-12-01,2963
2014-12-02,3074
2014-12-03,3023
2014-12-04,2911
2014-12-05,2963
2014-12-08,2903
2014-12-09,2815
2014-12-10,2813
2014-12-11,2649
2014-12-12,2765
2014-12-15,2780
2014-12-16,2741
2014-12-17,2656
2014-12-18,2903
2014-12-19,2792
2014-12-22,2752
2014-12-23,2903
2014-12-24,3055
2014-12-26,2999
2014-12-29,3067
2014-12-30,3063
2015-01-02,3258
2015-01-05,3234
2015-01-06,3074
2015-01-07,3034
2015-01-08,3098
2015-01-09,3218
2015-01-12,3202
2015-01-13,3250
2015-01-14,3357
2015-01-15,3301
2015-01-16,3161
2015-01-19,3202
2015-01-20,3261
2015-01-21,3323
2015-01-22,3309
2015-01-23,3318
2015-01-26,3521
2015-01-27,3819
2015-01-28,3731
2015-01-29,3738
2015-01-30,4038
2015-02-02,4356
2015-02-03,4556
2015-02-04,5232
2015-02-05,5272
2015-02-06,5411
2015-02-09,5451
2015-02-10,5511
2015-02-11,5570
2015-02-12,5868
2015-02-13,6228
2015-02-16,6347
2015-02-17,6267
2015-02-23,6228
2015-02-24,6666
2015-02-25,6646
2015-02-26,6367
2015-02-27,5710
2015-03-02,5750
2015-03-03,5889
2015-03-04,5451
2015-03-05,5610
2015-03-06,5610
