date,Close
2016-11-10,209449
2016-11-11,234903
2016-11-14,255268
2016-11-15,241449
2016-11-16,247267
2016-11-17,243631
2016-11-18,244358
2016-11-21,245813
2016-11-22,248721
2016-11-23,241449
2016-11-24,226177
2016-11-25,235632
2016-11-28,234903
2016-11-29,228358
2016-11-30,223995
2016-12-01,210176
2016-12-02,206541
2016-12-05,206541
2016-12-06,212359
2016-12-07,218904
2016-12-08,218904
2016-12-09,210903
2016-12-12,207995
2016-12-13,211632
2016-12-14,208722
2016-12-15,207268
2016-12-16,210176
2016-12-19,218177
2016-12-20,220358
2016-12-21,215267
2016-12-22,209449
2016-12-23,209449
2016-12-26,209449
2016-12-27,211632
2016-12-28,221086
2016-12-29,219631
2017-01-02,227631
2017-01-03,229812
2017-01-04,224722
2017-01-05,229085
2017-01-06,229085
2017-01-09,224722
2017-01-10,219631
2017-01-11,231268
2017-01-12,228358
2017-01-13,222541
2017-01-16,220358
2017-01-17,221086
2017-01-18,222541
2017-01-19,221813
2017-01-20,225449
2017-01-23,226177
2017-01-24,225449
2017-01-25,225449
2017-01-26,234176
2017-01-31,234176
2017-02-01,237086
2017-02-02,249448
2017-02-03,251631
2017-02-06,245085
2017-02-07,249448
2017-02-08,237086
2017-02-09,234176
2017-02-10,229812
2017-02-13,229812
2017-02-14,227631
2017-02-15,233449
2017-02-16,231268
2017-02-17,233449
2017-02-20,234176
2017-02-21,240722
2017-02-22,239994
2017-02-23,244358
2017-02-24,240722
2017-02-27,242177
2017-02-28,239267
2017-03-02,234903
2017-03-03,235632
2017-03-06,239267
2017-03-07,244358
2017-03-08,247267
2017-03-09,244358
2017-03-10,248721
2017-03-13,251631
2017-03-14,248721
2017-03-15,252358
2017-03-16,256722
2017-03-17,262540
2017-03-20,272721
2017-03-21,280722
2017-03-22,273448
2017-03-23,271994
2017-03-24,272721
2017-03-27,264721
2017-03-28,269084
2017-03-29,266903
2017-03-30,257449
2017-03-31,251631
2017-04-03,255995
2017-04-04,258176
2017-04-05,264721
2017-04-06,263267
2017-04-07,258903
2017-04-10,252358
2017-04-11,257449
2017-04-12,261813
2017-04-13,261085
2017-04-14,260358
2017-04-17,263267
2017-04-18,264721
2017-04-19,267630
2017-04-20,266903
2017-04-21,271994
2017-04-24,266176
2017-04-25,267630
2017-04-26,263267
2017-04-27,263994
2017-04-28,254539
2017-05-02,260358
2017-05-04,261813
2017-05-08,266903
2017-05-10,261813
2017-05-11,269084
2017-05-12,269084
2017-05-15,271267
2017-05-16,271994
2017-05-17,274904
2017-05-18,277812
2017-05-19,279994
2017-05-22,280722
2017-05-23,285085
2017-05-24,290903
2017-05-25,296721
2017-05-26,310539
2017-05-29,309812
2017-05-30,307629
2017-05-31,319994
2017-06-01,333083
2017-06-02,336720
2017-06-05,338174
2017-06-07,356356
2017-06-08,342538
2017-06-09,326538
2017-06-12,332356
2017-06-13,356356
2017-06-14,354175
2017-06-15,349084
2017-06-16,349084
2017-06-19,349811
2017-06-20,340357
2017-06-21,338903
2017-06-22,346174
2017-06-23,362174
2017-06-26,410900
2017-06-27,412356
2017-06-28,409446
2017-06-29,431992
2017-06-30,424718
2017-07-03,407992
2017-07-04,420355
2017-07-05,420355
2017-07-06,421082
2017-07-07,422537
2017-07-10,423264
2017-07-11,421082
2017-07-12,407265
2017-07-13,399992
2017-07-14,386901
2017-07-17,388356
2017-07-18,378902
2017-07-19,382537
2017-07-20,384719
2017-07-21,392720
2017-07-24,397082
2017-07-25,417447
2017-07-26,415264
2017-07-27,404355
2017-07-28,392720
2017-07-31,395628
2017-08-01,407265
2017-08-02,405809
2017-08-03,406537
2017-08-04,404355
2017-08-07,407992
2017-08-08,402901
2017-08-09,394901
2017-08-10,391264
2017-08-11,383992
2017-08-14,394174
2017-08-16,397811
2017-08-17,395628
2017-08-18,397082
2017-08-21,399265
2017-08-22,415991
2017-08-23,408719
2017-08-24,406537
2017-08-25,407265
2017-08-28,407265
2017-08-29,409446
2017-08-30,410173
2017-08-31,411627
2017-09-01,407992
2017-09-04,401446
2017-09-05,400719
