date,Close
2013-11-26,4190
2013-11-27,4150
2013-11-28,4340
2013-11-29,4305
2013-12-02,4440
2013-12-03,4460
2013-12-04,4465
2013-12-05,4470
2013-12-06,4420
2013-12-09,4380
2013-12-10,4300
2013-12-11,4450
2013-12-12,4415
2013-12-13,4595
2013-12-16,4585
2013-12-17,4675
2013-12-18,4600
2013-12-19,4525
2013-12-20,4555
2013-12-23,4410
2013-12-24,4410
2013-12-26,4600
2013-12-27,4600
2013-12-30,4610
2014-01-02,4450
2014-01-03,4380
2014-01-06,4435
2014-01-07,4565
2014-01-08,4840
2014-01-09,4820
2014-01-10,4750
2014-01-13,4990
2014-01-14,4930
2014-01-15,4905
2014-01-16,4910
2014-01-17,4845
2014-01-20,5100
2014-01-21,4970
2014-01-22,5010
2014-01-23,4850
2014-01-24,4915
2014-01-27,4890
2014-01-28,4930
2014-01-29,4985
2014-02-03,4995
2014-02-04,5020
2014-02-05,4900
2014-02-06,4785
2014-02-07,4855
2014-02-10,4915
2014-02-11,4855
2014-02-12,4920
2014-02-13,4845
2014-02-14,4795
2014-02-17,4680
2014-02-18,4670
2014-02-19,4605
2014-02-20,4465
2014-02-21,4555
2014-02-24,4705
2014-02-25,4775
2014-02-26,4730
2014-02-27,4640
2014-02-28,4595
2014-03-03,4770
2014-03-04,4795
2014-03-05,4820
2014-03-06,4900
2014-03-07,4890
2014-03-10,4810
2014-03-11,4925
2014-03-12,4810
2014-03-13,4935
2014-03-14,5120
2014-03-17,4850
2014-03-18,4875
2014-03-19,4970
2014-03-20,4895
2014-03-21,5060
2014-03-24,5080
2014-03-25,5300
2014-03-26,5280
2014-03-27,5370
2014-03-28,5400
2014-03-31,5220
2014-04-01,5300
2014-04-02,5500
2014-04-03,5400
2014-04-04,5460
2014-04-07,5300
2014-04-08,5190
2014-04-09,5050
2014-04-10,5130
2014-04-11,5080
2014-04-14,5190
2014-04-15,5110
2014-04-16,5250
2014-04-17,5200
2014-04-18,5210
2014-04-21,5150
2014-04-22,5200
2014-04-23,5270
2014-04-24,5170
2014-04-25,5170
2014-04-28,5180
2014-04-29,5610
2014-04-30,6000
2014-05-02,6260
2014-05-07,6260
2014-05-08,6330
2014-05-09,6340
2014-05-12,6480
2014-05-13,6380
2014-05-14,6500
2014-05-15,6760
2014-05-16,6710
2014-05-19,6750
2014-05-20,6920
2014-05-21,6990
2014-05-22,6500
2014-05-23,6830
2014-05-26,6760
2014-05-27,6750
2014-05-28,6720
2014-05-29,7350
2014-05-30,7170
2014-06-02,7000
2014-06-03,6950
2014-06-05,7090
2014-06-09,7220
2014-06-10,7360
2014-06-11,7210
2014-06-12,7240
2014-06-13,7510
2014-06-16,7380
2014-06-17,7490
2014-06-18,7400
2014-06-19,7270
2014-06-20,7270
2014-06-23,7050
2014-06-24,7450
2014-06-25,7500
2014-06-26,7680
2014-06-27,7870
2014-06-30,8030
2014-07-01,8330
2014-07-02,8530
2014-07-03,8950
2014-07-04,8760
2014-07-07,8960
2014-07-08,9500
2014-07-09,9390
2014-07-10,9640
2014-07-11,9750
2014-07-14,10500
2014-07-15,10450
2014-07-16,9850
2014-07-17,9980
2014-07-18,9660
2014-07-21,9760
2014-07-22,9490
2014-07-23,9540
2014-07-24,9330
2014-07-25,9850
2014-07-28,9650
2014-07-29,8600
2014-07-30,8810
2014-07-31,9230
2014-08-01,9190
2014-08-04,9200
2014-08-05,9360
2014-08-06,9200
2014-08-07,9430
2014-08-08,9240
2014-08-11,8880
2014-08-12,8970
2014-08-13,8900
2014-08-14,9500
2014-08-18,9640
2014-08-19,9430
2014-08-20,8870
2014-08-21,8730
2014-08-22,8950
2014-08-25,8780
2014-08-26,8800
2014-08-27,8700
2014-08-28,8700
2014-08-29,8230
2014-09-01,8240
2014-09-02,8550
2014-09-03,8310
2014-09-04,8100
2014-09-05,8440
2014-09-11,8570
2014-09-12,8400
2014-09-15,8240
2014-09-16,8190
2014-09-17,8270
2014-09-18,8600
2014-09-19,8550
2014-09-22,8240
2014-09-23,8260
2014-09-24,8710
2014-09-25,8940
2014-09-26,9490
2014-09-29,9630
2014-09-30,9890
2014-10-01,9830
2014-10-02,10200
2014-10-06,10250
2014-10-07,9880
2014-10-08,11150
2014-10-10,11500
2014-10-13,10450
2014-10-14,10650
2014-10-15,10650
2014-10-16,11750
2014-10-17,11650
2014-10-20,11300
2014-10-21,11700
2014-10-22,11350
2014-10-23,11450
2014-10-24,11950
2014-10-27,12050
2014-10-28,12750
2014-10-29,12950
2014-10-30,12300
2014-10-31,12000
2014-11-03,12850
2014-11-04,12500
2014-11-05,11850
2014-11-06,10900
2014-11-07,11150
2014-11-10,10200
2014-11-11,10450
2014-11-12,10450
2014-11-13,10300
2014-11-14,10400
2014-11-17,9950
2014-11-18,10650
2014-11-19,10450
2014-11-20,10800
2014-11-21,10600
2014-11-24,10100
2014-11-25,10100
2014-11-26,11600
2014-11-27,12000
2014-11-28,11200
2014-12-01,10900
2014-12-02,11100
2014-12-03,10900
2014-12-04,11350
2014-12-05,11550
2014-12-08,11050
2014-12-09,11000
2014-12-10,11200
2014-12-11,10300
2014-12-12,10450
2014-12-15,10450
2014-12-16,10050
2014-12-17,10300
2014-12-18,9700
2014-12-19,10000
2014-12-22,9850
2014-12-23,9400
2014-12-24,9550
2014-12-26,9380
2014-12-29,9570
2014-12-30,9800
2015-01-02,10050
2015-01-05,10550
2015-01-06,10550
2015-01-07,10450
2015-01-08,10800
2015-01-09,10500
2015-01-12,10600
2015-01-13,10700
2015-01-14,10450
2015-01-15,10550
2015-01-16,10150
2015-01-19,9970
2015-01-20,9960
2015-01-21,9880
2015-01-22,10350
2015-01-23,10300
2015-01-26,10900
2015-01-27,11250
2015-01-28,11400
2015-01-29,11200
2015-01-30,10850
2015-02-02,10900
2015-02-03,10750
2015-02-04,10800
2015-02-05,11250
2015-02-06,11300
2015-02-09,10450
2015-02-10,10600
2015-02-11,10850
2015-02-12,10650
2015-02-13,10950
2015-02-16,10550
2015-02-17,10500
2015-02-23,10700
2015-02-24,10500
2015-02-25,10150
2015-02-26,10100
2015-02-27,10250
2015-03-02,10200
2015-03-03,10300
2015-03-04,10400
2015-03-05,10150
2015-03-06,10350
2015-03-09,10500
2015-03-10,10600
2015-03-11,10400
2015-03-12,10950
2015-03-13,11650
2015-03-16,11850
2015-03-17,12050
2015-03-18,11550
2015-03-19,11750
2015-03-20,12900
2015-03-23,12350
2015-03-24,12250
2015-03-25,12450
2015-03-26,12650
2015-03-27,12250
2015-03-30,12250
2015-03-31,11900
2015-04-01,12400
2015-04-02,12000
2015-04-03,12000
2015-04-06,12700
2015-04-07,12550
2015-04-08,12250
2015-04-09,12800
2015-04-10,12750
2015-04-13,12750
2015-04-14,12200
2015-04-15,12150
2015-04-16,12300
2015-04-17,12900
2015-04-20,13000
2015-04-21,12700
2015-04-22,12450
2015-04-23,11950
2015-04-24,11850
2015-04-27,12200
2015-04-28,12100
2015-04-29,11750
2015-04-30,11750
2015-05-04,11200
2015-05-06,11400
2015-05-07,11400
2015-05-08,11750
2015-05-11,11650
2015-05-12,12600
2015-05-13,12450
2015-05-14,12750
2015-05-15,11850
2015-05-18,12250
2015-05-19,12450
2015-05-20,12700
2015-05-21,12400
2015-05-22,12300
2015-05-26,12800
2015-05-27,12250
2015-05-28,11900
2015-05-29,11800
2015-06-01,12050
2015-06-02,11750
2015-06-03,11400
2015-06-04,11500
2015-06-05,11100
2015-06-08,11300
2015-06-09,11450
2015-06-10,10950
2015-06-11,10850
2015-06-12,10700
2015-06-15,10950
2015-06-16,11100
2015-06-17,10950
2015-06-18,11400
2015-06-19,11100
2015-06-22,11250
2015-06-23,11600
2015-06-24,12300
2015-06-25,12350
2015-06-26,12050
2015-06-29,11300
2015-06-30,11450
2015-07-01,11550
2015-07-02,11550
2015-07-03,13250
2015-07-06,13150
2015-07-07,11850
2015-07-08,11200
2015-07-09,11350
2015-07-10,11250
2015-07-13,11600
2015-07-14,11800
2015-07-15,11800
2015-07-16,11600
2015-07-17,11300
2015-07-20,11550
2015-07-21,11300
2015-07-22,11300
2015-07-23,11550
2015-07-24,12400
2015-07-27,12150
2015-07-28,11850
2015-07-29,11150
2015-07-30,10250
2015-07-31,10150
2015-08-03,9900
2015-08-04,10250
2015-08-05,10550
2015-08-06,10650
2015-08-07,10650
2015-08-10,10500
2015-08-11,10000
2015-08-12,9840
2015-08-13,10050
2015-08-17,10000
2015-08-18,9740
2015-08-19,9240
2015-08-20,9030
2015-08-21,8450
2015-08-24,8450
2015-08-25,8790
2015-08-26,9160
2015-08-27,9170
2015-08-28,9250
2015-08-31,9160
2015-09-01,8980
2015-09-02,8810
2015-09-03,8720
2015-09-04,8320
2015-09-07,8500
2015-09-08,8170
2015-09-09,8470
2015-09-10,8580
2015-09-11,8680
2015-09-14,8620
2015-09-15,8820
2015-09-16,9380
2015-09-17,9470
2015-09-18,9600
2015-09-21,9500
2015-09-22,9560
2015-09-23,9310
2015-09-24,9300
2015-09-25,9470
