date,Close
2018-12-19,13650
2018-12-20,17700
2018-12-21,17850
2018-12-24,16150
2018-12-26,17100
2018-12-27,19850
2018-12-28,20000
2019-01-02,22450
2019-01-03,21050
2019-01-04,21500
2019-01-07,20350
2019-01-08,19100
2019-01-09,18750
2019-01-10,18550
2019-01-11,18000
2019-01-14,17400
2019-01-15,17500
2019-01-16,18700
2019-01-17,17600
2019-01-18,16850
2019-01-21,15950
2019-01-22,17800
2019-01-23,18000
2019-01-24,17750
2019-01-25,18000
2019-01-28,18500
2019-01-29,17750
2019-01-30,16900
2019-01-31,16900
2019-02-01,16850
2019-02-07,17900
2019-02-08,18150
2019-02-11,19250
2019-02-12,18700
2019-02-13,18250
2019-02-14,18200
2019-02-15,17900
2019-02-18,18450
2019-02-19,18250
2019-02-20,17700
2019-02-21,17250
2019-02-22,17600
2019-02-25,18000
2019-02-26,17650
2019-02-27,18750
2019-02-28,19450
2019-03-04,20200
2019-03-05,20750
2019-03-06,21950
2019-03-07,20900
2019-03-08,21100
2019-03-11,21150
2019-03-12,27450
2019-03-13,27500
2019-03-14,28800
2019-03-15,29050
2019-03-18,30850
2019-03-19,28850
2019-03-20,31700
2019-03-21,31950
2019-03-22,31500
2019-03-25,31600
2019-03-26,31500
2019-03-27,29850
2019-03-28,28000
2019-03-29,30150
2019-04-01,32800
2019-04-02,32900
2019-04-03,35450
2019-04-04,35850
2019-04-05,34600
2019-04-08,33350
2019-04-09,37650
2019-04-10,35150
2019-04-11,34600
2019-04-12,34450
2019-04-15,32800
2019-04-16,33700
2019-04-17,31550
2019-04-18,30300
2019-04-19,30200
2019-04-22,29150
2019-04-23,30300
2019-04-24,30800
2019-04-25,30650
2019-04-26,29550
2019-04-29,31200
2019-04-30,33800
2019-05-02,33950
2019-05-03,33600
2019-05-07,32550
2019-05-08,32250
2019-05-09,30150
2019-05-10,31000
2019-05-13,30650
2019-05-14,31700
2019-05-15,32750
2019-05-16,32000
2019-05-17,31700
2019-05-20,30350
2019-05-21,30900
2019-05-22,33250
2019-05-23,33550
2019-05-24,34250
2019-05-27,36000
2019-05-28,37000
2019-05-29,36300
2019-05-30,32800
2019-05-31,32450
2019-06-03,32900
2019-06-04,33700
2019-06-05,34050
2019-06-07,34000
2019-06-10,34250
2019-06-11,35500
2019-06-12,35700
2019-06-13,34650
2019-06-14,32150
2019-06-17,29900
2019-06-18,28800
2019-06-19,28800
2019-06-20,30250
2019-06-21,30000
2019-06-24,29500
2019-06-25,27150
2019-06-26,27150
2019-06-27,24600
2019-06-28,24200
2019-07-01,25250
2019-07-02,23950
2019-07-03,24100
2019-07-04,23100
2019-07-05,23950
2019-07-08,22700
2019-07-09,22650
2019-07-10,23650
2019-07-11,24150
2019-07-12,23150
2019-07-15,23150
2019-07-16,22800
2019-07-17,22950
2019-07-18,22050
2019-07-19,22400
2019-07-22,23150
2019-07-23,22300
2019-07-24,21400
2019-07-25,21000
2019-07-26,20500
2019-07-29,20500
2019-07-30,20450
2019-07-31,20450
2019-08-01,21100
2019-08-02,19250
2019-08-05,17250
2019-08-06,17250
2019-08-07,16850
2019-08-08,17150
2019-08-09,17250
2019-08-12,17550
2019-08-13,16550
2019-08-14,17100
2019-08-16,17400
2019-08-19,17200
2019-08-20,18100
2019-08-21,18550
2019-08-22,18700
2019-08-23,17550
2019-08-26,15700
2019-08-27,15800
2019-08-28,17800
2019-08-29,18400
2019-08-30,18450
2019-09-02,19350
2019-09-03,18650
2019-09-04,18700
2019-09-05,18000
2019-09-06,18950
2019-09-09,18800
2019-09-10,17700
2019-09-11,18400
2019-09-16,19000
2019-09-17,20100
2019-09-18,19600
2019-09-19,19200
2019-09-20,19000
2019-09-23,18500
2019-09-24,17700
2019-09-25,17050
2019-09-26,17250
2019-09-27,16800
2019-09-30,16900
2019-10-01,17850
2019-10-02,17250
2019-10-04,17150
2019-10-07,20450
2019-10-08,19400
2019-10-10,19100
2019-10-11,18900
2019-10-14,19200
2019-10-15,19500
2019-10-16,19250
2019-10-17,19050
2019-10-18,18200
2019-10-21,18350
2019-10-22,19600
2019-10-23,21150
2019-10-24,20000
2019-10-25,19250
2019-10-28,19650
2019-10-29,19400
2019-10-30,19100
2019-10-31,19200
2019-11-01,19800
2019-11-04,19800
2019-11-05,23200
2019-11-06,21700
2019-11-07,21500
2019-11-08,21100
2019-11-11,21350
2019-11-12,20900
2019-11-13,20250
2019-11-14,20950
2019-11-15,21350
2019-11-18,20850
2019-11-19,20700
2019-11-20,19300
2019-11-21,18000
2019-11-22,17900
2019-11-25,18750
2019-11-26,19400
2019-11-27,18800
2019-11-28,18700
2019-11-29,17950
2019-12-02,18800
2019-12-03,18100
2019-12-04,17950
2019-12-05,17550
2019-12-06,18100
2019-12-09,18550
2019-12-10,19700
2019-12-11,19500
2019-12-12,19800
2019-12-13,19850
2019-12-16,20400
2019-12-17,20900
2019-12-18,20850
2019-12-19,19850
2019-12-20,19500
2019-12-23,20600
2019-12-24,20400
2019-12-26,21650
2019-12-27,22150
