date,Close
2015-11-17,17120
2015-11-18,18656
2015-11-19,18400
2015-11-20,17600
2015-11-23,17456
2015-11-24,17456
2015-11-25,17248
2015-11-26,17680
2015-11-27,17120
2015-11-30,16192
2015-12-01,15872
2015-12-02,16400
2015-12-03,16400
2015-12-04,16144
2015-12-07,16224
2015-12-08,15248
2015-12-09,15040
2015-12-10,14752
2015-12-11,14352
2015-12-14,14144
2015-12-15,14000
2015-12-16,14192
2015-12-17,14560
2015-12-18,15360
2015-12-21,16000
2015-12-22,15680
2015-12-23,15424
2015-12-24,15248
2015-12-28,14416
2015-12-29,15568
2015-12-30,16320
2016-01-04,16304
2016-01-05,16704
2016-01-06,17072
2016-01-07,17392
2016-01-08,17584
2016-01-11,17040
2016-01-12,16608
2016-01-13,17600
2016-01-14,18096
2016-01-15,17280
2016-01-18,18560
2016-01-19,18704
2016-01-20,18496
2016-01-21,18720
2016-01-22,19584
2016-01-25,20688
2016-01-26,20864
2016-01-27,20336
2016-01-28,20656
2016-01-29,20656
2016-02-01,20560
2016-02-02,20080
2016-02-03,19584
2016-02-04,19248
2016-02-05,19712
2016-02-11,19184
2016-02-12,16976
2016-02-15,16640
2016-02-16,17200
2016-02-17,15952
2016-02-18,16304
2016-02-19,16128
2016-02-22,16912
2016-02-23,16480
2016-02-24,16720
2016-02-25,16720
2016-02-26,17360
2016-02-29,17472
2016-03-02,17520
2016-03-03,18000
2016-03-04,18144
2016-03-07,18272
2016-03-08,18096
2016-03-09,18880
2016-03-10,19824
2016-03-11,20480
2016-03-14,20176
2016-03-15,20176
2016-03-16,20160
2016-03-17,19696
2016-03-18,20160
2016-03-21,20416
2016-03-22,19920
2016-03-23,19248
2016-03-24,19216
2016-03-25,19184
2016-03-28,18416
2016-03-29,19216
2016-03-30,19280
2016-03-31,19376
2016-04-01,19056
2016-04-04,20080
2016-04-05,19072
2016-04-06,18560
2016-04-07,18352
2016-04-08,17952
2016-04-11,18160
2016-04-12,18880
2016-04-14,18848
2016-04-15,19168
2016-04-18,18544
2016-04-19,18992
2016-04-20,18880
2016-04-21,18576
2016-04-22,18160
2016-04-25,17264
2016-04-26,17328
2016-04-27,16944
2016-04-28,17280
2016-04-29,17360
2016-05-02,16976
2016-05-03,17776
2016-05-04,17424
2016-05-09,17408
2016-05-10,17696
2016-05-11,18592
2016-05-12,18704
2016-05-13,19136
2016-05-16,19232
2016-05-17,19104
2016-05-18,18464
2016-05-19,18160
2016-05-20,18240
2016-05-23,18432
2016-05-24,18064
2016-05-25,18160
2016-05-26,18672
2016-05-27,18704
2016-05-30,18256
2016-05-31,18400
2016-06-01,18512
2016-06-02,19136
2016-06-03,19328
2016-06-07,19792
2016-06-08,19776
2016-06-09,19040
2016-06-10,19072
2016-06-13,18784
2016-06-14,18912
2016-06-15,18624
2016-06-16,19200
2016-06-17,18640
2016-06-20,18480
2016-06-21,18352
2016-06-22,18736
2016-06-23,18736
2016-06-24,17488
2016-06-27,16912
2016-06-28,17456
2016-06-29,18304
2016-06-30,18800
2016-07-01,20064
2016-07-04,21344
2016-07-05,21904
2016-07-06,21600
2016-07-07,23200
2016-07-08,23056
2016-07-11,22016
2016-07-12,22160
2016-07-13,22608
2016-07-14,22496
2016-07-15,21856
2016-07-18,21952
2016-07-19,21248
2016-07-20,22496
2016-07-21,22784
2016-07-22,22880
2016-07-25,23104
2016-07-26,22880
2016-07-27,21920
2016-07-28,21568
2016-07-29,22032
2016-08-01,21552
2016-08-02,20944
2016-08-03,21840
2016-08-04,21408
2016-08-05,20576
2016-08-08,20640
2016-08-09,20736
2016-08-10,21696
2016-08-11,21024
2016-08-12,20800
2016-08-16,20656
2016-08-17,20464
2016-08-18,20720
2016-08-19,20400
2016-08-22,19472
2016-08-23,19600
2016-08-24,19568
2016-08-25,19600
2016-08-26,19648
2016-08-29,18896
2016-08-30,18784
2016-08-31,19152
2016-09-01,18800
2016-09-02,18880
2016-09-05,18880
2016-09-06,18400
2016-09-07,17648
2016-09-08,18208
2016-09-09,18064
2016-09-12,17376
2016-09-13,17248
2016-09-19,17504
2016-09-20,17872
2016-09-21,18160
2016-09-22,18480
2016-09-23,18480
2016-09-26,17936
2016-09-27,17472
