date,Close
2013-11-26,39850
2013-11-27,40100
2013-11-28,40400
2013-11-29,39700
2013-12-02,40100
2013-12-03,40450
2013-12-04,39800
2013-12-05,39450
2013-12-06,39450
2013-12-09,40250
2013-12-10,40650
2013-12-11,40150
2013-12-12,39450
2013-12-13,39950
2013-12-16,39500
2013-12-17,39650
2013-12-18,41300
2013-12-19,41050
2013-12-20,42050
2013-12-23,41900
2013-12-24,41950
2013-12-26,42350
2013-12-27,42450
2013-12-30,43900
2014-01-02,43850
2014-01-03,42450
2014-01-06,42600
2014-01-07,41500
2014-01-08,41600
2014-01-09,42050
2014-01-10,41000
2014-01-13,41300
2014-01-14,41000
2014-01-15,41700
2014-01-16,41400
2014-01-17,40350
2014-01-20,40100
2014-01-21,40500
2014-01-22,40800
2014-01-23,39850
2014-01-24,40550
2014-01-27,40200
2014-01-28,39800
2014-01-29,40900
2014-02-03,39950
2014-02-04,39200
2014-02-05,39750
2014-02-06,39500
2014-02-07,38300
2014-02-10,37400
2014-02-11,38200
2014-02-12,38750
2014-02-13,38150
2014-02-14,38650
2014-02-17,40050
2014-02-18,40100
2014-02-19,39700
2014-02-20,39700
2014-02-21,40350
2014-02-24,40800
2014-02-25,41100
2014-02-26,40800
2014-02-27,40900
2014-02-28,41700
2014-03-03,40500
2014-03-04,40500
2014-03-05,41350
2014-03-06,41200
2014-03-07,41000
2014-03-10,40500
2014-03-11,40750
2014-03-12,39950
2014-03-13,39000
2014-03-14,38800
2014-03-17,39200
2014-03-18,39300
2014-03-19,38950
2014-03-20,38400
2014-03-21,38750
2014-03-24,38650
2014-03-25,38600
2014-03-26,39300
2014-03-27,39150
2014-03-28,39250
2014-03-31,38900
2014-04-01,39200
2014-04-02,39200
2014-04-03,37900
2014-04-04,38500
2014-04-07,38250
2014-04-08,38800
2014-04-09,39500
2014-04-10,39850
2014-04-11,39200
2014-04-14,38850
2014-04-15,38600
2014-04-16,38350
2014-04-17,38400
2014-04-18,38500
2014-04-21,38050
2014-04-22,37750
2014-04-23,38000
2014-04-24,37700
2014-04-25,37350
2014-04-28,37000
2014-04-29,36450
2014-04-30,36350
2014-05-02,36300
2014-05-07,35450
2014-05-08,36250
2014-05-09,36200
2014-05-12,36000
2014-05-13,36700
2014-05-14,37800
2014-05-15,37800
2014-05-16,38100
2014-05-19,38150
2014-05-20,37750
2014-05-21,36900
2014-05-22,37600
2014-05-23,37750
2014-05-26,37600
2014-05-27,37200
2014-05-28,37200
2014-05-29,37200
2014-05-30,37050
2014-06-02,37300
2014-06-03,36750
2014-06-05,36100
2014-06-09,37250
2014-06-10,37850
2014-06-11,38700
2014-06-12,38000
2014-06-13,37450
2014-06-16,37900
2014-06-17,38100
2014-06-18,37700
2014-06-19,37800
2014-06-20,37750
2014-06-23,37800
2014-06-24,38300
2014-06-25,37300
2014-06-26,37500
2014-06-27,37300
2014-06-30,37500
2014-07-01,37100
2014-07-02,37150
2014-07-03,37000
2014-07-04,36900
2014-07-07,36850
2014-07-08,36650
2014-07-09,36650
2014-07-10,36600
2014-07-11,36250
2014-07-14,36150
2014-07-15,37100
2014-07-16,37550
2014-07-17,37850
2014-07-18,37500
2014-07-21,37950
2014-07-22,38750
2014-07-23,39150
2014-07-24,38900
2014-07-25,39500
2014-07-28,40700
2014-07-29,41550
2014-07-30,42050
2014-07-31,41900
2014-08-01,42150
2014-08-04,41500
2014-08-05,41450
2014-08-06,42000
2014-08-07,41800
2014-08-08,40800
2014-08-11,40950
2014-08-12,41250
2014-08-13,41500
2014-08-14,41900
2014-08-18,41600
2014-08-19,42900
2014-08-20,43200
2014-08-21,41700
2014-08-22,42250
2014-08-25,42300
2014-08-26,42500
2014-08-27,43200
2014-08-28,42400
2014-08-29,42550
2014-09-01,42550
2014-09-02,42200
2014-09-03,43550
2014-09-04,43450
2014-09-05,43000
2014-09-11,42200
2014-09-12,42100
2014-09-15,40800
2014-09-16,40850
2014-09-17,40800
2014-09-18,40500
2014-09-19,40800
2014-09-22,40750
2014-09-23,41700
2014-09-24,40950
2014-09-25,40500
2014-09-26,39350
2014-09-29,39000
2014-09-30,38500
2014-10-01,37700
2014-10-02,38100
2014-10-06,37850
2014-10-07,38050
2014-10-08,36850
2014-10-10,36800
2014-10-13,37050
2014-10-14,36300
2014-10-15,36150
2014-10-16,35800
2014-10-17,35550
2014-10-20,35700
2014-10-21,34250
2014-10-22,34550
2014-10-23,33800
2014-10-24,34100
2014-10-27,36000
2014-10-28,35950
2014-10-29,37550
2014-10-30,37250
2014-10-31,37050
2014-11-03,36750
2014-11-04,35600
2014-11-05,36200
2014-11-06,35950
2014-11-07,35150
2014-11-10,35100
2014-11-11,35250
2014-11-12,35550
2014-11-13,35250
2014-11-14,34650
2014-11-17,34800
2014-11-18,34750
2014-11-19,35000
2014-11-20,34200
2014-11-21,33850
2014-11-24,34750
2014-11-25,34300
2014-11-26,34350
2014-11-27,34150
2014-11-28,33800
2014-12-01,33050
2014-12-02,32750
2014-12-03,32750
2014-12-04,32750
2014-12-05,33100
2014-12-08,32850
2014-12-09,32750
2014-12-10,31950
2014-12-11,31450
2014-12-12,32150
2014-12-15,32200
2014-12-16,32250
2014-12-17,32650
2014-12-18,32650
2014-12-19,32950
2014-12-22,32750
2014-12-23,32850
2014-12-24,33150
2014-12-26,33200
2014-12-29,32550
2014-12-30,32000
2015-01-02,32000
2015-01-05,31350
2015-01-06,30900
2015-01-07,30950
2015-01-08,31850
2015-01-09,32300
2015-01-12,32150
2015-01-13,31500
2015-01-14,32600
2015-01-15,32550
2015-01-16,32050
2015-01-19,33050
2015-01-20,32800
2015-01-21,33100
2015-01-22,33150
2015-01-23,33600
2015-01-26,33700
2015-01-27,33850
2015-01-28,32950
2015-01-29,32750
2015-01-30,32300
2015-02-02,32300
2015-02-03,32150
2015-02-04,31900
2015-02-05,30350
2015-02-06,30000
2015-02-09,29250
2015-02-10,29250
2015-02-11,29200
2015-02-12,28700
2015-02-13,28750
2015-02-16,28950
2015-02-17,29450
2015-02-23,29850
2015-02-24,30000
2015-02-25,30000
2015-02-26,30150
2015-02-27,30100
2015-03-02,29400
2015-03-03,29800
2015-03-04,29500
2015-03-05,29150
2015-03-06,28700
2015-03-09,28500
2015-03-10,28600
2015-03-11,28050
2015-03-12,28650
2015-03-13,28250
2015-03-16,28150
2015-03-17,29300
2015-03-18,29450
2015-03-19,29700
2015-03-20,29800
2015-03-23,29500
2015-03-24,28850
2015-03-25,28250
2015-03-26,28450
2015-03-27,28600
2015-03-30,28400
2015-03-31,28750
2015-04-01,28650
2015-04-02,28350
2015-04-03,28400
2015-04-06,27950
2015-04-07,27600
2015-04-08,27350
2015-04-09,26950
2015-04-10,27700
2015-04-13,28150
2015-04-14,30000
2015-04-15,30100
2015-04-16,30200
2015-04-17,30150
2015-04-20,30650
2015-04-21,30800
2015-04-22,30400
2015-04-23,31450
2015-04-24,32250
2015-04-27,32400
2015-04-28,31750
2015-04-29,31400
2015-04-30,31700
2015-05-04,32300
2015-05-06,32400
2015-05-07,31700
2015-05-08,31500
2015-05-11,31100
2015-05-12,31350
2015-05-13,31200
2015-05-14,31000
2015-05-15,30950
2015-05-18,30500
2015-05-19,30450
2015-05-20,30850
2015-05-21,30300
2015-05-22,30700
2015-05-26,30050
2015-05-27,29250
2015-05-28,29600
2015-05-29,29700
2015-06-01,29400
2015-06-02,29550
2015-06-03,29600
2015-06-04,28950
2015-06-05,28500
2015-06-08,28700
2015-06-09,28700
2015-06-10,29250
2015-06-11,28600
2015-06-12,28150
2015-06-15,28000
2015-06-16,27600
2015-06-17,27500
2015-06-18,27350
2015-06-19,27050
2015-06-22,27050
2015-06-23,27650
2015-06-24,27850
2015-06-25,28300
2015-06-26,29150
2015-06-29,29200
2015-06-30,29050
2015-07-01,29400
2015-07-02,29250
2015-07-03,29300
2015-07-06,28750
2015-07-07,29450
2015-07-08,28850
2015-07-09,28900
2015-07-10,28850
2015-07-13,29700
2015-07-14,30850
2015-07-15,28500
2015-07-16,28900
2015-07-17,27750
2015-07-20,27750
2015-07-21,28300
2015-07-22,28000
2015-07-23,27750
2015-07-24,27250
2015-07-27,27350
2015-07-28,28150
2015-07-29,28000
2015-07-30,28900
2015-07-31,29150
2015-08-03,28950
2015-08-04,29450
2015-08-05,29100
2015-08-06,28850
2015-08-07,29100
2015-08-10,29950
2015-08-11,29350
2015-08-12,29150
2015-08-13,28250
2015-08-17,28250
2015-08-18,28450
2015-08-19,28450
2015-08-20,28200
2015-08-21,27650
2015-08-24,26500
2015-08-25,26050
2015-08-26,26600
2015-08-27,26700
2015-08-28,27250
2015-08-31,27200
2015-09-01,26750
2015-09-02,27250
2015-09-03,26900
2015-09-04,26750
2015-09-07,26400
2015-09-08,26500
2015-09-09,27000
2015-09-10,26800
2015-09-11,27000
2015-09-14,27250
2015-09-15,27500
2015-09-16,27800
2015-09-17,27800
2015-09-18,27100
2015-09-21,26800
2015-09-22,26900
2015-09-23,26600
2015-09-24,26400
2015-09-25,26300
2015-09-30,26400
2015-10-01,26300
2015-10-02,26050
2015-10-05,26050
2015-10-06,26150
2015-10-07,26250
2015-10-08,26750
2015-10-12,27400
2015-10-13,27550
2015-10-14,27150
2015-10-15,27700
2015-10-16,27950
2015-10-19,27800
2015-10-20,28350
2015-10-21,28350
2015-10-22,28000
2015-10-23,28500
2015-10-26,28550
2015-10-27,28250
2015-10-28,27900
2015-10-29,27500
2015-10-30,27800
2015-11-02,27450
2015-11-03,28000
2015-11-04,27900
2015-11-05,27700
2015-11-06,27350
2015-11-09,27450
2015-11-10,27150
2015-11-11,26900
2015-11-12,27000
2015-11-13,26500
2015-11-16,25850
2015-11-17,25800
2015-11-18,25300
2015-11-19,26000
2015-11-20,26000
2015-11-23,25850
2015-11-24,26000
2015-11-25,25500
2015-11-26,25550
2015-11-27,25750
2015-11-30,25500
2015-12-01,25650
2015-12-02,25450
2015-12-03,25200
2015-12-04,24850
2015-12-07,24700
2015-12-08,24150
2015-12-09,24050
2015-12-10,24050
2015-12-11,24050
2015-12-14,24200
2015-12-15,23900
2015-12-16,24150
