date,Close
2013-11-26,302500
2013-11-27,308500
2013-11-28,307000
2013-11-29,307000
2013-12-02,311500
2013-12-03,302000
2013-12-04,298000
2013-12-05,296000
2013-12-06,289000
2013-12-09,291500
2013-12-10,293500
2013-12-11,290000
2013-12-12,291500
2013-12-13,290000
2013-12-16,287500
2013-12-17,291000
2013-12-18,292000
2013-12-19,280500
2013-12-20,281500
2013-12-23,285000
2013-12-24,287000
2013-12-26,288500
2013-12-27,289000
2013-12-30,293500
2014-01-02,279000
2014-01-03,276000
2014-01-06,279500
2014-01-07,277500
2014-01-08,276000
2014-01-09,270000
2014-01-10,273500
2014-01-13,279500
2014-01-14,280000
2014-01-15,280000
2014-01-16,281500
2014-01-17,283500
2014-01-20,287000
2014-01-21,292500
2014-01-22,292000
2014-01-23,292000
2014-01-24,292500
2014-01-27,294000
2014-01-28,304500
2014-01-29,310000
2014-02-03,301000
2014-02-04,295500
2014-02-05,307500
2014-02-06,306000
2014-02-07,309500
2014-02-10,313000
2014-02-11,312000
2014-02-12,310000
2014-02-13,313500
2014-02-14,317500
2014-02-17,306500
2014-02-18,306000
2014-02-19,305000
2014-02-20,307500
2014-02-21,312500
2014-02-24,311500
2014-02-25,313000
2014-02-26,311500
2014-02-27,308000
2014-02-28,313500
2014-03-03,312000
2014-03-04,303000
2014-03-05,302000
2014-03-06,304000
2014-03-07,303500
2014-03-10,301000
2014-03-11,303500
2014-03-12,299500
2014-03-13,295500
2014-03-14,296000
2014-03-17,301000
2014-03-18,302000
2014-03-19,304000
2014-03-20,299000
2014-03-21,301500
2014-03-24,303000
2014-03-25,306000
2014-03-26,312500
2014-03-27,317000
2014-03-28,318000
2014-03-31,315000
2014-04-01,318500
2014-04-02,321000
2014-04-03,315500
2014-04-04,316500
2014-04-07,314000
2014-04-08,315500
2014-04-09,315000
2014-04-10,306500
2014-04-11,301000
2014-04-14,306000
2014-04-15,306000
2014-04-16,307000
2014-04-17,308500
2014-04-18,312000
2014-04-21,310500
2014-04-22,308500
2014-04-23,304500
2014-04-24,308000
2014-04-25,302000
2014-04-28,301500
2014-04-29,301000
2014-04-30,295000
2014-05-02,294000
2014-05-07,284000
2014-05-08,290000
2014-05-09,290500
2014-05-12,286500
2014-05-13,290000
2014-05-14,301500
2014-05-15,303000
2014-05-16,297500
2014-05-19,296000
2014-05-20,294000
2014-05-21,294500
2014-05-22,297000
2014-05-23,297500
2014-05-26,294500
2014-05-27,289000
2014-05-28,292000
2014-05-29,291500
2014-05-30,288000
2014-06-02,287000
2014-06-03,292000
2014-06-05,287500
2014-06-09,288000
2014-06-10,284000
2014-06-11,289000
2014-06-12,285500
2014-06-13,285000
2014-06-16,285000
2014-06-17,292000
2014-06-18,283500
2014-06-19,285500
2014-06-20,280500
2014-06-23,278000
2014-06-24,281000
2014-06-25,280000
2014-06-26,284500
2014-06-27,281500
2014-06-30,284000
2014-07-01,277000
2014-07-02,278000
2014-07-03,279500
2014-07-04,281500
2014-07-07,279000
2014-07-08,272500
2014-07-09,272000
2014-07-10,279500
2014-07-11,272500
2014-07-14,273500
2014-07-15,285000
2014-07-16,284000
2014-07-17,284000
2014-07-18,285000
2014-07-21,278500
2014-07-22,279500
2014-07-23,277000
2014-07-24,280000
2014-07-25,281500
2014-07-28,281000
2014-07-29,295500
2014-07-30,301500
2014-07-31,309000
2014-08-01,309500
2014-08-04,302000
2014-08-05,300500
2014-08-06,294500
2014-08-07,297500
2014-08-08,291000
2014-08-11,295500
2014-08-12,293500
2014-08-13,296500
2014-08-14,294500
2014-08-18,286000
2014-08-19,291000
2014-08-20,290000
2014-08-21,284000
2014-08-22,286000
2014-08-25,285000
2014-08-26,287000
2014-08-27,287500
2014-08-28,287500
2014-08-29,294000
2014-09-01,293500
2014-09-02,285000
2014-09-03,283000
2014-09-04,280500
2014-09-05,274500
2014-09-11,272000
2014-09-12,274000
2014-09-15,280000
2014-09-16,277000
2014-09-17,279000
2014-09-18,257000
2014-09-19,253000
2014-09-22,252500
2014-09-23,247500
2014-09-24,249500
2014-09-25,253500
2014-09-26,255000
2014-09-29,256500
2014-09-30,257000
2014-10-01,250000
2014-10-02,238000
2014-10-06,241000
2014-10-07,248000
2014-10-08,242000
2014-10-10,248500
2014-10-13,253000
2014-10-14,248500
2014-10-15,244000
2014-10-16,235000
2014-10-17,235000
2014-10-20,238500
2014-10-21,238000
2014-10-22,228500
2014-10-23,239500
2014-10-24,241000
2014-10-27,251500
2014-10-28,252000
2014-10-29,249000
2014-10-30,252500
2014-10-31,250000
2014-11-03,240000
2014-11-04,239000
2014-11-05,233000
2014-11-06,240500
2014-11-07,237000
2014-11-10,238000
2014-11-11,235000
2014-11-12,233000
2014-11-13,237000
2014-11-14,237000
2014-11-17,234500
2014-11-18,234500
2014-11-19,238000
2014-11-20,235000
2014-11-21,234500
2014-11-24,242500
2014-11-25,241500
2014-11-26,240500
2014-11-27,249000
2014-11-28,247000
2014-12-01,249000
2014-12-02,241500
2014-12-03,242000
2014-12-04,253500
2014-12-05,255500
2014-12-08,251500
2014-12-09,246000
2014-12-10,245000
2014-12-11,243500
2014-12-12,245000
2014-12-15,247000
2014-12-16,242500
2014-12-17,236500
2014-12-18,235000
2014-12-19,237000
2014-12-22,237500
2014-12-23,233500
2014-12-24,238500
2014-12-26,239500
2014-12-29,237000
2014-12-30,236000
2015-01-02,239500
2015-01-05,238000
2015-01-06,229000
2015-01-07,230500
2015-01-08,230500
2015-01-09,238000
2015-01-12,238000
2015-01-13,265500
2015-01-14,255000
2015-01-15,259000
2015-01-16,254000
2015-01-19,251500
2015-01-20,250000
2015-01-21,252000
2015-01-22,250500
2015-01-23,255000
2015-01-26,255000
2015-01-27,258500
2015-01-28,254000
2015-01-29,250000
2015-01-30,248000
2015-02-02,249500
2015-02-03,246000
2015-02-04,248500
2015-02-05,253500
2015-02-06,242500
2015-02-09,236500
2015-02-10,236000
2015-02-11,236500
2015-02-12,241500
2015-02-13,241000
2015-02-16,240000
2015-02-17,243000
2015-02-23,248500
2015-02-24,249500
2015-02-25,251000
2015-02-26,249500
2015-02-27,249500
2015-03-02,247500
2015-03-03,256000
2015-03-04,254500
2015-03-05,254500
2015-03-06,257000
2015-03-09,257000
2015-03-10,256500
2015-03-11,258000
2015-03-12,251000
2015-03-13,250500
2015-03-16,252000
2015-03-17,258500
2015-03-18,260000
2015-03-19,261000
2015-03-20,253500
2015-03-23,249500
2015-03-24,250000
2015-03-25,246500
2015-03-26,246500
2015-03-27,246000
2015-03-30,245500
2015-03-31,246500
2015-04-01,243500
2015-04-02,240500
2015-04-03,241000
2015-04-06,235500
2015-04-07,236500
2015-04-08,240500
2015-04-09,233000
2015-04-10,234000
2015-04-13,231000
2015-04-14,235000
2015-04-15,236000
2015-04-16,236000
2015-04-17,240500
2015-04-20,241000
2015-04-21,238000
2015-04-22,239500
2015-04-23,246000
2015-04-24,252500
2015-04-27,243500
2015-04-28,240500
2015-04-29,239500
2015-04-30,236500
2015-05-04,237500
2015-05-06,237000
2015-05-07,238000
2015-05-08,237500
2015-05-11,236000
2015-05-12,236000
2015-05-13,235000
2015-05-14,234500
2015-05-15,230500
2015-05-18,227000
2015-05-19,226000
2015-05-20,232000
2015-05-21,232000
2015-05-22,231500
2015-05-26,227000
2015-05-27,225500
2015-05-28,226500
2015-05-29,223500
2015-06-01,218500
2015-06-02,200000
2015-06-03,204500
2015-06-04,203500
2015-06-05,214000
2015-06-08,209000
2015-06-09,206500
2015-06-10,208000
2015-06-11,217500
2015-06-12,213000
2015-06-15,215000
2015-06-16,211500
2015-06-17,211000
2015-06-18,205000
2015-06-19,205000
2015-06-22,205500
2015-06-23,201000
2015-06-24,210000
2015-06-25,208000
2015-06-26,209000
2015-06-29,210000
2015-06-30,212000
2015-07-01,208500
2015-07-02,205000
2015-07-03,205500
2015-07-06,202500
2015-07-07,202500
2015-07-08,202500
2015-07-09,200000
2015-07-10,195500
2015-07-13,194000
2015-07-14,197000
2015-07-15,201000
2015-07-16,197000
2015-07-17,185500
2015-07-20,190500
2015-07-21,194500
2015-07-22,198000
2015-07-23,201000
2015-07-24,201500
2015-07-27,214000
2015-07-28,214000
2015-07-29,210500
2015-07-30,211000
2015-07-31,213500
2015-08-03,207500
2015-08-04,210000
2015-08-05,210000
2015-08-06,206500
2015-08-07,206000
2015-08-10,208500
2015-08-11,207000
2015-08-12,212000
2015-08-13,205000
2015-08-17,204000
2015-08-18,209500
2015-08-19,208500
2015-08-20,204500
2015-08-21,200500
2015-08-24,194500
2015-08-25,198000
2015-08-26,203500
2015-08-27,200500
2015-08-28,201500
2015-08-31,206500
2015-09-01,203000
2015-09-02,207000
2015-09-03,207000
2015-09-04,204500
2015-09-07,208500
2015-09-08,211500
2015-09-09,216000
2015-09-10,217000
2015-09-11,214500
2015-09-14,214500
2015-09-15,213500
2015-09-16,219000
2015-09-17,213000
2015-09-18,210000
2015-09-21,207500
2015-09-22,218000
2015-09-23,212500
2015-09-24,215000
2015-09-25,222500
2015-09-30,231500
2015-10-01,234500
2015-10-02,234500
2015-10-05,231000
2015-10-06,229000
2015-10-07,228500
2015-10-08,236500
2015-10-12,231500
2015-10-13,235000
2015-10-14,237000
2015-10-15,238000
2015-10-16,234000
2015-10-19,235000
2015-10-20,236000
2015-10-21,236000
2015-10-22,235000
2015-10-23,237500
2015-10-26,241500
2015-10-27,243500
2015-10-28,240500
2015-10-29,238500
2015-10-30,240000
2015-11-02,240000
2015-11-03,247000
2015-11-04,252500
2015-11-05,252000
2015-11-06,250500
2015-11-09,253500
2015-11-10,255000
2015-11-11,253000
2015-11-12,254000
2015-11-13,247500
2015-11-16,247000
2015-11-17,242500
2015-11-18,250500
2015-11-19,252000
2015-11-20,253000
2015-11-23,247500
2015-11-24,247000
2015-11-25,247000
2015-11-26,251000
2015-11-27,252000
2015-11-30,249500
2015-12-01,247000
2015-12-02,244500
2015-12-03,241500
2015-12-04,238500
2015-12-07,238500
2015-12-08,236500
2015-12-09,231000
2015-12-10,234500
2015-12-11,234500
2015-12-14,243000
2015-12-15,246500
2015-12-16,251000
2015-12-17,250000
2015-12-18,251000
2015-12-21,249000
2015-12-22,253500
2015-12-23,250500
2015-12-24,252500
2015-12-28,249500
2015-12-29,247500
2015-12-30,246500
2016-01-04,238000
2016-01-05,237000
2016-01-06,234500
2016-01-07,237000
2016-01-08,238500
2016-01-11,241000
2016-01-12,241500
2016-01-13,247000
2016-01-14,245000
2016-01-15,245000
2016-01-18,242000
2016-01-19,245000
2016-01-20,239000
2016-01-21,240000
2016-01-22,247500
2016-01-25,247500
2016-01-26,243500
2016-01-27,255500
2016-01-28,271000
2016-01-29,258500
2016-02-01,251000
2016-02-02,242500
2016-02-03,240000
2016-02-04,248000
2016-02-05,246000
2016-02-11,240500
2016-02-12,252000
2016-02-15,248000
2016-02-16,250500
2016-02-17,262000
2016-02-18,259500
2016-02-19,259000
2016-02-22,259000
2016-02-23,258500
2016-02-24,266500
2016-02-25,260000
2016-02-26,257000
2016-02-29,249000
2016-03-02,251000
2016-03-03,254000
2016-03-04,251500
2016-03-07,254000
2016-03-08,250000
2016-03-09,252500
2016-03-10,253500
2016-03-11,253000
2016-03-14,249000
2016-03-15,247500
2016-03-16,247500
2016-03-17,247500
2016-03-18,248000
2016-03-21,251500
2016-03-22,260000
2016-03-23,255500
2016-03-24,250500
2016-03-25,249500
2016-03-28,248500
2016-03-29,250000
2016-03-30,250000
2016-03-31,249000
2016-04-01,239000
2016-04-04,231500
2016-04-05,231000
2016-04-06,234000
2016-04-07,236000
2016-04-08,236000
2016-04-11,236000
2016-04-12,236000
2016-04-14,240000
2016-04-15,241000
2016-04-18,242500
2016-04-19,246500
2016-04-20,247500
