date,short_proxy_vol,short_proxy_foreign,short_proxy_score
2026-02-23,0.0,1,0.5
2026-02-24,1.002,1,1.001
2026-02-25,0.0,0,0.0
2026-02-26,0.0,1,0.5
2026-02-27,1.338,0,0.669
2026-03-03,0.0,0,0.0
2026-03-04,0.769,0,0.384
2026-03-05,0.0,0,0.0
2026-03-06,0.585,0,0.292
2026-03-09,0.92,0,0.46
2026-03-10,0.0,0,0.0
2026-03-11,0.0,0,0.0
2026-03-12,0.903,0,0.452
2026-03-13,0.0,0,0.0
2026-03-16,0.0,0,0.0
2026-03-17,0.0,0,0.0
2026-03-18,0.0,0,0.0
2026-03-19,0.627,0,0.314
2026-03-20,0.0,0,0.0
2026-03-23,0.797,0,0.398
2026-03-24,0.0,0,0.0
2026-03-25,0.0,0,0.0
2026-03-26,1.716,0,0.858
2026-03-27,1.024,0,0.512
2026-03-30,0.928,0,0.464
2026-03-31,0.0,0,0.0
2026-04-01,0.0,1,0.5
2026-04-02,0.593,0,0.296
2026-04-03,0.0,0,0.0
2026-04-06,0.0,0,0.0
2026-04-07,0.815,0,0.408
2026-04-08,0.0,0,0.0
2026-04-09,1.394,0,0.697
2026-04-10,0.0,0,0.0
2026-04-13,0.888,0,0.444
2026-04-14,0.0,0,0.0
2026-04-15,1.384,0,0.692
2026-04-16,0.0,0,0.0
2026-04-17,0.0,0,0.0
2026-04-20,0.0,0,0.0
2026-04-21,1.087,0,0.544
2026-04-22,0.0,0,0.0
2026-04-23,0.0,0,0.0
2026-04-24,0.0,0,0.0
2026-04-27,0.806,0,0.403
2026-04-28,0.0,0,0.0
2026-04-29,0.0,0,0.0
2026-04-30,0.947,0,0.474
2026-05-04,0.0,0,0.0
2026-05-06,1.886,0,0.943
2026-05-07,0.0,0,0.0
2026-05-08,0.0,0,0.0
2026-05-11,0.737,0,0.368
2026-05-12,0.0,0,0.0
2026-05-13,0.0,0,0.0
2026-05-14,0.0,0,0.0
2026-05-15,1.215,0,0.608
2026-05-18,1.04,0,0.52
2026-05-19,0.0,1,0.5
2026-05-20,1.23,1,1.115
2026-05-21,0.0,0,0.0
